Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-04-22,11.47,11.685,10.57,10.71,13.02,15.43,26.08,-1.06,BUY,10000.00
2022-05-03,9.69,9.755,9.01,9.12,11.92,14.48,26.40,-1.22,BUY,8516.53
2022-06-06,13.3,16.86,12.695,15.79,10.01,11.14,78.45,0.81,SELL,14739.64
2022-06-08,19.49,24.71,18.18,19.16,10.89,11.32,84.84,1.60,SELL,14739.64
2022-06-09,21.99,22.45,20.1,20.99,11.50,11.46,87.12,2.07,BUY,14739.64
2022-06-10,20.52,26.91,18.69,24.43,12.27,11.66,90.14,2.69,SELL,17154.52
2022-08-29,16.12,16.87,15.63,16.77,18.93,18.95,38.23,-0.52,SELL,17154.52
2022-10-04,19.01,19.68,18.12,18.99,19.12,19.07,50.95,-0.00,BUY,17154.52
2022-10-07,18.58,18.58,17.14,17.18,18.90,18.92,39.81,-0.15,SELL,15520.09
2022-10-11,18.76,19.82,17.86,18.9,18.80,18.80,51.00,-0.08,BUY,15520.09
2022-10-12,18.84,19.525,18.5,19.42,18.75,18.78,54.00,-0.01,SELL,15947.01
2022-10-20,18.96,19.6,18.83,19.23,18.83,18.76,51.98,0.09,BUY,15947.01
2022-10-31,22.55,24.01,22.175,23.48,19.56,19.01,71.66,0.74,SELL,19470.26
2022-12-09,26.16,28.57,25.39,28.02,20.93,20.62,73.50,0.44,SELL,19470.26
2022-12-12,28.58,29.15,25.59,28.52,21.28,20.82,74.37,0.96,SELL,19470.26
2022-12-13,29.23,32.37,28.98,31.48,21.76,21.07,78.82,1.60,SELL,19470.26
2022-12-14,32.0,33.05,31.01,33.0,22.41,21.35,80.67,2.20,SELL,19470.26
2023-02-21,28.96,28.96,27.3,27.62,31.48,31.51,30.86,-0.62,SELL,19470.26
2023-04-13,28.5,29.71,28.03,29.3,29.31,29.25,50.96,-0.15,BUY,19470.26
2023-04-20,35.11,36.71,33.54,36.46,30.51,29.44,70.48,1.33,SELL,24224.50
2023-04-21,36.35,39.89,36.135,39.56,31.03,29.62,75.81,1.83,SELL,24224.50
2023-04-24,39.98,40.335,39.075,40.22,31.54,29.82,76.77,2.25,SELL,24224.50
2023-06-21,33.32,34.145,32.16,33.08,39.96,40.48,24.75,-1.79,SELL,24224.50
2023-08-18,34.57,35.77,34.14,34.78,34.30,34.19,52.34,0.16,BUY,24224.50
2023-10-04,33.94,34.23,32.99,34.13,34.69,34.82,46.09,-0.08,SELL,23772.10
2023-11-03,40.84,46.4,40.1901,44.63,34.77,35.00,72.78,1.05,SELL,23772.10
2023-11-07,45.4,48.38,45.38,47.74,35.80,35.43,76.54,2.37,SELL,23772.10
2024-01-29,62.96,65.42,62.1868,64.39,56.02,54.31,71.50,2.13,SELL,23772.10
2024-03-06,70.38,73.3,69.67,72.95,64.52,60.44,70.22,2.59,SELL,23772.10
2024-04-15,58.08,59.14,56.87,56.96,65.56,65.77,30.44,-2.47,SELL,23772.10
2024-06-24,56.2,57.6,55.93,56.07,53.29,52.97,58.19,0.55,BUY,23772.10
2024-07-12,59.54,64.355,59.0763,62.43,55.44,53.58,72.06,1.41,SELL,26462.38
2024-07-15,63.1,63.85,62.16,63.35,55.82,53.81,73.58,1.82,SELL,26462.38
2024-07-16,64.16,66.58,64.16,65.92,56.40,54.06,77.31,2.33,SELL,26462.38
2024-09-13,75.73,77.03,75.13,76.89,69.83,63.74,71.33,3.56,SELL,26462.38
2024-09-19,83.24,86.11,81.52,85.43,72.67,65.68,80.94,4.67,SELL,26462.38
2024-09-20,85.37,88.66,83.98,86.61,73.68,66.22,81.88,5.14,SELL,26462.38
2024-10-15,86.99,89.99,85.8,89.91,82.79,73.33,70.45,3.23,SELL,26462.38
2024-10-16,90.14,93.48,89.6181,93.0,83.41,74.15,73.77,3.76,SELL,26462.38
2024-10-17,94.7,96.3,92.77,95.27,83.90,75.04,75.91,4.31,SELL,26462.38
2024-10-18,95.9,97.54,94.44,96.86,84.42,75.93,77.31,4.82,SELL,26462.38
2024-11-07,92.74,99.48,91.69,99.16,89.15,82.30,70.50,2.58,SELL,26462.38
2024-11-08,99.94,106.24,96.94,103.06,89.99,83.01,73.85,3.47,SELL,26462.38
2024-11-11,105.36,107.345,104.11,106.53,90.98,83.76,76.41,4.41,SELL,26462.38
2024-12-12,85.87,87.91,82.52,83.42,87.90,88.57,43.60,-1.48,SELL,26462.38
2025-01-13,68.51,69.07,65.18,67.36,77.25,85.05,29.83,-3.77,BUY,26462.38
2025-01-14,68.06,68.9155,64.395,64.65,76.31,84.61,27.20,-4.29,BUY,25400.06
2025-03-19,69.6,71.48,68.22,71.35,67.42,66.98,55.98,1.40,BUY,28026.46
2025-04-10,57.38,58.73,54.38,56.66,65.91,66.06,39.05,-3.04,SELL,22267.98
2025-06-05,64.88,67.12,64.0,66.25,61.84,61.70,59.56,0.90,BUY,22267.98
