Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-05-06,57.82,57.91,52.48,54.44,68.71,73.99,29.09,-3.70,BUY,10000.00
2021-06-21,68.0,68.17,63.68,63.8,62.97,62.56,50.85,1.84,BUY,11712.88
2021-07-28,60.31,61.98,60.16,61.18,61.81,62.29,49.38,-1.32,SELL,11233.42
2021-08-20,63.29,64.87,63.15,64.76,64.24,64.07,51.73,0.60,BUY,11233.42
2021-08-30,96.24,101.0,91.28,99.59,68.46,64.90,80.09,4.03,SELL,17259.01
2021-08-31,95.24,96.55,90.28,96.34,69.94,65.56,75.40,5.65,SELL,17259.01
2021-09-10,111.1,126.46,105.6,123.7,81.96,70.46,78.82,9.93,SELL,17259.01
2021-12-02,113.58,119.99,111.28,113.75,139.44,140.93,34.78,-6.52,SELL,17259.01
2022-01-05,82.97,85.68,78.91,79.53,101.66,125.07,29.41,-9.20,BUY,17259.01
2022-03-14,29.82,29.85,26.02,26.22,37.43,54.31,28.07,-7.05,BUY,5690.74
2022-04-14,38.29,38.34,35.05,35.19,42.29,42.15,38.36,-1.44,BUY,7637.23
2022-04-26,32.25,32.4387,29.67,30.18,38.30,38.34,33.76,-2.82,SELL,6550.06
2022-05-09,24.44,24.53,20.4,20.59,31.70,36.49,27.22,-3.85,BUY,6550.06
2022-05-10,18.82,20.6449,16.555,18.19,30.74,36.01,24.99,-4.40,BUY,5786.86
2022-05-11,17.35,17.66,14.49,14.63,29.55,35.46,22.09,-5.08,BUY,4654.78
2022-07-27,24.23,26.53,23.29,26.04,23.00,22.76,55.39,1.25,BUY,8283.16
2022-09-12,26.58,27.26,25.86,26.79,27.50,27.64,49.68,-1.50,SELL,8521.66
2022-11-09,13.35,13.75,11.935,12.1,18.08,20.16,24.45,-1.53,BUY,8521.66
2023-01-26,14.75,15.23,13.8123,14.36,11.83,11.65,62.29,0.93,BUY,10112.70
2023-02-02,18.77,22.75,18.72,21.14,13.77,12.06,77.32,1.80,SELL,14885.82
2023-03-09,12.03,12.54,11.13,11.31,13.01,13.22,40.17,-0.51,SELL,14885.82
2023-05-12,12.45,12.45,11.57,12.07,10.80,10.72,59.02,0.28,BUY,14885.82
2023-06-08,16.52,19.0299,16.2973,18.85,14.51,12.31,79.41,1.33,SELL,23245.56
2023-08-22,14.92,15.38,14.16,14.22,16.05,16.12,38.45,-0.61,SELL,23245.56
2023-09-05,21.77,22.49,21.61,21.93,16.54,16.52,74.65,1.28,BUY,23245.56
2023-10-20,18.06,18.51,17.66,18.25,19.20,19.35,43.92,-0.45,SELL,19348.44
2023-11-16,25.46,25.58,24.27,24.54,20.74,20.70,60.71,1.52,BUY,19348.44
2023-11-28,29.87,33.05,28.83,32.75,23.98,21.16,77.08,2.43,SELL,25817.92
2023-11-29,32.66,34.96,32.6,34.12,24.81,21.37,78.84,2.87,SELL,25817.92
2023-11-30,33.82,34.8882,32.805,34.41,25.65,21.60,79.20,3.20,SELL,25817.92
2023-12-01,34.2,37.945,33.82,37.67,26.48,21.92,82.77,3.69,SELL,25817.92
2024-02-06,41.62,43.45,41.09,43.43,41.90,42.02,54.26,-0.05,SELL,25817.92
2024-08-29,39.11,42.87,37.52,41.66,28.63,29.17,80.52,1.82,SELL,25817.92
2024-10-14,47.2,49.595,46.21,49.26,42.55,36.94,70.82,1.81,SELL,25817.92
2024-11-11,47.99,57.76,47.98,57.585,45.30,43.25,71.44,2.23,SELL,25817.92
2024-11-12,55.67,57.93,54.86,57.59,45.78,43.57,71.45,2.88,SELL,25817.92
2025-01-16,58.94,60.36,57.58,58.0,62.22,62.45,43.39,-1.91,SELL,25817.92
2025-02-07,69.9,76.88,68.3,75.22,58.97,63.70,71.99,1.09,SELL,25817.92
2025-02-10,75.59,79.67,72.93,77.75,60.09,63.87,74.05,2.25,SELL,25817.92
2025-02-18,81.43,82.527,79.4302,80.98,65.61,64.88,73.65,5.20,BUY,25817.92
2025-03-14,48.33,50.42,48.325,50.08,61.16,61.76,37.07,-5.04,SELL,15991.72
2025-04-04,35.6,36.17,30.901,35.75,46.73,57.99,29.18,-4.62,BUY,15991.72
2025-05-12,49.97,54.1,49.6,53.74,47.71,47.41,57.96,1.47,BUY,24033.25
2025-08-06,75.0,77.74,74.3001,77.28,68.23,64.38,71.14,2.47,SELL,34555.63
2025-08-07,78.37,79.69,76.69,78.96,68.75,64.95,73.18,2.96,SELL,34555.63
2025-08-29,92.0,100.0,86.76,88.46,77.10,71.05,71.44,3.25,SELL,34555.63
