Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-01-04,1.85,1.85,1.72,1.75,2.34,9.72,3.40,-4.45,BUY,10000.00
2024-01-05,1.76,1.76,1.55,1.6,2.25,7.75,3.38,-4.17,BUY,9142.90
2024-01-08,1.69,1.69,1.58,1.68,2.17,6.57,3.66,-3.89,BUY,9600.02
2024-01-09,1.65,1.65,1.46,1.5,2.10,5.68,3.64,-3.64,BUY,8571.50
2024-01-10,1.49,1.56,1.43,1.47,2.05,5.24,3.63,-3.41,BUY,8400.08
2024-01-11,1.45,1.4899,1.36,1.48,2.01,4.78,3.68,-3.19,BUY,8457.22
2024-01-12,1.44,1.52,1.4001,1.51,1.97,4.42,3.82,-2.97,BUY,8628.64
2024-01-16,1.41,1.53,1.41,1.52,1.93,4.10,3.87,-2.77,BUY,8685.78
2024-01-17,1.48,1.51,1.4208,1.51,1.88,3.93,3.87,-2.58,BUY,8628.64
2024-01-18,1.45,1.46,1.31,1.39,1.84,3.77,3.84,-2.42,BUY,7942.96
2024-01-19,1.38,1.4099,1.29,1.34,1.79,3.62,3.83,-2.26,BUY,7657.26
2024-01-22,1.31,1.3488,1.2,1.28,1.73,3.49,3.81,-2.12,BUY,7314.42
2024-01-23,1.28,1.2998,1.21,1.25,1.67,3.39,3.80,-1.99,BUY,7143.00
2024-01-24,1.25,1.55,1.21,1.46,1.63,3.32,5.41,-1.84,BUY,8342.94
2024-01-25,1.51,1.51,1.33,1.39,1.59,3.26,5.38,-1.71,BUY,7942.96
2024-01-26,1.36,1.4099,1.3269,1.33,1.56,3.17,5.35,-1.60,BUY,7600.12
2024-01-29,1.39,1.43,1.3,1.36,1.53,2.95,5.63,-1.49,BUY,7771.54
2024-01-30,1.36,1.389,1.22,1.26,1.49,2.73,5.57,-1.39,BUY,7200.14
2024-01-31,1.22,1.31,1.22,1.28,1.46,2.52,5.78,-1.30,BUY,7314.42
2024-02-01,1.27,1.31,1.16,1.23,1.43,2.36,5.75,-1.22,BUY,7028.72
2024-02-02,1.2,1.2883,1.17,1.26,1.41,2.24,6.11,-1.14,BUY,7200.14
2024-02-05,1.24,1.24,1.14,1.16,1.38,2.17,6.03,-1.07,BUY,6628.74
2024-02-06,1.16,1.2099,1.1,1.18,1.36,2.12,6.31,-1.00,BUY,6743.02
2024-02-07,1.36,1.36,1.2,1.24,1.35,2.06,7.19,-0.93,BUY,7085.86
2024-02-12,1.3,1.34,1.21,1.27,1.32,1.93,9.01,-0.73,BUY,7257.28
2024-02-13,1.27,1.4,1.22,1.26,1.31,1.89,8.99,-0.68,BUY,7200.14
2024-02-14,1.23,1.37,1.22,1.32,1.30,1.85,10.17,-0.63,BUY,7542.98
2024-02-15,1.32,1.36,1.24,1.3,1.29,1.80,10.12,-0.58,BUY,7428.70
2024-02-22,1.33,1.33,1.22,1.25,1.29,1.64,11.66,-0.43,BUY,7143.00
2024-03-12,1.67,1.78,1.57,1.6,1.47,1.45,35.06,-0.10,BUY,9142.90
2024-03-27,1.18,1.21,1.15,1.16,1.37,1.37,29.21,-0.12,SELL,6628.74
2024-04-15,1.08,1.12,0.83,0.852,1.18,1.32,26.37,-0.11,BUY,6628.74
