Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-07-24,52.08,52.08,46.55,47.15,56.07,62.41,29.22,-3.23,BUY,10000.00
2024-07-25,48.0,49.6,45.41,47.05,55.64,61.95,29.10,-3.53,BUY,9978.80
2024-09-25,50.9,52.55,50.79,52.1,44.43,44.16,66.02,1.90,BUY,11049.40
2024-10-09,61.16,63.15,59.45,61.22,50.14,44.86,72.84,2.86,SELL,12982.84
2024-10-10,60.98,66.175,60.12,66.11,51.38,45.30,77.20,3.73,SELL,12982.84
2024-10-11,65.34,70.74,65.31,66.69,52.54,45.83,77.66,4.42,SELL,12982.84
2024-11-05,86.35,97.3494,84.11,95.91,69.75,55.94,81.42,6.71,SELL,12982.84
2024-11-06,90.0,98.68,86.5,98.17,71.59,57.01,82.28,8.16,SELL,12982.84
2024-12-03,105.52,117.26,105.19,116.51,98.00,76.62,73.17,9.13,SELL,12982.84
2024-12-04,116.69,121.2,114.8,115.27,98.97,77.90,71.49,9.53,SELL,12982.84
2025-01-27,102.24,103.0,79.55,83.16,129.39,119.02,25.14,-3.19,BUY,12982.84
2025-02-03,88.9,100.95,87.04,98.12,118.68,119.64,38.69,-7.87,SELL,15316.60
2025-05-12,80.04,81.2699,76.53,80.28,65.65,65.13,70.17,2.72,BUY,15316.60
2025-05-13,81.32,88.22,81.14,87.76,67.07,65.53,75.92,3.90,SELL,16737.80
2025-05-14,90.36,92.24,86.8501,90.66,68.60,65.95,77.71,5.02,SELL,16737.80
2025-07-21,110.78,124.21,110.67,121.89,94.08,93.45,73.50,3.77,SELL,16737.80
2025-08-06,164.99,183.62,160.47,174.39,117.84,102.80,80.64,14.08,SELL,16737.80
