Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2015-01-29,134.0,142.0,130.0,140.0,116.08,112.22,75.52,4.84,SELL,10000.00
2015-02-03,140.0,149.6,132.8,149.6,120.16,114.54,74.18,7.41,SELL,10000.00
2015-02-04,155.6,162.0,145.6,157.2,122.46,115.83,77.24,9.07,SELL,10000.00
2015-02-05,157.2,173.6,157.2,173.6,125.44,117.46,82.15,11.58,SELL,10000.00
2015-03-26,128.4,134.0,125.6,125.6,139.16,139.75,43.26,-3.54,SELL,10000.00
2015-05-06,98.4,99.6,90.8,92.8,105.36,119.94,28.25,-5.26,BUY,10000.00
2015-05-07,92.8,97.6,92.0,92.8,104.66,118.89,28.25,-5.65,BUY,10000.00
2015-06-10,115.2,116.0,112.8,114.0,104.72,104.50,61.33,2.00,BUY,12268.40
2015-06-16,121.6,135.6,121.6,130.0,108.04,105.61,74.96,4.64,SELL,13980.40
2015-06-17,132.0,140.4,126.8,139.6,110.18,106.26,79.77,6.29,SELL,13980.40
2015-06-18,146.4,147.6,136.0,145.6,112.48,107.04,82.08,7.99,SELL,13980.40
2015-07-27,108.4,110.4,106.0,108.8,116.54,116.62,40.94,-3.90,SELL,13980.40
2015-08-13,128.4,136.8,126.0,134.4,109.46,118.59,71.18,1.33,SELL,13980.40
2015-08-27,129.6,138.8,126.4,134.8,120.48,120.22,64.64,4.65,BUY,13980.40
2015-09-10,140.0,160.0,140.0,158.0,135.62,121.83,74.89,7.04,SELL,16370.00
2015-09-11,158.0,178.4,157.2,172.4,137.52,122.71,80.39,9.12,SELL,16370.00
2015-09-14,173.6,217.2,173.6,195.6,140.70,124.09,85.79,12.49,SELL,16370.00
2015-09-15,201.2,204.0,184.8,194.8,143.84,125.56,84.92,14.92,SELL,16370.00
2015-09-18,206.0,243.2,204.0,242.4,156.50,131.46,89.14,22.99,SELL,16370.00
2015-10-08,244.0,280.0,240.0,280.0,220.86,164.78,75.18,23.18,SELL,16370.00
2015-10-09,280.0,343.2,270.0,335.6,229.02,169.41,81.94,29.90,SELL,16370.00
2015-10-12,343.2,364.0,302.4,320.8,235.28,173.82,76.00,33.65,SELL,16370.00
2015-10-29,275.2,278.4,109.6,128.0,284.30,219.02,29.68,7.22,BUY,16370.00
2015-11-13,160.0,162.4,153.6,159.6,217.38,225.10,37.80,-26.55,SELL,20383.20
2016-03-22,145.6,149.6,140.4,149.2,120.94,118.68,76.29,5.90,SELL,20383.20
2016-04-28,122.0,124.4,117.2,119.2,123.94,123.98,42.68,-1.43,SELL,20383.20
2016-06-16,125.2,128.0,125.2,127.6,121.34,120.69,56.01,2.84,BUY,20383.20
2016-08-12,120.0,120.0,108.0,111.2,129.44,128.49,26.32,-2.03,BUY,17775.60
2016-08-16,117.2,117.6,114.4,117.6,128.28,128.34,38.14,-3.03,SELL,18793.20
2016-11-02,104.0,105.2,102.0,104.0,118.00,121.42,27.26,-3.38,BUY,18793.20
2016-11-03,102.0,103.6,86.0,92.0,116.70,120.90,19.46,-4.89,BUY,16633.20
2016-12-28,76.0,76.0,70.0,70.0,83.34,94.13,27.46,-5.29,BUY,12673.20
2017-03-16,68.0,72.0,68.0,72.0,72.34,72.22,49.58,0.37,BUY,13035.20
2017-04-04,66.0,72.0,64.0,64.0,70.16,70.17,40.57,-1.63,SELL,11587.20
2017-05-23,56.0,56.0,48.0,50.0,63.24,65.60,27.36,-3.09,BUY,11587.20
2017-05-24,48.0,50.0,46.0,46.4,62.06,65.17,24.23,-3.90,BUY,10755.60
2017-06-27,56.0,75.2,56.0,70.4,46.10,55.40,71.74,-0.57,SELL,16299.60
2017-07-10,70.0,70.4,67.2,69.6,56.16,55.58,66.11,5.67,BUY,16299.60
2017-08-16,74.4,83.2,74.0,82.0,67.80,62.20,72.87,2.86,SELL,19201.20
2017-08-18,80.0,86.0,77.2,86.0,69.66,63.64,73.63,4.20,SELL,19201.20
2017-09-07,90.0,95.2,89.2,94.0,82.30,73.75,73.31,4.98,SELL,19201.20
2017-09-11,92.4,95.6,90.0,94.0,84.50,74.67,71.19,5.42,SELL,19201.20
2017-09-12,90.8,96.0,90.2,96.0,85.62,75.19,73.05,5.70,SELL,19201.20
2017-09-13,95.6,100.0,94.4,99.2,86.48,75.79,75.74,6.11,SELL,19201.20
2017-09-29,106.0,115.2,105.2,114.8,97.28,83.36,77.49,6.81,SELL,19201.20
2017-10-03,112.0,134.8,112.0,131.2,100.92,85.73,81.62,8.80,SELL,19201.20
2017-10-04,137.6,138.0,125.6,131.2,103.06,87.09,81.62,10.03,SELL,19201.20
2017-11-03,93.6,93.6,86.0,90.0,98.36,99.02,43.46,-3.19,SELL,19201.20
2018-01-17,58.4,60.0,58.0,58.8,63.56,80.56,29.49,-6.14,BUY,19201.20
2018-03-19,63.6,63.6,60.4,62.0,61.07,60.93,50.61,0.57,BUY,20244.40
2018-04-03,56.0,56.8,54.4,54.4,60.93,60.47,29.22,-1.25,BUY,17766.80
2018-04-10,60.4,61.6,59.2,61.2,60.16,60.22,52.47,-0.56,SELL,19983.60
2018-05-21,60.8,61.2,59.2,59.6,60.00,59.98,48.78,0.05,BUY,19983.60
2018-06-08,59.2,59.2,55.6,56.0,59.38,59.43,40.07,-0.50,SELL,18777.60
2018-08-06,58.0,60.0,58.0,58.8,54.38,54.19,65.38,1.16,BUY,18777.60
2018-08-15,46.8,47.2,44.4,44.4,55.96,53.72,27.20,-0.31,BUY,14184.00
2018-08-27,45.2,49.2,44.4,46.8,52.56,52.60,38.40,-2.31,SELL,14949.60
2018-10-02,56.0,65.2,54.4,58.8,52.42,52.14,59.54,2.59,BUY,14949.60
2018-11-02,46.4,48.4,44.0,48.4,51.28,51.77,44.57,-2.42,SELL,12308.00
2018-12-17,37.2,37.2,30.0,31.6,42.82,46.47,24.62,-2.51,BUY,12308.00
2018-12-18,32.4,32.8,30.4,32.0,42.24,45.96,25.94,-2.99,BUY,12463.60
2018-12-19,31.2,33.4,28.0,28.0,41.44,45.41,21.83,-3.65,BUY,10907.60
2018-12-21,14.4,14.8,12.0,14.4,39.08,43.94,13.43,-5.54,BUY,5617.20
2019-01-04,17.56,17.56,15.4,17.0,25.03,36.90,26.76,-6.95,BUY,6631.20
2019-02-20,22.0,23.6,22.0,22.0,20.46,20.30,52.55,0.24,BUY,8581.20
2019-04-26,23.0,23.2,21.764,23.196,25.13,25.23,44.70,-0.63,SELL,9047.64
2019-06-24,25.62,26.76,23.8,24.0,23.77,23.76,50.31,0.28,BUY,9047.64
2019-06-27,20.4,21.712,20.4,20.408,23.57,23.60,35.11,-0.40,SELL,7697.05
2019-07-18,16.4,16.4,13.0,13.84,20.61,22.25,19.96,-1.30,BUY,7697.05
2019-07-19,14.8,16.2,13.488,13.572,20.07,22.03,19.52,-1.68,BUY,7548.04
2019-07-22,13.488,13.54,10.0,12.08,19.47,21.81,17.22,-2.08,BUY,6718.49
2019-07-23,12.6,12.6,10.84,11.344,18.92,21.58,16.21,-2.43,BUY,6309.27
2019-08-05,13.2,13.2,11.26,11.68,14.92,19.62,27.30,-2.52,BUY,6496.09
2019-09-19,14.6,14.6,11.52,12.056,12.75,12.74,45.45,0.48,BUY,6705.14
2019-10-07,9.58,10.0,9.28,9.48,11.49,11.57,40.18,-0.93,SELL,5272.89
2019-11-07,5.958,6.0,5.5275,5.8099,8.04,10.13,29.40,-1.02,BUY,5272.89
2019-11-08,5.67,5.7812,5.01,5.19,7.89,9.99,26.77,-1.11,BUY,4710.64
2019-11-11,5.01,5.1,4.2,4.4,7.69,9.84,23.85,-1.24,BUY,3994.11
2019-11-12,6.02,19.69,5.57,19.0,8.26,9.98,75.99,-0.16,SELL,17236.31
2020-01-21,4.21,4.2792,4.06,4.07,4.24,4.17,44.90,-0.08,BUY,17236.31
2020-01-31,3.77,3.9,3.6489,3.79,4.09,4.10,39.81,-0.15,SELL,16050.79
2020-03-02,5.93,7.1,4.7,5.18,3.73,3.96,73.08,0.08,SELL,16050.79
2020-03-17,3.44,3.45,2.9,3.13,3.90,3.89,40.82,-0.18,BUY,16050.79
2020-03-18,3.14,7.75,2.95,6.96,4.07,3.94,71.01,0.10,SELL,35691.03
2020-05-04,11.9,12.37,8.77,9.13,5.73,4.78,76.68,0.84,SELL,35691.03
2020-05-14,14.81,16.39,12.8002,15.21,7.87,5.67,82.73,1.65,SELL,35691.03
