Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-09-28,21.3,21.3,20.12,20.68,22.08,22.14,43.13,-0.49,SELL,10000.00
2023-10-23,17.01,17.01,15.65,15.665,20.31,21.86,27.90,-0.98,BUY,10000.00
2023-10-25,16.0,16.045,14.92,15.33,19.78,21.60,28.99,-1.35,BUY,9786.27
2023-12-11,21.6,21.6,19.91,20.84,18.74,18.60,61.03,0.92,BUY,13301.65
2023-12-22,25.88,28.66,25.85,28.01,21.62,19.13,81.90,1.92,SELL,17876.11
2023-12-26,28.28,33.08,28.07,31.07,22.33,19.35,86.09,2.38,SELL,17876.11
2024-03-04,37.9,43.25,37.78,41.74,35.89,33.28,75.56,1.21,SELL,17876.11
2024-03-05,59.91,65.41,52.89,59.3,37.06,33.97,89.61,2.95,SELL,17876.11
2024-03-06,61.08,67.2,59.42,66.69,38.60,34.79,91.75,4.86,SELL,17876.11
2024-03-07,66.34,67.25,62.3901,65.24,40.02,35.53,87.92,6.19,SELL,17876.11
2024-03-22,67.63,71.75,66.34,68.43,57.51,43.87,73.18,8.00,SELL,17876.11
2024-04-26,46.17,47.465,44.52,47.13,53.30,53.85,39.25,-2.87,SELL,17876.11
2024-06-18,39.13,39.33,36.26,36.37,44.24,48.65,27.62,-2.91,BUY,17876.11
2024-07-26,50.0,50.88,48.88,49.95,44.92,44.47,62.03,1.93,BUY,24543.89
2024-09-20,53.45,59.9,52.96,58.43,49.91,47.93,71.74,2.05,SELL,28707.57
2024-09-24,58.0,60.35,57.3092,59.92,51.00,48.33,72.39,2.77,SELL,28707.57
2024-11-15,51.13,51.13,46.4,47.25,54.77,54.78,35.00,-0.35,SELL,28707.57
2025-03-28,39.27,39.93,38.25,39.72,37.95,37.57,55.27,0.93,BUY,28707.57
2025-04-15,33.03,34.23,32.025,32.85,35.97,36.00,44.34,-1.61,SELL,23747.43
2025-05-12,39.49,40.705,38.685,39.58,36.45,36.42,58.30,0.72,BUY,23747.43
2025-07-03,44.71,47.71,43.51,47.46,42.75,40.13,70.65,1.57,SELL,28467.55
2025-07-28,40.78,40.9,38.75,39.66,40.15,40.27,48.34,-0.16,SELL,28467.55
