Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-09-23,14.6,14.85,14.3,14.35,14.18,14.19,52.43,0.00,SELL,10000.00
2020-10-15,14.92,15.33,14.51,15.23,14.52,14.50,60.77,0.22,BUY,10000.00
2020-12-08,17.61,17.67,17.05,17.41,15.89,15.24,72.60,0.45,SELL,11430.08
2020-12-09,17.43,17.556,17.15,17.38,15.98,15.30,72.01,0.50,SELL,11430.08
2020-12-10,17.29,17.865,17.2,17.7,16.08,15.37,74.42,0.57,SELL,11430.08
2020-12-24,17.93,18.03,17.75,17.94,17.17,15.97,74.07,0.61,SELL,11430.08
2021-05-19,18.59,19.14,18.46,19.08,20.72,20.81,31.46,-0.50,SELL,11430.08
2021-06-15,22.17,22.33,22.09,22.29,21.26,21.23,59.80,0.49,BUY,11430.08
2021-07-20,19.56,20.47,19.55,20.31,20.96,20.99,42.89,-0.33,SELL,10416.32
2021-08-12,21.58,22.58,21.56,22.21,21.67,21.59,53.67,0.33,BUY,10416.32
2021-09-13,21.24,21.42,20.12,20.36,22.78,22.04,28.39,-0.08,BUY,9550.52
2021-09-23,20.74,21.48,20.57,21.03,21.99,22.01,43.17,-0.49,SELL,9864.75
2021-11-05,23.31,23.57,23.065,23.14,21.58,21.52,67.71,0.44,BUY,9864.75
2021-11-11,23.72,24.84,23.6,24.54,22.17,21.53,72.23,0.65,SELL,10461.15
2021-11-12,24.75,25.75,24.63,25.61,22.40,21.57,76.88,0.82,SELL,10461.15
2022-01-27,22.0,22.28,21.125,21.28,24.09,24.11,27.63,-0.77,SELL,10461.15
2022-05-05,18.39,18.39,16.93,17.22,19.23,20.17,29.21,-0.62,BUY,10461.15
2022-05-06,17.02,17.56,16.68,17.14,19.10,20.08,28.78,-0.71,BUY,10412.59
2022-05-09,16.92,17.16,15.89,16.09,18.94,19.97,23.81,-0.85,BUY,9775.24
2022-06-16,15.5,15.61,14.56,14.69,17.22,17.93,27.78,-0.61,BUY,8925.44
2022-06-17,14.64,14.8,14.13,14.4,17.08,17.83,26.41,-0.73,BUY,8749.41
2022-08-03,18.14,18.45,17.97,18.29,16.31,16.23,74.50,0.57,BUY,11110.64
2022-09-09,15.71,16.23,15.71,16.09,16.31,16.39,48.46,-0.37,SELL,9775.24
2022-09-23,14.13,14.13,13.765,13.96,15.29,16.36,28.37,-0.52,BUY,9775.24
