Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-11-24,61.5,64.2,61.41,63.88,54.12,53.40,70.04,2.11,SELL,10000.00
2024-02-08,94.41,126.585,94.0,113.89,74.97,70.81,85.30,4.29,SELL,10000.00
2024-02-09,105.99,117.82,102.09,115.21,77.24,71.87,85.65,6.83,SELL,10000.00
2024-02-12,120.16,164.0,118.69,148.97,81.19,73.61,91.27,11.43,SELL,10000.00
2024-04-17,121.87,122.6817,107.01,107.56,126.50,127.11,34.97,-1.64,SELL,10000.00
2024-04-19,100.0,103.01,85.61,87.19,122.86,127.95,25.29,-5.39,BUY,10000.00
2024-06-04,126.88,127.67,122.89,125.86,115.16,114.43,62.13,3.64,BUY,14408.38
2024-06-12,146.0,158.71,145.2,155.59,124.64,116.07,79.32,8.98,SELL,17797.60
2024-07-05,172.0,182.65,169.6001,181.19,158.16,130.18,71.09,11.28,SELL,17797.60
2024-07-08,181.04,186.38,179.5146,184.7,160.54,131.88,72.47,12.13,SELL,17797.60
2024-07-10,183.39,187.47,178.5,186.46,165.15,135.26,71.78,12.92,SELL,17797.60
2024-08-07,117.8,120.09,106.53,107.09,148.48,151.26,30.33,-12.78,SELL,17797.60
2024-09-26,152.0,152.3896,144.0,149.16,135.16,134.15,61.57,3.64,BUY,17797.60
2024-10-14,153.1,164.16,153.1,161.82,143.59,133.56,70.32,4.48,SELL,19304.14
2024-11-18,127.5,130.11,126.356,128.66,142.79,143.67,37.20,-3.32,SELL,19304.14
2025-03-06,120.7,123.4,117.75,117.92,145.16,145.63,31.72,-8.35,SELL,19304.14
2025-04-03,101.16,103.24,97.33,97.72,114.86,135.53,28.61,-7.86,BUY,19304.14
2025-04-04,91.65,95.38,84.3901,87.71,112.97,133.95,23.89,-9.14,BUY,17332.17
2025-04-07,80.92,94.14,80.0,88.63,111.58,132.47,25.12,-9.97,BUY,17513.41
2025-05-12,121.64,125.45,121.3,124.81,112.03,111.95,60.88,3.14,BUY,24640.87
2025-08-15,140.55,141.78,137.77,138.91,148.15,148.50,40.67,-3.12,SELL,27418.57
