Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-09-24,28.08,28.3626,25.11,25.46,28.01,28.15,41.95,-0.90,SELL,10000.00
2019-11-15,27.84,28.92,27.35,28.26,22.80,22.42,68.12,1.77,BUY,10000.00
2019-12-23,41.57,48.36,40.1601,46.63,34.76,28.31,75.48,3.53,SELL,16484.61
2020-01-23,33.95,35.0,33.01,34.39,34.17,34.64,49.52,-0.34,SELL,16484.61
2020-03-09,27.05,27.84,24.64,26.98,32.76,33.68,29.93,-1.45,BUY,16484.61
2020-03-11,27.54,27.95,23.805,23.88,31.90,33.33,27.81,-1.97,BUY,14593.61
2020-03-12,22.21,23.47,20.25,20.28,31.21,33.07,23.07,-2.57,BUY,12394.01
2020-03-16,19.68,20.27,17.05,17.65,29.78,32.54,25.88,-3.36,BUY,10787.08
2020-04-29,31.83,32.43,30.39,31.78,27.74,27.41,60.22,1.18,BUY,19420.51
2020-06-19,32.75,33.65,31.51,31.51,30.89,30.91,52.46,-0.04,SELL,19255.54
2020-09-15,36.72,37.47,36.29,36.99,30.45,30.00,77.26,1.52,SELL,19255.54
2020-09-18,38.98,42.63,38.28,42.19,32.08,30.46,85.16,2.57,SELL,19255.54
2020-12-08,53.07,56.75,53.05,56.67,47.44,42.68,81.67,3.40,SELL,19255.54
2020-12-11,58.2,62.5,58.14,61.35,49.86,43.87,86.34,4.33,SELL,19255.54
2021-01-01,71.11,71.11,71.11,71.11,64.50,52.08,83.65,5.54,SELL,19255.54
2021-02-12,68.48,71.25,66.74,67.36,65.06,65.11,54.00,1.14,SELL,19255.54
2021-03-01,71.58,72.82,69.2,71.91,66.99,66.51,61.37,1.10,BUY,19255.54
2021-03-29,60.22,60.4847,57.0,57.1,65.30,65.46,38.01,-1.27,SELL,15301.27
2021-05-07,49.21,50.65,47.64,48.03,54.41,59.82,29.17,-2.25,BUY,15301.27
2021-05-10,47.47,47.63,45.77,46.47,54.03,59.31,26.88,-2.62,BUY,14805.19
2021-06-04,59.2,59.81,57.45,57.96,55.78,55.71,54.24,1.15,BUY,18459.01
2021-07-29,55.47,55.99,54.35,54.38,60.50,60.53,35.78,-1.43,SELL,17320.57
2021-11-08,53.53,53.53,51.16,51.62,49.09,49.08,56.82,0.96,BUY,17320.57
2021-11-22,42.65,43.9579,40.57,40.63,48.65,48.21,27.97,-1.38,BUY,13638.92
2021-11-24,40.62,40.995,40.07,40.74,47.83,47.90,28.96,-1.95,SELL,13675.77
2021-12-27,12.64,13.15,11.2,11.38,38.06,43.37,19.67,-3.10,BUY,13675.77
2021-12-28,12.18,13.73,12.06,13.43,36.70,42.69,23.14,-4.64,BUY,16137.82
2022-01-14,12.895,12.898,12.18,12.75,20.97,33.66,25.92,-6.50,BUY,15321.14
2022-01-21,11.26,11.5,10.28,10.3,13.70,29.87,22.75,-5.63,BUY,12378.69
2022-01-24,9.87,10.5,9.23,10.48,13.65,29.12,23.56,-5.45,BUY,12594.87
2022-01-25,10.41,10.58,9.87,10.25,13.50,28.38,23.22,-5.27,BUY,12318.64
2022-01-26,10.47,10.69,9.64,9.74,13.27,27.65,22.46,-5.11,BUY,11706.13
2022-01-27,9.84,9.9705,8.71,8.95,12.99,26.93,21.28,-4.99,BUY,10757.34
2022-01-28,8.9,9.105,8.46,9.04,12.61,26.26,21.78,-4.83,BUY,10865.43
2022-02-11,9.48,9.48,8.655,8.68,10.27,20.25,28.39,-2.72,BUY,10433.07
2022-02-14,8.71,8.855,8.48,8.54,10.06,19.63,27.99,-2.63,BUY,10264.93
2022-02-17,8.72,8.85,8.21,8.36,9.62,17.81,28.86,-2.30,BUY,10048.75
2022-02-18,8.33,8.42,8.05,8.08,9.51,17.25,27.92,-2.23,BUY,9712.19
2022-02-21,8.08,8.08,8.08,8.08,9.39,16.65,27.92,-2.15,BUY,9712.19
2022-02-22,7.99,8.1,7.71,7.81,9.27,16.04,26.93,-2.09,BUY,9387.65
2022-02-23,7.92,7.98,7.32,7.34,9.15,15.41,25.27,-2.05,BUY,8822.71
2022-03-29,10.64,11.09,10.55,10.86,9.37,9.33,58.96,0.32,BUY,13053.75
2022-05-06,7.52,7.52,6.44,6.7,9.56,9.70,27.56,-0.78,SELL,8053.43
2022-05-09,6.51,6.57,5.65,5.66,9.30,9.65,23.46,-0.95,BUY,8053.43
2022-06-29,8.7,8.98,8.33,8.84,7.68,7.58,59.17,0.42,BUY,12575.39
2022-10-10,10.41,10.52,9.99,10.38,10.71,10.72,47.99,-0.02,SELL,14765.27
2022-12-27,7.82,7.84,6.735,6.82,8.82,9.38,29.99,-0.49,BUY,14765.27
2022-12-28,6.84,7.01,6.64,6.74,8.69,9.32,29.51,-0.57,BUY,14592.15
2023-02-01,9.31,10.0,9.09,9.77,8.56,8.53,63.11,0.28,BUY,21152.10
2023-02-02,10.0,11.505,9.875,11.12,8.73,8.57,72.13,0.43,SELL,24074.85
2023-02-06,10.94,11.74,10.7,11.44,9.10,8.69,71.90,0.64,SELL,24074.85
2023-02-07,11.4,11.845,11.175,11.81,9.31,8.75,73.77,0.75,SELL,24074.85
2023-03-06,17.99,19.3896,16.28,16.52,11.95,9.83,78.44,0.76,SELL,24074.85
2023-03-07,16.75,19.945,16.65,18.55,12.30,10.04,82.40,1.21,SELL,24074.85
