Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-11-08,29.65,30.279,29.65,30.2699,28.64,27.63,71.17,0.66,SELL,10000.00
2021-11-09,30.73,30.95,30.6099,30.8764,28.84,27.71,74.59,0.76,SELL,10000.00
2021-12-06,22.98,23.5472,22.77,23.5472,27.49,27.69,27.09,-1.14,SELL,10000.00
2022-01-05,22.165,22.17,21.39,21.4307,23.59,26.10,29.72,-0.83,BUY,10000.00
2022-04-11,18.0699,18.0699,18.0699,18.0699,18.63,18.53,45.63,0.07,BUY,8433.87
2024-11-21,50.31,50.31,49.45,50.1533,19.93,18.75,95.70,2.45,SELL,23384.73
2024-11-22,50.16,50.21,49.99,50.1677,21.45,19.39,95.70,4.43,SELL,23384.73
2024-11-25,50.74,50.74,50.0,50.0637,22.99,20.04,95.37,5.92,SELL,23384.73
2024-12-12,51.35,51.53,51.34,51.3748,42.71,28.08,91.75,7.77,SELL,23384.73
2024-12-19,51.89,51.89,50.1687,50.1687,50.92,31.54,81.20,5.85,SELL,23384.73
2024-12-20,49.84,50.9299,49.825,50.5401,50.94,32.18,81.84,5.47,SELL,23384.73
2024-12-23,50.86,51.17,50.545,51.15,50.99,32.83,82.87,5.16,SELL,23384.73
2024-12-24,51.35,51.6079,51.27,51.6079,51.07,33.48,83.62,4.90,SELL,23384.73
2024-12-26,51.65,51.7,51.53,51.6571,51.14,34.14,83.70,4.64,SELL,23384.73
2024-12-27,51.2,51.25,50.77,51.0394,51.17,34.78,78.36,4.33,SELL,23384.73
2024-12-30,50.5,50.899,50.335,50.6627,51.17,35.42,75.20,4.01,SELL,23384.73
2024-12-31,50.59,50.65,50.2612,50.2612,51.14,36.04,71.88,3.69,SELL,23384.73
2025-01-02,51.45,51.45,49.9,50.2222,51.10,36.64,71.55,3.38,SELL,23384.73
2025-01-03,50.749,50.92,50.6,50.8598,51.07,37.27,73.68,3.16,SELL,23384.73
2025-01-06,51.39,51.55,51.19,51.3264,51.06,37.92,75.15,2.99,SELL,23384.73
2025-02-05,50.14,50.3108,49.9345,50.3108,50.44,50.73,53.85,0.66,SELL,23384.73
2025-03-10,46.75,46.75,45.45,45.7927,49.40,50.10,24.89,-0.82,BUY,23384.73
2025-04-03,44.61,44.61,43.6801,43.6801,46.21,48.54,27.82,-0.84,BUY,22307.31
2025-04-04,42.25,42.62,41.2918,41.2918,45.90,48.34,20.85,-1.15,BUY,21089.27
2025-04-07,40.0,41.66,40.0,41.2384,45.67,48.14,20.73,-1.38,BUY,21062.04
2025-04-08,42.67,42.92,40.6,40.6,45.42,47.95,19.24,-1.60,BUY,20736.45
2025-05-15,47.09,47.3101,47.09,47.3101,45.35,45.29,63.10,0.59,BUY,24158.61
2025-06-27,49.6136,49.6136,49.6136,49.6136,48.44,47.06,70.14,0.58,SELL,25333.39
2025-06-30,49.81,49.85,49.68,49.8316,48.53,47.22,71.84,0.62,SELL,25333.39
2025-07-24,50.49,50.6572,50.49,50.635,49.87,48.70,72.25,0.52,SELL,25333.39
2025-07-25,50.7776,50.7776,50.7776,50.7776,49.94,48.77,73.76,0.53,SELL,25333.39
2025-07-28,50.88,50.99,50.88,50.9438,50.01,48.83,75.43,0.55,SELL,25333.39
