Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-05-02,32.0,32.51,31.74,32.36,35.29,35.58,41.15,-0.80,SELL,10000.00
2024-06-03,38.02,38.37,37.39,37.76,36.02,35.91,56.92,0.71,BUY,10000.00
2024-07-03,32.86,33.11,32.65,32.95,35.35,35.42,40.87,-0.86,SELL,8730.16
2024-10-03,32.94,33.265,32.65,33.24,33.13,33.05,49.29,0.37,BUY,8730.16
2024-11-11,44.57,47.74,44.5,47.41,38.49,35.29,78.10,2.14,SELL,12442.70
2024-11-12,46.91,49.04,46.455,48.83,39.11,35.64,79.83,2.66,SELL,12442.70
2024-11-13,49.05,50.965,48.6809,48.88,39.71,35.98,79.89,3.04,SELL,12442.70
2024-12-17,58.74,59.07,57.5895,58.14,53.48,45.09,70.69,3.16,SELL,12442.70
2025-02-21,53.96,54.12,51.525,51.63,53.76,53.77,44.28,-0.47,SELL,12442.70
2025-02-27,46.92,46.98,44.89,45.36,52.07,53.28,29.80,-1.65,BUY,12442.70
2025-04-30,51.44,51.44,50.54,51.23,47.27,47.15,61.29,1.38,BUY,14051.08
2025-07-11,64.04,64.3648,63.49,64.31,58.58,57.58,71.00,1.30,SELL,17635.00
2025-07-14,66.23,66.49,64.86,65.25,58.98,57.83,72.90,1.62,SELL,17635.00
2025-09-05,61.43,61.62,59.925,60.71,62.12,62.20,46.82,-0.68,SELL,17635.00
