Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-07-04,42.7467,42.7467,42.7467,42.7467,45.92,46.07,38.82,-1.09,SELL,10000.00
2019-07-24,37.0461,37.0461,37.0461,37.0461,41.78,45.40,28.65,-1.84,BUY,10000.00
2019-08-20,49.49,49.9109,49.49,49.9109,44.51,44.15,58.75,2.17,BUY,13460.63
2019-09-18,35.69,35.87,35.2183,35.2183,42.88,43.30,33.39,-3.06,SELL,9508.32
2019-11-28,25.7695,25.7695,25.7695,25.7695,27.63,33.02,27.34,-1.97,BUY,9508.32
2019-12-12,24.2,24.35,23.7189,23.7329,26.46,30.58,29.01,-1.38,BUY,8758.85
2020-02-03,26.04,27.0033,26.04,27.0033,24.85,24.84,59.98,0.58,BUY,9965.63
2020-02-25,29.7,31.8631,29.66,31.8631,25.52,24.70,75.77,0.73,SELL,11758.90
2020-02-26,32.8318,32.8318,32.8318,32.8318,25.83,24.88,77.54,1.20,SELL,11758.90
2020-02-27,42.68,42.68,35.49,36.8934,26.38,25.13,83.10,1.88,SELL,11758.90
2020-02-28,42.38,42.38,41.1213,41.1213,27.06,25.47,86.77,2.73,SELL,11758.90
2020-03-09,97.12,97.12,62.9299,69.1229,33.38,28.15,85.83,7.18,SELL,11758.90
2020-03-12,81.78,85.3335,81.78,85.3335,39.94,30.80,78.02,11.00,SELL,11758.90
2020-04-15,31.4,31.4,28.35,29.9509,39.03,39.25,44.88,-5.34,SELL,11758.90
2020-09-29,12.57,13.279,12.57,12.9047,11.96,11.96,54.55,0.40,BUY,11758.90
2020-10-20,10.25,10.6899,10.05,10.4907,11.51,11.51,43.17,-0.39,SELL,9559.74
2021-01-06,3.58,3.6,3.12,3.2,4.27,5.72,23.25,-0.54,BUY,9559.74
2021-01-07,3.09,3.09,2.87,2.98,4.19,5.55,21.46,-0.58,BUY,8902.60
2021-01-08,3.12,3.1801,3.03,3.06,4.11,5.38,23.76,-0.61,BUY,9141.56
2021-03-29,18.08,20.1,18.08,19.4761,2.82,2.89,96.22,1.23,SELL,58176.45
2021-03-31,18.43,19.099,18.43,18.87,4.48,3.52,91.58,3.05,SELL,58176.45
2021-04-15,17.35,18.61,17.35,17.9826,13.30,6.69,75.88,3.77,SELL,58176.45
2021-05-26,13.8,13.85,13.4,13.54,14.06,14.10,46.18,-0.28,SELL,58176.45
2021-06-18,16.35,17.03,16.35,17.03,13.44,14.74,74.25,0.40,SELL,58176.45
2021-07-01,13.88,13.99,13.72,13.77,14.17,14.12,46.81,0.14,BUY,58176.45
2021-08-10,12.12,12.155,11.49,11.56,14.11,14.14,33.27,-0.52,SELL,48841.41
2021-12-06,10.29,10.35,9.91,10.23,9.85,9.80,52.98,0.22,BUY,48841.41
2022-01-10,7.49,7.9101,7.44,7.6899,9.68,9.74,30.56,-0.55,SELL,36714.98
2022-03-03,10.03,10.64,9.98,10.45,8.84,8.80,60.72,0.45,BUY,36714.98
2022-03-07,11.93,12.55,11.66,12.55,9.23,8.87,71.12,0.72,SELL,44092.28
2022-04-26,13.61,13.91,12.98,13.9099,11.82,10.72,71.75,0.71,SELL,44092.28
2022-04-27,13.9,14.14,13.53,14.1,12.03,10.84,72.71,0.80,SELL,44092.28
2022-04-29,13.55,15.25,13.475,15.25,12.39,11.06,74.66,0.96,SELL,44092.28
2022-08-01,12.25,12.52,11.97,12.07,14.28,14.40,36.61,-0.79,SELL,44092.28
2022-08-12,10.29,10.49,9.98,10.0,12.35,14.29,29.67,-1.03,BUY,44092.28
2022-08-15,10.27,10.305,9.88,9.9541,12.11,14.24,29.47,-1.09,BUY,43889.90
2022-09-22,12.52,13.46,12.43,13.29,11.96,11.92,61.94,0.13,BUY,58597.89
2022-09-26,14.81,15.55,14.31,15.25,12.25,11.92,71.97,0.49,SELL,67239.53
2022-09-27,14.93,15.86,14.68,15.47,12.41,11.96,72.86,0.67,SELL,67239.53
2022-11-03,10.88,11.2,10.71,10.9,12.57,12.67,41.15,-0.77,SELL,67239.53
2022-12-27,10.62,10.85,10.53,10.61,10.29,10.17,53.82,0.24,BUY,67239.53
2023-01-19,9.52,9.704,9.31,9.34,9.57,9.63,46.95,-0.38,SELL,59191.54
2023-03-09,9.64,11.12,9.6,10.97,8.42,8.62,77.13,0.32,SELL,59191.54
2023-03-10,11.52,12.479,10.72,11.74,8.61,8.65,80.63,0.52,SELL,59191.54
2023-06-08,11.61,12.0196,11.5,11.59,13.60,13.70,36.93,-0.52,SELL,59191.54
2023-07-19,9.35,9.45,8.75,8.88,11.69,12.61,28.00,-0.74,BUY,59191.54
2023-08-30,11.29,11.585,11.21,11.47,10.81,10.78,56.34,0.45,BUY,76453.89
2023-10-03,13.84,14.64,13.8,14.45,12.18,11.14,72.35,0.62,SELL,96315.59
2023-11-20,9.83,10.0312,9.65,9.81,12.56,12.79,31.43,-0.94,SELL,96315.59
2023-12-13,7.98,8.07,7.2512,7.29,9.14,11.74,21.11,-1.10,BUY,96315.59
2023-12-14,6.88,6.9,6.07,6.15,8.95,11.58,16.61,-1.21,BUY,81253.91
2023-12-15,6.26,6.35,6.11,6.25,8.76,11.42,18.25,-1.28,BUY,82575.11
2023-12-26,6.32,6.36,6.14,6.16,7.67,10.56,24.35,-1.22,BUY,81386.03
2024-03-21,5.02,5.02,4.69,4.71,5.58,6.11,24.12,-0.30,BUY,62228.63
2024-03-27,4.84,4.84,4.6,4.61,5.33,5.98,27.57,-0.35,BUY,60907.43
2024-04-29,23.01,23.27,22.69,23.18,5.86,5.64,94.53,1.32,BUY,306254.27
2024-04-30,23.71,24.08,23.2347,24.08,6.82,6.00,94.78,2.53,SELL,318145.07
2024-05-01,24.02,24.1294,22.71,23.66,7.77,6.34,92.66,3.42,SELL,318145.07
2024-05-28,21.66,22.4378,21.59,22.35,21.62,11.97,70.62,2.68,SELL,318145.07
2024-05-29,23.05,23.5705,22.85,23.025,21.56,12.32,72.37,2.66,SELL,318145.07
2024-05-30,22.8,23.19,22.44,22.72,21.52,12.67,70.33,2.58,SELL,318145.07
2024-06-11,23.33,24.52,23.33,24.13,21.78,15.53,70.06,1.85,SELL,318145.07
2024-07-11,19.19,19.33,18.6359,18.7502,21.80,21.91,35.79,-0.43,SELL,318145.07
2025-02-20,25.07,26.7929,25.07,26.7929,19.92,21.28,74.93,-0.18,SELL,318145.07
2025-02-21,28.2571,28.2571,28.2571,28.2571,20.19,21.44,77.44,0.49,SELL,318145.07
2025-02-24,28.24,28.8431,28.24,28.8431,20.56,21.62,78.38,1.05,SELL,318145.07
2025-03-03,29.1432,29.1432,29.1432,29.1432,22.60,22.46,70.94,2.27,BUY,318145.07
2025-04-04,49.64,51.8,48.56,51.7009,36.88,29.01,76.81,3.14,SELL,564384.92
2025-04-07,56.4,56.76,49.9957,49.9957,37.37,29.58,72.88,3.86,SELL,564384.92
2025-05-07,29.5639,29.5639,29.5639,29.5639,35.40,35.94,39.22,-2.07,SELL,564384.92
2025-06-25,20.73,20.859,20.3175,20.3175,23.00,26.80,29.12,-1.46,BUY,564384.92
2025-06-26,19.721,19.721,19.4839,19.4839,22.76,26.37,26.47,-1.57,BUY,541229.18
2025-06-27,19.67,19.67,19.4187,19.4187,22.52,25.96,26.27,-1.64,BUY,539418.05
2025-07-23,16.5721,16.5721,16.5721,16.5721,18.11,21.38,27.59,-1.41,BUY,460345.20
2025-07-24,16.4543,16.4543,16.4543,16.4543,17.92,21.23,27.06,-1.40,BUY,457072.95
2025-07-25,16.188,16.188,16.188,16.188,17.75,21.09,25.84,-1.41,BUY,449675.67
