Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-01-23,27.2607,27.2607,27.2607,27.2607,23.76,23.67,69.44,0.91,BUY,10000.00
2023-02-02,29.86,30.8042,29.86,30.8042,26.13,24.23,74.53,1.42,SELL,11296.92
2023-03-17,28.0044,28.0044,28.0044,28.0044,26.88,26.92,57.16,-0.00,SELL,11296.92
2023-04-05,28.6984,28.6984,28.6984,28.6984,27.83,27.78,55.68,0.54,BUY,11296.92
2023-06-27,33.7958,33.7958,33.7958,33.7958,32.25,30.53,70.21,0.69,SELL,13300.20
2023-06-28,33.8655,33.8655,33.8655,33.8655,32.36,30.61,70.64,0.74,SELL,13300.20
2023-07-03,35.2026,35.2026,35.2026,35.2026,32.73,30.95,78.06,0.92,SELL,13300.20
2023-07-11,36.85,36.9551,36.8499,36.9551,33.74,31.69,79.09,1.19,SELL,13300.20
2023-07-13,39.33,39.3656,39.33,39.3656,34.32,32.12,85.16,1.53,SELL,13300.20
2023-08-21,31.3464,31.3464,31.3464,31.3464,34.86,34.96,26.73,-1.16,SELL,13300.20
2023-09-21,30.1033,30.1033,30.1033,30.1033,32.27,34.26,26.83,-0.65,BUY,13300.20
2023-09-22,29.8504,29.8504,29.8504,29.8504,32.20,34.07,25.59,-0.76,BUY,13188.67
2023-11-13,33.1717,33.1717,33.1717,33.1717,31.20,31.18,64.21,0.61,BUY,14653.36
2024-02-05,40.21,40.21,40.1029,40.1029,40.29,40.40,48.74,-0.04,SELL,17710.02
2024-02-15,46.08,46.3304,46.08,46.3304,41.61,41.53,67.02,1.34,BUY,17710.02
2024-04-17,42.07,42.0701,41.7044,41.8104,45.39,45.41,31.00,-0.77,SELL,15983.38
2024-06-12,44.97,45.096,44.97,45.096,43.17,43.13,61.49,0.42,BUY,15983.38
2024-07-16,47.58,48.4722,47.58,48.4722,45.11,43.85,74.16,0.76,SELL,17178.56
2024-08-05,33.67,40.19,32.43,39.4898,44.69,44.34,29.91,-0.86,BUY,17178.56
2024-08-07,40.059,40.059,40.059,40.059,44.23,44.25,34.19,-1.16,SELL,17426.16
2024-09-24,46.6293,46.6293,46.6293,46.6293,43.92,43.91,66.28,0.55,BUY,17426.16
2024-11-07,53.48,54.1325,53.4629,54.1325,49.21,46.55,72.82,1.26,SELL,20224.85
2024-11-08,53.81,54.1695,53.465,54.1695,49.56,46.75,72.91,1.50,SELL,20224.85
2024-11-11,56.19,57.9199,56.19,57.758,50.03,47.02,79.47,1.96,SELL,20224.85
2024-11-12,57.93,58.68,57.51,58.3666,50.55,47.33,80.34,2.35,SELL,20224.85
2024-12-04,60.855,62.0172,60.855,62.0172,57.30,51.55,75.63,2.62,SELL,20224.85
2024-12-05,65.15,65.15,61.8997,61.8997,57.76,51.86,74.91,2.70,SELL,20224.85
2024-12-06,63.2393,63.9987,63.2393,63.8969,58.25,52.20,78.64,2.88,SELL,20224.85
2025-01-16,58.5563,58.5563,58.5563,58.5563,57.62,57.76,53.11,-0.15,SELL,20224.85
2025-02-04,60.59,60.8284,60.5,60.8284,59.13,59.12,56.60,0.72,BUY,20224.85
2025-02-05,61.2206,61.2206,61.2206,61.2206,59.19,59.20,57.94,0.76,SELL,20355.06
2025-02-06,60.4148,60.4148,60.1184,60.1946,59.31,59.26,53.30,0.71,BUY,20355.06
2025-03-06,54.81,54.81,53.0122,53.0122,58.50,58.58,34.47,-1.57,SELL,17927.41
2025-04-04,44.57,44.57,43.35,43.6618,49.97,55.31,29.59,-2.15,BUY,17927.41
2025-04-07,41.19,45.61,41.19,43.5493,49.68,54.96,29.42,-2.43,BUY,17881.29
2025-04-08,45.16,45.16,42.3365,42.3365,49.31,54.64,27.52,-2.72,BUY,17384.04
2025-05-09,53.6117,53.6117,53.6117,53.6117,50.24,50.19,61.64,1.08,BUY,22006.87
2025-06-06,63.28,63.28,63.1126,63.1126,59.57,53.26,71.99,2.24,SELL,25902.24
2025-06-09,63.095,63.095,63.01,63.01,59.92,53.54,71.36,2.28,SELL,25902.24
2025-06-10,62.84,63.2543,62.84,63.2543,60.16,53.84,71.99,2.31,SELL,25902.24
2025-06-24,65.8736,65.8736,65.8736,65.8736,62.24,57.24,71.41,1.90,SELL,25902.24
2025-06-26,65.03,66.4526,65.03,66.4526,62.91,58.01,71.12,2.01,SELL,25902.24
2025-06-30,67.2269,67.2269,67.2269,67.2269,63.62,58.84,72.27,2.12,SELL,25902.24
2025-07-17,73.2211,73.2211,73.2211,73.2211,67.53,63.04,77.52,2.48,SELL,25902.24
2025-07-18,73.6524,73.6524,73.6524,73.6524,68.03,63.44,78.30,2.65,SELL,25902.24
2025-07-25,72.4385,72.4385,72.4385,72.4385,69.99,65.01,70.06,2.48,SELL,25902.24
