Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-08-17,27.81,27.81,27.315,27.38,29.05,29.12,35.25,-0.35,SELL,10000.00
2023-09-21,26.54,26.5938,26.25,26.25,28.09,28.68,28.24,-0.40,BUY,10000.00
2023-11-17,29.2,29.4045,29.2,29.3,27.44,27.33,67.97,0.63,BUY,11159.00
2023-12-15,30.48,30.73,30.41,30.57,29.70,28.30,70.14,0.51,SELL,11641.60
2023-12-18,30.52,30.85,30.48,30.71,29.77,28.37,71.42,0.54,SELL,11641.60
2023-12-19,30.82,30.9994,30.82,30.94,29.82,28.43,73.44,0.58,SELL,11641.60
2024-01-24,32.84,33.1789,32.6208,32.75,30.98,30.25,72.23,0.58,SELL,11641.60
2024-04-17,33.99,34.0683,33.21,33.21,35.11,35.11,33.57,-0.36,SELL,11641.60
2024-04-19,33.0,33.0,31.81,31.88,34.79,35.07,26.15,-0.60,BUY,11641.60
2024-05-24,35.61,35.95,35.43,35.88,34.71,34.64,62.53,0.45,BUY,13101.60
2024-06-18,37.53,37.88,37.42,37.82,35.98,34.83,71.82,0.65,SELL,13809.70
2024-07-10,39.06,39.32,38.89,39.3,37.54,36.00,75.99,0.80,SELL,13809.70
2024-08-02,33.12,33.245,32.5,33.04,36.46,36.50,32.82,-0.83,SELL,13809.70
2024-09-25,36.69,37.07,36.69,36.96,34.85,34.83,65.77,0.45,BUY,13809.70
2024-11-07,40.78,41.3481,40.75,41.28,38.89,37.14,72.15,0.65,SELL,15421.06
2025-03-04,37.16,38.47,36.71,37.74,41.53,41.58,32.49,-0.98,SELL,15421.06
2025-04-04,31.96,32.0699,30.59,31.11,36.20,39.18,24.95,-1.54,BUY,15421.06
2025-04-07,29.25,32.53,28.9609,31.07,35.97,38.92,24.86,-1.75,BUY,15401.26
2025-04-08,32.59,32.91,29.825,30.32,35.67,38.72,23.20,-1.95,BUY,15030.01
2025-05-13,39.92,41.0793,39.92,40.92,35.90,35.79,72.04,1.13,BUY,20277.01
2025-06-06,44.18,44.44,44.128,44.34,42.10,37.62,73.16,1.62,SELL,21969.91
2025-06-09,44.83,45.55,44.76,45.43,42.38,37.83,76.68,1.72,SELL,21969.91
2025-06-10,45.4,45.41,44.68,45.41,42.61,38.04,76.48,1.77,SELL,21969.91
2025-06-19,46.16,46.16,46.16,46.16,44.04,39.81,71.74,1.71,SELL,21969.91
2025-07-02,47.72,48.3299,47.72,48.25,46.41,42.44,70.48,1.71,SELL,21969.91
2025-07-21,50.21,50.93,50.21,50.46,48.55,45.40,75.17,1.35,SELL,21969.91
2025-07-23,50.34,50.63,50.1355,50.59,48.90,45.80,71.14,1.32,SELL,21969.91
2025-07-24,51.04,51.05,50.5572,50.91,49.06,45.98,72.58,1.34,SELL,21969.91
2025-07-25,51.0,51.2447,50.8164,51.15,49.19,46.18,73.64,1.36,SELL,21969.91
2025-08-07,53.16,53.549,52.5,53.08,50.55,47.90,71.42,1.24,SELL,21969.91
2025-08-08,53.27,53.8299,53.27,53.8,50.84,48.13,73.97,1.35,SELL,21969.91
2025-08-11,53.98,54.5408,53.7298,53.87,51.10,48.38,74.21,1.43,SELL,21969.91
2025-08-12,54.27,55.14,54.0,55.14,51.39,48.63,78.17,1.57,SELL,21969.91
