Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-09-21,25.11,25.11,25.09,25.11,25.09,25.10,57.26,-0.00,SELL,10000.00
2023-11-08,25.05,25.05,25.04,25.05,25.09,25.09,41.29,-0.01,BUY,10000.00
2023-11-21,25.08,25.1,25.08,25.095,25.08,25.08,55.41,-0.00,SELL,10017.95
2023-12-05,25.04,25.04,25.03,25.04,25.09,25.09,36.09,0.01,BUY,10017.95
2023-12-22,25.09,25.1099,25.09,25.1,25.08,25.09,55.06,0.00,SELL,10041.95
2024-02-01,25.15,25.15,25.13,25.14,25.08,25.08,67.51,0.02,BUY,10041.95
2024-03-20,25.09,25.09,25.07,25.07,25.08,25.08,47.83,-0.00,SELL,10014.02
2024-04-12,25.07,25.07,25.05,25.05,25.08,25.08,44.22,-0.01,BUY,10014.02
2024-04-19,25.1,25.1,25.07,25.07,25.08,25.08,48.55,-0.00,SELL,10022.00
2024-05-07,25.05,25.05,25.03,25.04,25.08,25.08,40.77,-0.00,BUY,10022.00
2024-05-21,25.08,25.09,25.08,25.09,25.08,25.08,54.10,-0.00,SELL,10042.00
2024-06-06,25.04,25.04,25.02,25.04,25.08,25.08,40.32,0.00,BUY,10042.00
2024-06-17,100.25,100.28,100.25,100.28,28.84,26.58,99.88,5.99,SELL,40213.24
2024-06-18,100.29,100.31,100.28,100.31,32.60,28.09,99.88,10.63,SELL,40213.24
2024-06-20,100.29,100.34,100.29,100.34,36.36,29.59,99.88,14.14,SELL,40213.24
2024-07-08,100.12,100.15,100.11,100.11,77.74,46.15,98.62,18.33,SELL,40213.24
2024-07-16,100.27,100.27,100.24,100.24,100.28,55.16,98.57,13.44,SELL,40213.24
2024-07-17,100.26,100.26,100.25,100.26,100.28,56.66,98.57,12.66,SELL,40213.24
2024-07-18,100.26,100.29,100.26,100.29,100.28,58.17,98.58,11.91,SELL,40213.24
2024-07-19,100.29,100.32,100.29,100.32,100.28,59.67,98.58,11.18,SELL,40213.24
2024-07-22,100.35,100.36,100.32,100.36,100.28,61.18,98.58,10.49,SELL,40213.24
2024-07-23,100.37,100.37,100.34,100.34,100.28,62.68,98.43,9.83,SELL,40213.24
2024-07-24,100.34,100.365,100.33,100.35,100.28,64.19,98.44,9.20,SELL,40213.24
2024-07-25,100.38,100.38,100.36,100.38,100.28,65.70,98.44,8.60,SELL,40213.24
2024-07-26,100.43,100.43,100.39,100.39,100.28,67.20,98.44,8.04,SELL,40213.24
2024-07-29,100.43,100.44,100.41,100.41,100.27,68.71,98.44,7.51,SELL,40213.24
