Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-01-12,35.22,38.04,35.22,37.15,32.48,32.62,75.56,0.65,SELL,10000.00
2023-01-16,36.48,36.48,36.48,36.48,32.98,32.84,70.02,0.97,BUY,10000.00
2023-03-02,42.0,47.8,41.455,47.48,39.17,36.30,80.20,1.58,SELL,13014.00
2023-03-03,47.9,48.97,46.615,48.69,39.69,36.64,81.72,2.13,SELL,13014.00
2023-03-06,48.98,49.9085,47.0376,49.01,40.24,37.00,82.12,2.55,SELL,13014.00
2023-03-29,52.65,53.08,51.17,52.94,49.68,42.58,74.25,2.77,SELL,13014.00
2023-03-30,53.0,54.38,52.48,53.22,49.97,42.92,74.86,2.79,SELL,13014.00
2023-03-31,53.28,54.25,52.96,53.29,50.20,43.27,75.02,2.78,SELL,13014.00
2023-04-25,48.95,48.95,44.47,45.1,51.93,48.22,26.35,0.10,BUY,13014.00
2023-04-26,45.38,45.61,42.56,42.56,51.41,48.32,21.45,-0.54,BUY,12282.48
2023-05-05,47.12,48.77,46.56,48.37,48.95,49.17,50.85,-1.13,SELL,13955.76
2023-06-22,50.32,51.54,49.97,50.25,48.28,48.26,59.30,0.27,BUY,13955.76
2023-06-26,46.9,48.11,44.885,46.23,48.01,48.01,41.73,-0.07,SELL,12842.22
2023-06-27,46.15,48.26,46.15,47.79,48.00,47.92,48.48,-0.09,BUY,12842.22
2023-07-20,50.13,50.13,49.35,49.85,48.39,48.42,57.21,0.22,SELL,13394.30
2023-07-25,49.13,50.03,49.13,50.03,48.66,48.48,57.33,0.37,BUY,13394.30
2023-08-03,41.1,43.8926,37.95,38.36,48.43,48.26,21.96,-0.72,BUY,10278.41
2023-08-04,37.78,41.4899,37.78,41.04,48.05,48.13,32.40,-1.17,SELL,10993.97
2023-08-07,40.84,40.84,37.67,39.04,47.55,47.92,29.26,-1.67,BUY,10993.97
2023-10-06,42.47,43.26,42.2979,43.26,42.17,42.16,55.37,0.00,BUY,12179.79
2023-11-17,48.24,49.24,48.14,48.95,44.29,43.46,72.59,0.98,SELL,13778.68
2023-12-08,48.16,53.63,48.16,53.3,48.18,45.38,77.54,1.93,SELL,13778.68
2023-12-13,54.04,56.63,53.99,56.48,49.69,46.12,83.43,2.48,SELL,13778.68
2023-12-14,57.0,57.1,56.11,57.0,50.16,46.43,84.18,2.72,SELL,13778.68
2024-02-29,63.1,68.73,63.1,67.97,59.18,56.28,73.34,1.81,SELL,13778.68
2024-03-01,69.55,72.39,65.28,72.3,59.91,56.59,78.03,2.62,SELL,13778.68
2024-05-02,59.0,61.055,53.92,59.09,66.73,66.92,31.52,-0.90,SELL,13778.68
2024-05-07,58.2,58.2,56.7,56.88,65.01,66.82,27.96,-2.13,BUY,13778.68
2024-07-03,62.74,62.78,60.53,60.54,58.40,58.33,56.64,1.13,BUY,14664.40
2024-07-16,65.21,69.81,65.21,69.81,60.65,57.78,74.10,1.85,SELL,16907.74
2024-09-19,98.42,100.665,96.0615,100.09,91.58,80.34,73.11,3.93,SELL,16907.74
2024-09-20,100.09,103.62,97.75,99.14,92.18,81.08,70.46,4.16,SELL,16907.74
2024-11-06,118.16,122.65,115.51,122.42,106.34,99.38,74.03,3.31,SELL,16907.74
2024-12-04,136.38,138.39,134.06,136.75,129.39,113.53,71.22,7.45,SELL,16907.74
2025-01-14,124.11,131.27,124.11,126.65,126.53,126.66,50.38,-0.62,SELL,16907.74
2025-02-12,124.99,127.26,124.99,126.21,129.08,129.04,46.60,-0.49,BUY,16907.74
2025-02-20,124.0,127.34,119.9501,126.34,127.90,128.12,47.68,-0.56,SELL,16925.03
2025-04-04,98.04,101.21,95.01,99.27,113.06,120.76,29.21,-4.53,BUY,16925.03
2025-04-07,94.92,102.9,88.9,97.87,111.78,120.06,28.13,-5.14,BUY,16687.03
2025-04-08,99.9,102.27,94.7301,96.64,110.56,119.46,27.17,-5.65,BUY,16477.93
2025-05-30,109.63,110.54,106.0677,110.175,107.24,107.05,55.75,0.32,BUY,18778.88
2025-06-18,105.95,108.39,104.64,104.65,106.20,106.31,45.42,-0.46,SELL,17839.63
2025-07-23,98.69,101.1,98.39,100.77,106.33,106.13,40.98,-1.46,BUY,17839.63
2025-08-04,111.25,113.19,105.985,107.32,105.55,105.67,52.41,0.35,SELL,18998.98
2025-08-12,119.62,126.4425,118.51,124.89,106.68,106.48,69.65,3.35,BUY,18998.98
