Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-08-09,4.5,4.5,4.06,4.07,5.71,5.42,26.49,-0.20,BUY,10000.00
2019-08-12,3.93,4.02,3.75,3.94,5.60,5.41,25.45,-0.30,BUY,9680.59
2019-08-15,4.46,4.59,4.37,4.53,5.40,5.42,38.18,-0.34,SELL,11130.22
2019-09-25,5.94,6.08,5.78,6.05,5.35,5.29,64.41,0.29,BUY,11130.22
2019-12-11,7.92,8.18,7.74,8.18,7.16,6.66,72.37,0.31,SELL,15047.29
2019-12-12,8.19,8.6,8.14,8.58,7.27,6.72,76.21,0.38,SELL,15047.29
2019-12-13,8.6,8.78,8.41,8.63,7.35,6.78,76.65,0.44,SELL,15047.29
2020-02-27,7.58,7.725,7.13,7.46,8.76,8.65,26.92,-0.15,BUY,15047.29
2020-02-28,7.17,7.39,7.01,7.35,8.70,8.62,25.81,-0.23,BUY,14825.42
2020-03-03,7.58,7.75,7.15,7.33,8.57,8.58,27.94,-0.33,SELL,14785.08
2020-03-09,6.46,6.75,5.54,5.86,8.25,8.48,24.84,-0.48,BUY,14785.08
2020-05-18,4.66,5.12,4.66,4.85,4.48,4.45,53.59,-0.05,BUY,12236.85
2020-07-16,5.3,5.64,5.22,5.6,5.47,5.50,53.10,-0.15,SELL,14129.10
2020-08-07,6.84,6.99,6.7901,6.96,5.90,5.84,70.68,0.33,BUY,14129.10
2020-08-12,8.55,9.4,8.29,8.57,6.31,5.94,83.40,0.54,SELL,17397.40
2020-08-13,8.44,9.01,8.275,8.79,6.47,6.00,84.43,0.65,SELL,17397.40
2020-09-16,8.63,9.43,8.48,9.15,8.04,7.11,73.00,0.21,SELL,17397.40
2020-10-08,9.25,10.2,9.11,9.75,8.17,7.95,72.24,0.29,SELL,17397.40
2020-11-13,8.13,8.39,7.8975,7.96,8.24,8.28,45.32,-0.08,SELL,17397.40
2020-11-25,9.38,9.45,9.13,9.18,8.51,8.48,58.25,0.25,BUY,17397.40
2021-01-06,9.95,10.79,9.78,10.68,9.56,9.03,71.39,0.22,SELL,20239.90
2021-01-07,10.8,11.51,10.62,11.51,9.68,9.11,77.84,0.35,SELL,20239.90
2021-01-08,11.6,11.73,11.02,11.21,9.79,9.18,71.56,0.42,SELL,20239.90
2021-01-11,11.06,11.55,10.96,11.49,9.90,9.24,73.69,0.50,SELL,20239.90
2021-01-20,12.06,13.384,12.01,13.07,10.62,9.71,79.01,0.72,SELL,20239.90
2021-03-08,12.99,14.29,12.99,13.83,11.75,11.50,70.09,0.29,SELL,20239.90
2021-05-21,16.84,17.45,16.8,17.11,15.01,14.25,70.20,0.62,SELL,20239.90
2021-05-24,17.36,17.7,17.25,17.43,15.18,14.32,71.88,0.72,SELL,20239.90
2021-06-07,17.8,19.52,17.77,19.5,16.55,15.22,74.36,0.92,SELL,20239.90
