Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-05-11,30.11,30.585,29.15,29.16,32.85,35.12,27.95,-1.39,BUY,10000.00
2023-05-12,29.12,29.21,27.29,27.81,32.54,34.79,24.53,-1.61,BUY,9538.30
2023-06-08,39.26,39.54,38.52,39.04,34.09,33.84,65.09,1.72,BUY,13378.96
2023-06-14,46.31,52.36,46.1603,48.91,36.98,34.27,81.47,2.85,SELL,16754.50
2023-06-15,48.58,52.97,48.26,51.27,38.02,34.64,83.56,3.52,SELL,16754.50
2023-06-16,56.2,57.39,53.51,54.87,39.23,35.08,86.13,4.30,SELL,16754.50
2023-08-14,44.22,47.68,44.11,47.61,47.48,47.68,50.07,-0.03,SELL,16754.50
2023-08-16,35.74,36.48,29.6001,32.97,46.58,47.76,26.13,-1.23,BUY,16754.50
2023-08-17,33.3,34.55,32.24,33.44,45.92,47.64,27.33,-2.08,BUY,16993.26
2023-09-19,31.84,31.84,30.52,30.74,34.69,41.64,29.71,-2.68,BUY,15621.66
2023-09-21,29.59,29.9,28.47,28.92,33.94,40.80,26.04,-2.85,BUY,14697.10
2023-11-17,35.84,36.2062,35.55,36.07,32.39,32.22,63.83,0.93,BUY,18329.30
2023-12-04,37.81,39.34,37.5,39.2,35.60,33.22,70.38,1.41,SELL,19919.34
2023-12-07,39.17,40.505,38.91,40.42,36.49,33.67,72.36,1.66,SELL,19919.34
2023-12-08,40.17,41.81,40.04,41.38,36.90,33.85,74.82,1.83,SELL,19919.34
2023-12-11,41.15,42.28,40.68,41.85,37.29,34.04,75.95,1.97,SELL,19919.34
2024-02-06,58.48,59.86,55.0,58.0,46.89,43.51,82.30,2.56,SELL,19919.34
2024-02-07,59.29,63.37,58.63,61.89,47.86,44.03,85.50,3.38,SELL,19919.34
2024-02-08,61.0,63.63,59.84,61.81,48.87,44.54,85.16,3.97,SELL,19919.34
2024-03-04,64.02,67.49,64.02,66.89,59.81,50.87,74.06,3.27,SELL,19919.34
2024-03-05,66.07,67.94,64.94,65.94,60.63,51.33,70.83,3.47,SELL,19919.34
2024-04-11,56.24,56.86,55.89,56.03,59.31,59.46,39.50,-0.79,SELL,19919.34
2024-05-28,60.45,60.7999,58.739,59.03,56.65,56.63,58.36,0.93,BUY,19919.34
2024-06-03,61.05,70.33,60.49,70.1,57.83,56.70,73.75,1.70,SELL,23649.93
2024-07-08,75.33,77.2799,75.275,76.55,71.57,63.42,73.64,3.13,SELL,23649.93
2024-07-10,75.67,77.135,75.325,76.55,72.53,64.30,70.00,3.12,SELL,23649.93
2024-07-11,77.28,78.2,75.37,76.76,73.02,64.72,70.40,3.13,SELL,23649.93
2024-07-12,76.69,79.33,75.685,78.4,73.42,65.19,73.40,3.24,SELL,23649.93
2024-07-15,78.61,80.21,78.4,79.44,73.84,65.69,75.12,3.37,SELL,23649.93
2024-07-16,80.0,80.93,78.9,80.48,74.28,66.20,76.74,3.51,SELL,23649.93
2024-08-08,58.98,62.83,58.42,61.98,68.88,69.61,42.13,-3.40,SELL,23649.93
2024-09-03,76.0,76.35,71.765,71.88,72.41,72.11,46.98,2.30,BUY,23649.93
2024-11-07,103.0,110.272,96.16,109.45,98.24,89.75,70.54,2.11,SELL,36010.46
2024-11-08,108.71,111.66,105.13,110.02,98.51,90.40,71.03,2.93,SELL,36010.46
2025-01-07,101.02,101.81,96.21,97.43,100.56,100.98,46.08,-0.69,SELL,36010.46
2025-05-13,77.94,80.11,77.7,78.9,65.24,64.65,69.56,3.32,BUY,36010.46
2025-06-26,86.5,90.18,84.9889,89.88,81.02,75.29,70.21,2.43,SELL,41017.34
2025-08-07,111.96,114.26,110.355,113.82,101.90,90.87,74.18,5.37,SELL,41017.34
2025-08-08,114.23,115.9192,112.5858,115.44,103.01,91.59,75.53,5.79,SELL,41017.34
2025-09-04,90.5,95.67,90.0,95.62,96.51,96.71,50.95,-2.33,SELL,41017.34
