Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2025-01-17,9.85,9.9,9.54,9.7,10.91,10.71,39.17,-0.22,BUY,10000.00
2025-02-04,10.13,10.21,9.87,10.16,10.25,10.29,47.79,-0.29,SELL,10473.80
2025-05-02,11.99,12.09,11.74,11.99,13.62,13.62,38.97,-0.55,SELL,10473.80
2025-05-13,8.8,8.8,5.625,5.99,12.32,13.43,21.95,-0.95,BUY,10473.80
2025-05-14,5.99,6.12,5.64,5.69,11.90,13.29,21.39,-1.33,BUY,9949.40
2025-06-18,5.5,5.6,3.55,3.71,5.59,8.98,28.70,-0.98,BUY,6488.36
2025-06-19,3.71,3.71,3.71,3.71,5.52,8.78,28.70,-1.05,BUY,6488.36
2025-06-20,3.51,3.6397,3.3288,3.38,5.42,8.55,27.24,-1.11,BUY,5911.52
2025-06-23,3.53,3.6754,3.2512,3.4,5.32,8.34,27.48,-1.15,BUY,5946.48
2025-06-24,3.24,3.3,2.49,2.59,5.19,8.11,24.02,-1.24,BUY,4530.60
2025-07-03,2.38,2.3909,2.28,2.3,3.96,6.55,27.23,-1.27,BUY,4023.39
2025-07-22,1.63,1.8299,1.61,1.74,2.10,4.09,26.92,-0.85,BUY,3043.95
2025-08-18,53.06,54.5,49.021,50.12,7.14,4.74,95.95,6.74,SELL,87660.57
2025-08-19,50.23,56.03,49.66,55.93,9.85,5.75,96.41,9.42,SELL,87660.57
