Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-11-09,7.55,8.02,6.99,7.17,12.10,13.33,29.53,-1.36,BUY,10000.00
2023-01-24,8.36,8.8324,8.15,8.16,6.15,6.01,61.70,0.72,BUY,11380.06
2023-02-02,11.62,15.78,11.62,14.81,8.07,6.44,78.51,1.45,SELL,20650.16
2023-03-21,12.59,14.79,12.54,14.52,9.93,9.53,70.68,0.77,SELL,20650.16
2023-04-18,10.66,11.03,9.88,10.03,9.87,9.92,50.55,0.07,SELL,20650.16
2023-06-30,10.76,10.98,9.52,10.24,7.74,7.73,68.81,0.59,BUY,20650.16
2023-07-03,10.55,12.22,10.55,12.07,7.95,7.83,76.76,0.80,SELL,24339.44
2023-07-13,13.18,18.54,12.77,18.21,10.29,8.73,83.92,1.87,SELL,24339.44
2023-08-24,11.06,11.07,10.1221,10.18,12.40,12.44,36.38,-0.87,SELL,24339.44
2023-11-09,13.71,15.19,13.37,13.7,10.93,10.80,68.51,0.62,BUY,24339.44
2023-11-28,20.48,22.22,19.87,22.02,14.67,11.98,87.73,2.28,SELL,39115.76
2023-12-22,33.03,35.52,32.4,34.57,26.07,17.89,79.99,4.11,SELL,39115.76
2023-12-27,34.87,37.92,34.6232,37.41,27.52,18.91,80.19,4.51,SELL,39115.76
2024-01-29,20.75,23.94,20.48,22.73,24.30,24.60,47.21,-1.72,SELL,39115.76
2024-02-16,43.0,44.73,38.82,39.44,23.35,26.04,73.89,2.25,SELL,39115.76
2024-02-26,34.22,45.278,34.01,44.1,27.38,27.18,68.90,3.89,BUY,39115.76
2024-04-29,54.37,54.5,47.9701,48.78,58.63,59.49,43.47,-2.91,SELL,43262.24
2024-06-13,60.31,62.06,55.37,57.53,53.21,52.99,53.47,2.27,BUY,43262.24
2024-07-10,44.8,45.4599,42.22,44.01,49.05,49.32,42.90,-2.17,SELL,33108.72
2024-09-06,21.6,21.82,17.24,17.49,30.27,39.64,27.89,-5.16,BUY,33108.72
2024-10-23,31.68,32.7856,28.08,29.49,26.51,26.37,53.58,2.04,BUY,55824.72
2024-11-11,59.25,71.68,57.75,67.81,34.70,27.20,78.91,5.77,SELL,128364.48
2024-11-12,61.86,68.97,60.22,65.62,36.52,28.04,76.05,7.38,SELL,128364.48
2025-01-06,44.46,48.65,42.05,46.96,48.79,48.88,49.80,-3.26,SELL,128364.48
2025-05-14,27.405,28.968,26.67,28.7,18.13,17.00,74.95,1.73,SELL,128364.48
2025-06-20,35.49,37.1,34.23,36.56,26.93,22.76,70.36,2.31,SELL,128364.48
2025-06-24,37.96,46.0997,37.3825,45.06,28.16,23.83,78.00,3.71,SELL,128364.48
2025-06-25,49.17,51.5,44.87,47.7,29.24,24.51,79.81,4.65,SELL,128364.48
2025-06-26,47.73,54.97,47.73,53.0,30.64,25.31,82.85,5.76,SELL,128364.48
2025-08-18,33.361,36.2883,32.5,35.51,42.74,43.28,39.23,-3.60,SELL,128364.48
