Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-05-09,10.54,10.59,9.64,9.74,11.30,13.31,28.50,-0.73,BUY,10000.00
2022-05-10,9.88,10.0293,9.08,9.42,11.14,13.19,26.74,-0.81,BUY,9671.68
2022-05-11,9.37,9.49,8.78,8.8,10.97,13.04,23.70,-0.91,BUY,9035.56
2022-06-14,12.1,12.66,11.9,12.6,11.32,11.28,58.49,0.50,BUY,12934.36
2022-07-22,11.93,11.93,11.17,11.27,11.45,11.52,46.69,-0.08,SELL,11569.78
2022-07-28,13.96,15.25,13.66,15.21,11.77,11.80,72.87,0.44,SELL,11569.78
2022-09-15,12.88,13.038,12.03,12.14,13.55,13.65,35.63,-0.45,SELL,11569.78
2022-10-11,10.25,10.28,9.79,9.88,11.54,13.27,27.31,-0.66,BUY,11569.78
2022-11-07,14.25,14.25,13.14,13.57,12.29,12.21,59.85,0.58,BUY,15890.77
2022-12-30,12.95,13.34,12.95,13.31,13.86,13.95,45.86,-0.33,SELL,15586.31
2023-01-24,15.65,17.53,15.53,17.08,13.91,14.06,75.10,0.59,SELL,15586.31
2023-01-25,16.83,17.5,16.42,17.46,14.17,14.12,76.67,0.76,BUY,15586.31
2023-02-15,10.67,11.89,10.01,10.3,17.24,15.09,25.25,0.48,BUY,9199.59
2023-02-16,10.29,10.755,10.1,10.2,17.02,14.99,25.05,-0.10,BUY,9110.29
2023-02-17,10.16,10.23,9.63,9.65,16.76,14.89,23.93,-0.60,BUY,8619.14
2023-03-02,10.17,10.629,10.02,10.26,13.98,14.28,31.23,-1.61,SELL,9163.87
2023-03-15,8.47,8.49,8.15,8.25,9.82,13.64,23.63,-1.56,BUY,9163.87
2023-03-16,8.19,8.4,8.15,8.23,9.72,13.55,23.55,-1.56,BUY,9141.67
2023-03-17,8.275,8.285,7.8415,8.17,9.62,13.47,23.29,-1.54,BUY,9075.07
2023-03-20,8.2,8.25,7.91,8.2,9.54,13.38,23.75,-1.51,BUY,9108.37
2023-04-25,8.33,8.33,7.72,7.72,8.89,9.38,28.09,-0.37,BUY,8575.57
2023-05-18,9.86,10.365,9.84,10.19,8.22,8.55,71.75,0.12,SELL,11317.27
2023-05-24,10.83,10.95,10.65,10.93,8.71,8.71,75.36,0.56,BUY,11317.27
2023-05-26,12.08,13.9,12.0699,13.72,9.17,8.90,86.50,0.94,SELL,14204.92
2023-06-01,14.38,17.145,13.73,16.54,10.51,9.39,88.82,1.59,SELL,14204.92
2023-06-21,18.34,18.61,17.6,17.84,16.11,11.66,76.54,1.94,SELL,14204.92
2023-08-04,16.06,16.68,15.9,16.45,16.56,16.61,50.07,0.04,SELL,14204.92
2023-10-13,15.55,15.865,15.32,15.56,15.52,15.49,48.26,0.14,BUY,14204.92
2023-10-27,13.86,14.07,13.62,13.91,15.34,15.41,36.38,-0.42,SELL,12700.12
2023-11-20,17.7,18.28,17.65,18.19,15.43,15.39,74.17,0.70,BUY,12700.12
2024-03-22,21.8,22.25,21.27,21.99,21.16,21.20,55.84,-0.16,SELL,15352.52
2024-05-30,21.4,25.88,21.4,25.69,18.86,19.62,80.76,0.79,SELL,15352.52
2024-05-31,25.31,26.2,24.82,26.07,19.30,19.72,81.46,1.19,SELL,15352.52
2024-06-04,25.0,25.0,23.94,24.68,20.08,19.85,70.98,1.55,BUY,15352.52
2024-06-27,29.89,31.3,29.71,31.29,27.83,22.09,74.33,2.19,SELL,19463.94
2024-06-28,31.47,32.778,31.45,31.94,28.14,22.36,75.85,2.29,SELL,19463.94
2024-07-05,31.55,32.17,31.36,31.63,29.31,23.48,72.05,2.22,SELL,19463.94
2024-08-08,25.62,27.18,25.05,26.87,28.41,28.56,46.32,-0.99,SELL,19463.94
2024-08-21,32.0,36.11,31.84,36.08,28.23,29.42,75.26,1.07,SELL,19463.94
2024-08-28,34.96,35.22,33.18,34.1,30.14,30.07,61.40,1.89,BUY,19463.94
2024-09-24,29.91,29.99,28.75,29.88,29.28,29.40,52.83,-0.37,SELL,17058.54
2024-10-08,32.83,33.8,32.5,33.71,29.81,29.72,65.04,0.79,BUY,17058.54
2024-10-10,34.85,37.29,34.69,37.24,30.71,30.09,73.83,1.40,SELL,18844.72
2024-10-11,37.06,39.0,36.6,38.26,31.20,30.33,75.78,1.75,SELL,18844.72
2024-11-07,45.19,47.13,45.11,47.02,39.73,33.93,74.05,2.70,SELL,18844.72
2024-11-08,47.13,48.32,46.1,48.0,40.22,34.18,75.41,3.03,SELL,18844.72
2024-12-03,64.44,72.3,64.0,70.69,46.41,40.11,81.98,4.05,SELL,18844.72
2024-12-04,72.11,75.3,67.51,69.01,47.77,40.89,78.64,5.29,SELL,18844.72
2024-12-05,69.2,72.27,66.01,70.4,49.07,41.70,79.39,6.32,SELL,18844.72
2025-01-22,83.75,86.69,83.2,85.5,73.27,62.97,70.34,4.67,SELL,18844.72
2025-02-20,70.75,71.91,65.08,71.28,71.89,72.10,48.80,0.49,SELL,18844.72
2025-05-12,55.77,56.79,53.2799,55.23,43.82,43.66,68.82,2.37,BUY,18844.72
2025-06-03,74.95,80.99,71.33,71.92,59.95,48.67,76.76,4.80,SELL,24536.01
2025-06-04,73.03,77.29,69.95,76.46,61.35,49.21,80.12,5.55,SELL,24536.01
2025-06-18,81.81,86.84,80.6,85.59,69.80,56.31,76.96,6.53,SELL,24536.01
2025-07-15,101.9,103.18,99.495,102.59,91.88,74.90,76.94,7.23,SELL,24536.01
2025-07-16,102.5,103.38,98.3119,101.19,92.95,75.97,73.30,7.17,SELL,24536.01
2025-07-28,104.63,108.04,103.42,107.95,96.72,82.87,70.61,5.36,SELL,24536.01
2025-07-29,110.0,112.67,108.52,109.38,97.56,83.82,71.74,5.79,SELL,24536.01
2025-07-30,111.98,116.5991,111.25,116.01,98.98,84.89,76.31,6.59,SELL,24536.01
