Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2016-02-02,1.68,1.68,1.47,1.53,1.98,2.17,29.61,-0.13,BUY,10000.00
2016-02-03,1.53,1.53,1.2,1.36,1.95,2.14,25.71,-0.16,BUY,8889.05
2016-02-08,1.23,1.23,1.04,1.08,1.83,2.06,22.66,-0.22,BUY,7058.97
2016-03-17,1.48,1.6,1.38,1.42,1.73,1.73,38.64,-0.03,BUY,9281.21
2016-04-21,2.8,3.0,2.65,2.92,2.24,1.90,77.17,0.24,SELL,19085.21
2016-05-23,2.2,2.2,1.91,1.98,2.06,2.08,46.90,-0.07,SELL,19085.21
2016-06-29,1.96,2.69,1.85,2.36,1.67,1.91,73.70,0.01,SELL,19085.21
2016-07-20,1.83,1.88,1.77,1.79,1.79,1.77,50.88,0.01,BUY,19085.21
2016-09-27,2.05,2.1,2.01,2.07,2.02,2.02,53.17,0.01,SELL,22070.57
2016-11-04,2.22,2.27,2.1,2.2,2.01,2.00,60.26,0.05,BUY,22070.57
2016-11-17,2.27,2.67,2.27,2.55,2.15,2.05,70.83,0.10,SELL,25581.77
2016-12-09,2.63,2.87,2.63,2.87,2.42,2.19,73.83,0.12,SELL,25581.77
2016-12-12,2.9,3.25,2.82,3.1,2.47,2.21,78.58,0.16,SELL,25581.77
2016-12-13,3.4,3.4,3.12,3.21,2.52,2.23,80.41,0.20,SELL,25581.77
2016-12-14,3.03,3.41,2.75,3.25,2.56,2.26,81.05,0.23,SELL,25581.77
2017-02-16,3.29,3.37,3.14,3.24,3.25,3.25,51.24,0.02,SELL,25581.77
2017-02-28,3.5,3.57,3.3,3.56,3.26,3.26,65.98,0.04,BUY,25581.77
2017-03-01,3.59,3.87,3.4,3.72,3.28,3.26,70.80,0.07,SELL,26731.37
2017-03-28,2.08,2.18,1.96,2.01,3.53,3.36,24.69,-0.07,BUY,26731.37
2017-03-29,2.03,2.15,2.02,2.07,3.44,3.34,26.30,-0.17,BUY,27529.31
2017-04-03,2.42,2.42,2.22,2.34,3.26,3.29,33.71,-0.28,SELL,31120.04
2017-05-19,3.24,3.42,3.23,3.42,2.74,2.73,74.55,0.20,BUY,31120.04
2017-06-06,3.6,3.89,3.59,3.89,3.31,2.73,75.72,0.23,SELL,35396.57
2017-06-07,3.99,4.1,3.71,3.93,3.36,2.76,76.41,0.25,SELL,35396.57
2017-06-08,3.91,4.05,3.91,4.01,3.41,2.79,77.76,0.27,SELL,35396.57
2017-06-09,4.09,4.15,3.98,4.06,3.46,2.83,78.59,0.29,SELL,35396.57
2017-06-12,4.48,4.48,4.01,4.33,3.51,2.87,82.40,0.32,SELL,35396.57
2017-07-12,5.0,5.65,4.95,5.47,4.79,3.95,74.64,0.31,SELL,35396.57
2017-07-13,5.5,5.53,5.05,5.46,4.83,4.01,74.24,0.33,SELL,35396.57
2017-07-14,5.5,5.77,5.4,5.71,4.89,4.08,77.50,0.37,SELL,35396.57
2017-07-17,5.87,6.1,5.73,5.91,4.95,4.14,79.71,0.40,SELL,35396.57
2017-07-25,6.13,6.58,6.08,6.43,5.30,4.48,78.56,0.44,SELL,35396.57
2017-07-26,6.9,7.18,6.6,6.94,5.40,4.55,82.58,0.51,SELL,35396.57
2017-09-06,8.17,8.745,8.1,8.57,7.40,6.48,71.77,0.40,SELL,35396.57
2017-09-07,8.72,9.24,8.62,8.96,7.51,6.57,74.82,0.48,SELL,35396.57
2017-10-26,7.49,7.525,7.35,7.37,8.35,8.44,36.09,-0.28,SELL,35396.57
