Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-12-11,102.31,103.9799,100.98,101.5,95.71,85.42,71.02,3.85,SELL,10000.00
2024-02-08,116.32,119.3,115.3168,118.3,107.48,102.32,72.08,3.51,SELL,10000.00
2024-02-09,119.18,119.79,118.0,119.31,108.24,102.82,73.08,3.98,SELL,10000.00
2024-02-15,118.59,126.65,118.5,126.27,111.50,104.76,75.48,5.09,SELL,10000.00
2024-03-04,132.01,134.43,131.275,132.4,119.66,109.51,70.58,5.13,SELL,10000.00
2024-05-03,116.48,116.7474,112.89,113.81,130.31,131.54,28.34,-3.24,BUY,10000.00
2024-08-12,123.53,124.57,121.44,124.04,111.20,110.75,67.34,4.12,BUY,10890.01
2024-09-19,137.56,138.65,136.05,137.29,128.50,120.21,71.34,3.03,SELL,12042.76
2024-09-20,137.36,139.89,136.5314,139.72,129.05,120.90,73.99,3.55,SELL,12042.76
2024-10-16,148.51,150.06,147.31,149.86,143.67,134.02,71.11,4.69,SELL,12042.76
2024-10-17,151.71,152.11,149.8,151.4,144.37,134.62,73.02,4.80,SELL,12042.76
2024-10-18,151.63,152.525,150.34,151.98,144.98,135.16,73.73,4.87,SELL,12042.76
2024-11-06,162.3,169.735,161.655,169.64,153.60,142.41,84.87,5.39,SELL,12042.76
2024-11-07,169.13,171.2,167.64,170.59,154.90,143.28,85.40,6.07,SELL,12042.76
2024-11-08,170.4,172.18,169.57,171.4,156.00,144.18,85.85,6.60,SELL,12042.76
2024-11-11,171.4,175.23,170.51,174.95,157.25,145.10,87.66,7.23,SELL,12042.76
2025-01-13,169.65,169.93,166.41,168.37,171.68,171.96,45.39,-0.26,SELL,12042.76
2025-01-29,184.91,186.785,184.01,185.78,175.05,174.72,67.52,3.30,BUY,12042.76
2025-02-14,205.74,214.64,204.865,213.38,190.29,179.68,82.95,7.79,SELL,13809.16
2025-03-25,199.0,201.03,196.85,199.72,189.84,189.94,58.04,0.78,SELL,13809.16
2025-05-09,183.19,185.59,180.58,183.52,186.07,185.68,47.76,1.09,BUY,13809.16
2025-06-23,225.255,230.87,222.482,230.32,216.23,201.53,71.94,6.30,SELL,17319.16
2025-06-24,231.75,237.42,231.39,236.17,217.79,202.62,75.59,7.14,SELL,17319.16
2025-06-26,232.65,239.8325,231.75,239.64,220.85,204.85,74.06,8.13,SELL,17319.16
2025-06-27,239.71,242.63,235.68,242.315,222.53,206.07,75.50,8.81,SELL,17319.16
2025-06-30,244.3,247.08,241.9583,246.51,224.22,207.56,77.60,9.57,SELL,17319.16
2025-08-07,272.64,278.15,259.1201,270.99,246.09,234.41,73.43,7.53,SELL,17319.16
