Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-11-09,153.89,157.25,146.29,146.73,168.24,168.66,38.40,-2.92,SELL,10000.00
2022-04-07,95.11,97.6375,91.45,96.36,89.85,89.28,55.39,3.11,BUY,10000.00
2022-05-10,75.19,76.45,65.44,69.52,86.87,87.15,33.21,-3.42,SELL,7235.48
2022-05-11,69.18,69.325,60.5003,63.0,85.36,86.87,29.44,-4.76,BUY,7235.48
2022-06-15,87.88,93.99,87.88,92.23,86.54,86.21,55.03,2.27,BUY,10567.70
2022-09-07,91.72,94.08,91.365,93.95,96.95,97.26,46.52,-1.52,SELL,10763.78
2022-10-06,102.99,105.73,102.33,104.29,97.72,97.47,61.68,1.05,BUY,10763.78
2022-10-10,98.53,98.6599,96.5,98.3,97.52,97.68,51.34,0.90,SELL,10146.81
2022-10-14,92.91,93.82,78.25,78.31,95.63,96.86,29.77,-1.44,BUY,10146.81
2023-01-12,78.6,80.85,77.735,80.12,72.18,71.84,68.35,1.24,BUY,10380.30
2023-02-02,99.29,105.46,99.2,105.3,84.99,76.23,85.47,6.44,SELL,13628.52
2023-03-01,103.11,111.41,101.27,110.98,94.87,84.81,72.79,2.51,SELL,13628.52
2023-03-02,110.34,121.33,109.87,119.88,95.99,85.74,77.47,4.37,SELL,13628.52
2023-03-03,116.12,120.3788,111.01,119.27,96.69,86.73,76.50,5.74,SELL,13628.52
2023-03-06,119.78,127.52,119.61,127.35,98.06,87.86,80.06,7.38,SELL,13628.52
2023-03-30,137.24,138.48,135.87,136.01,128.75,107.70,71.83,9.09,SELL,13628.52
2023-03-31,137.0,146.4013,136.28,142.59,129.91,108.89,76.79,9.24,SELL,13628.52
2023-06-06,161.2,168.395,161.2,167.05,149.90,141.21,71.01,6.02,SELL,13628.52
2023-07-10,134.33,140.52,133.32,138.91,145.19,145.23,44.44,-3.18,SELL,13628.52
2023-08-03,142.0,145.0,140.31,141.24,149.41,149.26,43.24,-0.07,BUY,13628.52
2023-08-09,144.23,153.42,141.51,144.91,148.44,148.60,48.94,-1.82,SELL,13980.84
2023-09-15,158.1,160.54,157.48,159.53,146.34,145.56,64.69,5.46,BUY,13980.84
2023-11-07,157.5,166.86,157.5,164.53,157.30,157.83,57.10,-1.00,SELL,14415.84
2023-11-09,185.0,203.51,184.0,203.02,158.41,159.40,74.83,3.70,SELL,14415.84
2023-11-13,207.07,214.72,202.6,213.32,163.28,161.97,77.55,10.02,SELL,14415.84
2023-12-13,227.5,234.7,225.33,233.07,216.74,186.73,71.38,10.30,SELL,14415.84
2023-12-14,234.55,239.75,227.62,234.69,218.23,188.16,72.13,10.83,SELL,14415.84
2023-12-18,231.27,241.75,229.16,240.2,220.83,191.03,72.57,11.47,SELL,14415.84
2023-12-19,243.92,245.8699,240.58,241.21,222.07,192.37,73.02,11.89,SELL,14415.84
2024-01-22,199.8,203.51,192.33,196.64,215.18,216.71,35.34,-5.09,SELL,14415.84
2024-01-31,184.96,186.18,178.71,178.89,200.47,214.69,25.67,-8.25,BUY,14415.84
2024-02-29,240.61,240.77,221.95,239.0,186.68,201.61,76.29,1.67,SELL,19224.64
2024-03-01,238.58,241.86,230.2,236.49,189.44,201.53,74.18,4.93,SELL,19224.64
2024-03-11,218.88,225.96,215.91,222.64,199.46,199.00,61.94,7.23,BUY,19224.64
2024-04-26,218.5,227.65,218.49,222.66,212.10,212.15,56.59,-0.19,SELL,19226.36
2024-07-11,189.74,194.475,188.43,192.57,199.96,199.37,45.82,-2.15,BUY,19226.36
2024-07-23,176.95,180.865,175.6,179.1,191.36,191.39,38.57,-5.56,SELL,17892.83
2024-07-24,176.0,176.67,163.37,163.8,189.30,190.90,29.44,-6.80,BUY,17892.83
2024-08-28,206.48,207.37,202.38,202.82,190.82,189.64,57.26,7.52,BUY,22146.01
2024-09-12,224.0,229.9,223.2,228.96,210.30,191.64,70.63,8.52,SELL,24995.27
2024-09-13,228.38,230.05,225.26,228.73,211.62,192.34,70.35,9.05,SELL,24995.27
2024-09-16,228.73,234.61,227.65,234.0,213.17,193.16,72.99,9.79,SELL,24995.27
2024-09-17,235.86,242.66,235.86,242.48,214.93,194.07,76.61,10.93,SELL,24995.27
2024-09-18,242.48,258.0,241.49,250.23,217.25,195.34,79.33,12.32,SELL,24995.27
2024-09-19,257.0,265.6,256.2205,264.0,219.95,196.86,83.10,14.37,SELL,24995.27
2024-09-20,260.46,270.28,260.46,268.34,222.93,198.38,84.08,16.15,SELL,24995.27
2024-10-07,280.91,282.045,276.28,279.75,261.78,220.62,71.89,18.88,SELL,24995.27
2024-10-30,294.98,311.91,292.1073,299.97,287.51,257.19,70.88,9.19,SELL,24995.27
2024-11-06,310.0,319.44,304.0,318.85,291.28,266.20,74.42,9.81,SELL,24995.27
2024-11-07,304.42,324.0,299.125,315.82,292.56,268.46,71.23,10.63,SELL,24995.27
2024-11-08,318.7,330.61,314.63,326.89,294.42,270.84,75.38,12.04,SELL,24995.27
2024-11-22,342.45,352.39,340.69,351.97,313.32,292.45,73.02,14.07,SELL,24995.27
2025-01-14,320.0,325.0,311.78,312.52,332.37,332.93,38.47,-5.18,SELL,24995.27
2025-02-06,390.0,392.7099,380.1695,389.36,345.84,345.26,70.64,13.24,BUY,24995.27
2025-02-13,400.98,431.37,399.14,430.32,366.67,350.42,74.44,19.21,SELL,27616.71
2025-03-03,312.33,324.25,291.77,295.23,389.92,357.46,28.55,-4.42,BUY,27616.71
2025-03-13,288.62,288.9,269.77,272.49,348.01,348.53,32.96,-26.75,SELL,25501.89
2025-04-29,383.21,396.858,372.685,385.13,334.93,330.78,66.31,15.29,BUY,25501.89
2025-05-02,436.92,487.0,433.0,486.42,349.79,330.39,81.63,26.90,SELL,32187.03
2025-05-05,480.66,504.31,475.53,494.13,359.85,332.56,82.30,33.59,SELL,32187.03
2025-05-21,522.77,531.94,510.72,514.3,475.43,379.76,70.40,45.62,SELL,32187.03
2025-06-24,454.65,455.755,417.28,422.79,491.08,468.28,26.72,-8.45,BUY,32187.03
2025-06-25,435.04,437.4,396.51,397.68,484.74,469.73,22.12,-13.66,BUY,30278.67
2025-06-30,416.35,426.8,409.1,410.02,467.75,474.75,29.40,-20.61,SELL,31216.51
2025-07-23,358.0,366.64,357.65,359.79,382.89,454.46,29.22,-25.27,BUY,31216.51
2025-07-28,362.25,364.06,335.1,340.49,375.79,443.77,25.46,-23.70,BUY,29556.71
2025-07-29,342.5,342.75,331.22,333.71,371.97,440.04,23.87,-24.47,BUY,28973.63
