Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2025-02-13,56.0,56.05,47.62,49.54,68.36,68.11,27.40,-2.15,BUY,10000.00
2025-03-10,39.13,39.61,38.17,38.24,46.05,60.05,29.86,-6.63,BUY,7728.70
2025-05-05,44.61,45.83,44.61,45.4,39.37,39.00,64.93,1.07,BUY,9175.02
2025-05-14,59.3,65.0,56.4975,60.3,43.75,40.27,83.72,3.67,SELL,12184.82
2025-05-15,59.3,61.42,59.3,61.24,44.90,40.70,84.34,4.43,SELL,12184.82
2025-06-27,62.09,64.045,62.09,63.42,60.42,54.14,71.97,1.97,SELL,12184.82
2025-06-30,63.69,64.585,63.03,63.53,60.72,54.69,72.27,2.02,SELL,12184.82
2025-07-02,62.96,64.28,62.43,64.05,61.06,55.72,70.99,2.03,SELL,12184.82
2025-07-03,64.33,65.9999,64.0,65.16,61.30,56.21,73.86,2.13,SELL,12184.82
2025-07-09,65.99,67.81,65.392,67.45,62.05,57.70,76.04,2.35,SELL,12184.82
2025-07-25,69.33,73.59,68.95,73.53,67.20,62.56,76.59,2.59,SELL,12184.82
2025-07-30,74.14,75.71,73.92,75.29,68.80,63.45,76.17,3.09,SELL,12184.82
2025-08-13,83.6,90.0,77.07,79.16,71.93,66.48,71.10,2.49,SELL,12184.82
