Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-07-23,22.6,23.32,19.3,19.99,26.50,32.34,22.67,-2.98,BUY,10000.00
2021-07-26,20.0,20.37,19.06,19.44,26.00,31.90,21.95,-3.19,BUY,9725.00
2021-08-03,20.7,23.46,6.41,7.92,24.21,30.51,24.87,-3.31,BUY,3965.00
2021-08-04,7.77,8.64,6.81,6.97,23.15,30.05,24.22,-4.22,BUY,3490.00
2021-08-05,6.7,6.79,5.85,5.95,22.05,29.51,23.51,-4.97,BUY,2980.00
2021-08-20,3.45,3.6262,3.31,3.36,10.28,21.70,21.88,-5.82,BUY,1685.00
2021-08-30,3.82,3.92,3.35,3.62,4.52,17.76,25.14,-4.24,BUY,1815.26
2021-08-31,3.71,3.89,3.64,3.73,4.31,17.16,25.85,-4.00,BUY,1870.37
2021-09-01,3.73,3.82,3.65,3.73,4.15,16.59,25.85,-3.76,BUY,1870.37
2021-09-02,3.8,3.88,3.7,3.75,4.04,16.03,26.00,-3.53,BUY,1880.39
2021-09-03,3.76,3.8,3.66,3.73,3.96,15.47,25.94,-3.32,BUY,1870.37
2021-09-06,3.73,3.73,3.73,3.73,3.88,14.96,25.94,-3.11,BUY,1870.37
2021-09-07,3.7,3.7742,3.55,3.76,3.80,14.45,26.22,-2.91,BUY,1885.40
2021-09-08,3.77,3.92,3.5703,3.83,3.77,13.95,26.89,-2.71,BUY,1920.47
2021-09-09,3.75,3.88,3.7,3.82,3.74,13.52,26.86,-2.53,BUY,1915.46
2021-09-10,3.81,3.89,3.65,3.69,3.73,13.06,26.33,-2.36,BUY,1850.33
2021-09-13,3.54,3.6,3.45,3.6,3.73,12.60,25.96,-2.22,BUY,1805.24
2021-09-14,3.56,3.57,3.25,3.31,3.70,12.15,24.73,-2.10,BUY,1659.95
2021-09-15,3.27,3.46,3.26,3.42,3.69,11.65,26.16,-1.97,BUY,1715.06
2021-09-16,3.38,3.462,3.27,3.41,3.70,11.16,26.11,-1.85,BUY,1710.05
2021-09-17,3.37,3.45,3.32,3.4,3.70,10.66,26.06,-1.74,BUY,1705.04
2021-09-20,3.19,3.25,2.93,3.0,3.67,10.13,24.00,-1.66,BUY,1504.64
2021-09-21,3.0,3.03,2.85,2.87,3.62,9.59,23.36,-1.59,BUY,1439.51
2021-09-22,2.85,2.89,2.74,2.78,3.55,9.07,22.90,-1.53,BUY,1394.42
2021-09-23,2.79,2.84,2.58,2.68,3.48,8.57,22.37,-1.47,BUY,1344.32
2021-09-24,2.61,2.95,2.57,2.78,3.43,8.12,24.25,-1.40,BUY,1394.42
2021-09-27,2.75,2.8,2.66,2.74,3.39,7.69,24.00,-1.33,BUY,1374.38
2021-09-28,2.74,2.75,2.58,2.6,3.33,7.28,23.10,-1.27,BUY,1304.24
2021-12-06,1.87,1.8891,1.77,1.83,2.28,2.55,29.91,-0.23,BUY,918.47
2021-12-29,1.56,1.575,1.36,1.48,1.74,2.23,28.94,-0.21,BUY,743.12
2022-01-06,1.39,1.4299,1.28,1.29,1.59,2.06,26.23,-0.19,BUY,647.74
2022-01-10,1.3273,1.328,1.198,1.24,1.53,1.99,25.23,-0.20,BUY,622.64
2022-01-13,1.2,1.22,1.09,1.09,1.45,1.90,21.46,-0.21,BUY,547.34
2022-02-01,0.7941,0.869,0.745,0.772,1.01,1.49,21.83,-0.23,BUY,387.70
2022-02-17,0.69,0.709,0.6521,0.6571,0.76,1.16,26.48,-0.14,BUY,330.02
2022-02-18,0.67,0.67,0.581,0.6,0.74,1.14,23.71,-0.14,BUY,301.36
2022-02-21,0.6,0.6,0.6,0.6,0.73,1.11,23.71,-0.14,BUY,301.36
2022-02-22,0.5952,0.6199,0.55,0.5766,0.72,1.09,22.59,-0.14,BUY,289.61
2022-02-23,0.5954,0.6,0.5523,0.5632,0.71,1.07,21.95,-0.14,BUY,282.89
2022-03-29,0.78,0.808,0.761,0.7898,0.74,0.73,52.89,0.01,BUY,396.64
2022-04-22,0.6404,0.6502,0.6007,0.6035,0.68,0.69,36.01,-0.04,SELL,303.12
2022-05-09,0.45,0.4593,0.4103,0.4174,0.57,0.67,24.06,-0.06,BUY,303.12
2022-05-11,0.4289,0.4289,0.3658,0.3799,0.54,0.66,23.13,-0.07,BUY,275.89
2022-05-25,0.3379,0.3773,0.3379,0.3599,0.44,0.59,28.87,-0.07,BUY,261.37
2022-07-01,0.2913,0.3,0.28,0.285,0.33,0.39,27.17,-0.03,BUY,206.99
2022-08-04,0.35,0.399,0.308,0.39,0.30,0.32,72.39,0.00,SELL,283.22
2022-09-19,0.19,0.199,0.152,0.155,0.20,0.25,26.45,-0.02,BUY,283.22
2022-09-20,0.1514,0.1581,0.12,0.1245,0.20,0.25,21.42,-0.02,BUY,227.50
2022-09-21,0.126,0.126,0.114,0.1157,0.19,0.25,20.22,-0.03,BUY,211.42
2022-09-22,0.1179,0.1262,0.1091,0.122,0.19,0.24,23.51,-0.03,BUY,222.93
2022-09-26,0.1138,0.1145,0.08,0.09,0.18,0.24,18.97,-0.03,BUY,164.47
2022-10-04,2.01,2.06,1.7289,1.8,0.23,0.25,95.10,0.10,SELL,3288.64
2022-11-24,0.61,0.61,0.61,0.61,0.86,0.89,29.45,-0.10,SELL,3288.64
2022-12-16,0.4699,0.47,0.3732,0.4042,0.55,0.89,28.12,-0.10,BUY,3288.64
2022-12-19,0.419,0.4194,0.36,0.3804,0.54,0.87,26.81,-0.10,BUY,3095.00
2022-12-22,0.77,1.4,0.72,1.35,0.58,0.83,77.84,0.00,SELL,10983.67
2023-04-11,0.071,0.08,0.065,0.0695,0.10,0.19,27.71,-0.03,BUY,10983.67
2023-04-12,0.065,0.067,0.0563,0.0608,0.10,0.18,25.98,-0.03,BUY,9608.74
2023-04-13,0.59,0.648,0.48,0.648,0.13,0.19,86.63,0.02,SELL,102408.65
2023-04-14,0.68,0.681,0.58,0.5989,0.15,0.19,80.68,0.05,SELL,102408.65
2023-04-19,0.5171,0.53,0.512,0.5287,0.21,0.20,72.45,0.10,BUY,102408.65
2023-05-30,0.214,0.2199,0.19,0.219,0.25,0.25,40.65,-0.02,SELL,42420.38
2023-06-01,0.1896,0.1896,0.122,0.1446,0.24,0.25,28.73,-0.03,BUY,42420.38
2023-09-26,0.931,0.96,0.906,0.95,0.19,0.14,95.95,0.12,SELL,278694.94
2023-09-27,0.91,0.96,0.89,0.9495,0.23,0.16,95.89,0.16,SELL,278694.94
2023-10-25,1.82,2.0,1.73,1.95,1.45,0.69,88.92,0.33,SELL,278694.94
2023-10-31,2.02,2.06,1.95,2.02,1.63,0.84,86.71,0.33,SELL,278694.94
2023-11-06,2.25,2.6,2.24,2.44,1.82,1.01,91.88,0.34,SELL,278694.94
2023-11-07,2.52,2.9,2.29,2.9,1.89,1.07,94.54,0.39,SELL,278694.94
2023-11-13,2.93,3.39,2.9,3.37,2.17,1.29,87.68,0.47,SELL,278694.94
2023-11-14,3.36,4.01,2.03,3.93,2.29,1.37,90.66,0.55,SELL,278694.94
2023-11-15,3.93,4.68,3.8,4.6,2.44,1.46,92.87,0.65,SELL,278694.94
2024-01-03,3.79,3.8,1.17,1.48,4.05,3.56,20.39,-0.13,BUY,278694.94
2024-01-04,1.22,1.24,0.7777,0.7777,3.88,3.54,17.30,-0.35,BUY,146446.93
2024-01-05,0.71,0.84,0.6903,0.729,3.71,3.52,17.11,-0.53,BUY,137276.38
2024-01-09,0.5,0.5099,0.41,0.4125,3.33,3.46,15.83,-0.79,SELL,77677.22
2024-01-25,0.5082,0.5318,0.5,0.515,1.29,3.07,24.45,-0.78,BUY,77677.22
2024-01-31,0.5,0.5,0.4601,0.4918,0.62,2.78,24.60,-0.64,BUY,74177.99
2024-02-01,0.4874,0.4894,0.4552,0.472,0.57,2.71,24.31,-0.61,BUY,71191.57
2024-02-02,0.482,0.484,0.432,0.469,0.55,2.63,24.27,-0.58,BUY,70739.08
2024-02-05,0.4361,0.4645,0.4225,0.455,0.54,2.56,24.04,-0.55,BUY,68627.48
2024-02-06,0.42,0.4383,0.41,0.4243,0.54,2.48,23.52,-0.52,BUY,63997.03
2024-02-07,0.42,0.45,0.411,0.441,0.54,2.40,24.48,-0.49,BUY,66515.87
2024-02-08,0.49,0.531,0.4378,0.531,0.54,2.32,29.61,-0.46,BUY,80090.48
2024-02-09,0.54,0.56,0.47,0.5201,0.52,2.24,29.35,-0.42,BUY,78446.45
2024-02-12,0.5,0.515,0.46,0.49,0.51,2.16,28.60,-0.40,BUY,73906.49
2024-02-13,0.46,0.46,0.43,0.4496,0.50,2.08,27.59,-0.37,BUY,67813.00
2024-02-14,2.1,2.3,1.83,1.98,0.57,2.04,70.43,-0.23,SELL,298641.70
2024-03-06,1.53,1.53,1.43,1.48,1.40,1.33,51.76,0.11,BUY,298641.70
2024-04-04,1.87,2.39,1.86,2.32,1.43,1.23,78.02,0.11,SELL,468140.26
2024-04-05,2.97,3.67,2.5,2.69,1.49,1.27,82.36,0.19,SELL,468140.26
2024-04-08,2.73,2.79,2.49,2.73,1.55,1.32,82.76,0.25,SELL,468140.26
2024-04-25,2.91,2.91,0.6795,0.77,2.49,1.91,27.10,0.20,BUY,468140.26
2024-04-26,0.7102,0.7142,0.51,0.5264,2.44,1.88,25.25,0.02,BUY,320037.80
2024-05-09,0.545,0.57,0.535,0.554,1.62,1.64,28.93,-0.46,SELL,336817.88
2024-07-03,1.08,1.29,1.06,1.17,0.81,0.79,67.77,0.08,BUY,336817.88
2024-08-13,1.27,1.27,0.1345,0.15,1.36,1.09,17.51,-0.04,BUY,43182.32
2024-08-14,0.1621,0.165,0.096,0.1048,1.29,1.08,17.05,-0.13,BUY,30170.05
2024-08-20,0.1164,0.1246,0.11,0.1128,1.03,1.05,18.06,-0.30,SELL,32473.11
2024-09-04,0.0935,0.108,0.0911,0.1076,0.36,0.92,19.83,-0.27,BUY,32473.11
2024-09-10,0.12,0.123,0.104,0.1139,0.11,0.85,21.53,-0.22,BUY,34374.41
2024-09-11,0.1137,0.1142,0.105,0.1129,0.11,0.83,21.48,-0.20,BUY,34072.62
2024-09-12,0.1138,0.115,0.1079,0.1124,0.11,0.81,21.46,-0.19,BUY,33921.72
2024-09-13,0.1106,0.1124,0.1053,0.1086,0.11,0.79,21.26,-0.18,BUY,32774.90
2024-09-16,0.1073,0.1077,0.1,0.1019,0.11,0.76,20.90,-0.17,BUY,30752.88
2024-09-17,0.1017,0.1022,0.097,0.1019,0.11,0.74,20.90,-0.16,BUY,30752.88
2024-09-18,0.1,0.1061,0.0981,0.106,0.11,0.72,21.85,-0.15,BUY,31990.24
2024-09-19,0.11,0.11,0.096,0.0976,0.11,0.70,21.29,-0.14,BUY,29455.17
2024-09-20,0.09,0.0945,0.08,0.0943,0.11,0.68,21.06,-0.13,BUY,28459.25
2024-09-23,0.0928,0.1021,0.0837,0.1021,0.11,0.66,23.16,-0.12,BUY,30813.24
2024-09-24,0.94,1.15,0.9105,1.13,0.16,0.65,83.91,-0.03,SELL,341027.29
