Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-09-06,13.14,13.19,11.05,11.21,15.31,21.93,28.48,-2.60,BUY,10000.00
2024-10-31,14.95,14.95,14.2,14.23,14.01,14.00,49.74,0.01,BUY,12693.84
2024-11-11,22.17,24.9759,21.9,24.87,15.39,14.21,78.50,1.39,SELL,22184.72
2024-11-12,23.34,23.8952,22.47,23.58,15.84,14.41,72.71,1.81,SELL,22184.72
2024-12-04,28.96,31.58,28.839,31.45,23.35,17.75,71.70,3.24,SELL,22184.72
2024-12-06,31.75,34.64,31.5102,34.02,24.81,18.42,72.67,3.72,SELL,22184.72
2025-01-15,20.56,22.8356,20.3953,22.26,23.49,23.78,47.97,-1.22,SELL,22184.72
2025-03-03,9.07,9.12,7.11,7.35,11.21,17.59,27.58,-2.65,BUY,22184.72
2025-03-04,6.91,7.805,6.47,7.45,10.96,17.11,28.15,-2.67,BUY,22486.52
2025-03-10,7.2,7.21,5.0901,5.51,9.93,15.77,25.38,-2.59,BUY,16631.60
2025-04-07,3.29,3.99,3.19,3.51,5.67,9.35,27.62,-1.35,BUY,10595.60
2025-04-08,3.66,3.675,3.08,3.13,5.52,9.04,26.26,-1.42,BUY,9448.76
2025-05-12,8.7,8.81,7.78,8.08,4.69,5.29,73.52,0.30,SELL,24387.86
2025-05-13,8.64,9.925,8.5404,9.62,4.98,5.34,78.97,0.60,SELL,24387.86
2025-05-15,8.69,8.98,8.125,8.48,5.49,5.37,67.50,0.87,BUY,24387.86
2025-06-12,48.01,49.28,46.29,46.49,10.70,7.24,94.75,3.64,SELL,133666.61
2025-06-13,41.27,42.6,39.91,40.65,12.29,7.95,82.61,5.44,SELL,133666.61
2025-06-16,43.35,45.24,43.2708,44.92,14.12,8.75,84.20,7.13,SELL,133666.61
2025-07-10,47.71,49.5,46.6159,48.66,40.21,20.87,71.95,6.94,SELL,133666.61
2025-07-11,54.83,55.33,52.8,55.16,40.65,21.87,76.36,7.58,SELL,133666.61
2025-07-14,56.6,57.35,54.2,54.77,41.35,22.88,75.60,7.96,SELL,133666.61
2025-07-15,56.01,58.41,53.565,56.33,41.92,23.91,76.61,8.29,SELL,133666.61
2025-07-16,61.19,68.89,60.97,68.89,43.35,25.20,82.80,9.46,SELL,133666.61
2025-07-17,70.49,71.81,68.16,70.12,44.90,26.51,83.27,10.36,SELL,133666.61
2025-07-18,78.63,80.625,74.81,75.58,46.72,27.90,85.19,11.39,SELL,133666.61
2025-07-21,85.68,88.6685,82.72,83.46,49.06,29.43,87.44,12.69,SELL,133666.61
2025-08-08,89.22,96.076,88.875,95.86,77.55,49.80,70.94,10.39,SELL,133666.61
2025-08-11,101.5,110.01,101.465,105.05,80.06,51.73,74.68,11.54,SELL,133666.61
2025-08-12,112.85,117.9999,109.5482,117.9,83.14,53.92,78.79,13.34,SELL,133666.61
2025-08-13,127.8,129.91,122.81,129.11,86.15,56.33,81.59,15.49,SELL,133666.61
