Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-09-06,5.06,5.07,4.24,4.305,5.90,8.48,28.54,-1.03,BUY,10000.00
2024-11-01,5.22,5.44,5.02,5.15,5.36,5.35,46.03,-0.05,BUY,11962.09
2024-11-11,8.03,9.0101,7.92,8.98,5.75,5.39,75.74,0.41,SELL,20855.35
2024-11-12,8.46,8.6397,8.11,8.52,5.90,5.46,70.45,0.56,SELL,20855.35
2024-12-04,10.47,11.43,10.42,11.37,8.44,6.58,71.14,1.13,SELL,20855.35
2024-12-06,11.47,12.55,11.38,12.33,8.97,6.81,72.40,1.31,SELL,20855.35
2025-01-15,7.32,8.13,7.2561,7.93,8.42,8.57,47.58,-0.47,SELL,20855.35
2025-03-03,3.28,3.31,2.58,2.65,4.06,6.31,27.80,-0.94,BUY,20855.35
2025-03-04,2.5,2.83,2.34,2.69,3.97,6.14,28.42,-0.95,BUY,21170.11
2025-03-10,2.61,2.6191,1.85,2.01,3.60,5.66,25.82,-0.93,BUY,15819.19
2025-04-07,1.18,1.44,1.15,1.26,2.05,3.37,27.30,-0.49,BUY,9916.69
2025-04-08,1.32,1.32,1.11,1.12,1.99,3.27,25.91,-0.52,BUY,8814.89
2025-04-09,22.2,28.86,22.2,27.895,3.29,3.70,93.54,1.60,SELL,219534.14
2025-04-11,24.87,25.93,24.37,25.16,5.51,4.40,81.29,4.00,SELL,219534.14
2025-05-05,32.47,33.5,32.181,33.09,26.77,12.16,73.54,6.78,SELL,219534.14
2025-05-08,38.5,44.6,38.3101,43.86,30.65,14.09,81.27,6.62,SELL,219534.14
2025-05-09,53.27,55.0993,50.35,52.82,32.13,15.09,85.72,7.72,SELL,219534.14
2025-05-12,62.89,63.64,56.0701,58.44,33.79,16.20,87.70,8.94,SELL,219534.14
2025-05-13,62.42,71.67,61.65,69.36,35.88,17.54,90.46,10.67,SELL,219534.14
2025-07-11,78.71,79.55,75.72,79.41,58.39,58.48,68.53,3.25,SELL,219534.14
2025-07-14,81.4,82.53,77.88,78.74,59.39,59.37,67.67,4.24,BUY,219534.14
2025-07-15,80.43,83.969,77.01,80.98,60.21,60.33,69.06,5.15,SELL,225779.26
2025-08-11,145.4,157.7999,145.16,150.83,114.86,82.44,73.67,14.73,SELL,225779.26
2025-08-12,162.21,169.48,157.16,169.35,119.28,84.63,77.95,17.47,SELL,225779.26
2025-08-13,183.49,186.675,176.01,185.51,123.59,87.05,80.88,20.70,SELL,225779.26
