Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2025-01-15,36.55,40.55,36.37,39.76,41.59,41.67,48.63,-1.74,SELL,10000.00
2025-03-03,16.72,16.829,13.2857,13.54,20.59,31.51,28.25,-4.61,BUY,10000.00
2025-03-04,12.74,14.32,11.87,13.7,20.13,30.69,28.74,-4.67,BUY,10118.08
2025-03-10,13.27,13.27,9.51,10.14,18.25,28.37,25.83,-4.57,BUY,7490.80
2025-04-07,6.07,7.3215,5.94,6.42,10.44,17.10,27.22,-2.44,BUY,4745.44
2025-04-08,6.75,6.75,5.685,5.74,10.17,16.57,25.89,-2.58,BUY,4242.92
2025-05-09,13.64,14.015,12.88,13.49,8.19,9.73,70.51,0.14,SELL,9970.17
2025-05-12,16.23,16.25,14.32,14.95,8.61,9.74,74.21,0.57,SELL,9970.17
2025-05-13,15.78,18.1899,15.77,17.78,9.15,9.82,79.56,1.13,SELL,9970.17
2025-05-15,16.03,16.5,15.0304,15.67,10.10,9.89,67.89,1.62,BUY,9970.17
2025-07-16,22.68,25.5872,22.61,25.52,16.06,15.84,77.06,1.82,SELL,16234.77
2025-08-11,37.8,40.83,37.75,39.01,29.76,21.30,73.58,3.84,SELL,16234.77
2025-08-12,41.95,43.97,40.7341,43.97,30.92,21.88,78.02,4.55,SELL,16234.77
2025-08-13,47.62,48.34,45.7001,48.19,32.05,22.51,80.95,5.39,SELL,16234.77
