Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-05-02,51.36,52.15,50.92,51.93,56.61,57.05,41.27,-1.28,SELL,10000.00
2024-06-03,61.01,61.57,59.99,60.55,57.81,57.60,56.67,1.14,BUY,10000.00
2024-07-03,52.74,53.14,52.38,52.87,56.70,56.82,40.94,-1.37,SELL,8732.80
2024-10-03,52.87,53.38,52.35,53.35,53.17,53.04,49.30,0.59,BUY,8732.80
2024-11-11,71.64,76.59,71.43,76.145,61.79,56.65,78.12,3.45,SELL,12448.38
2024-11-12,75.31,78.7,74.5302,78.38,62.78,57.20,79.81,4.28,SELL,12448.38
2024-11-13,78.67,81.79,78.105,78.48,63.74,57.76,79.89,4.89,SELL,12448.38
2024-12-17,94.2,94.8056,92.3811,93.33,85.83,72.37,70.46,5.06,SELL,12448.38
2025-02-21,86.58,86.825,82.62,82.81,86.26,86.28,44.31,-0.76,SELL,12448.38
2025-02-27,75.27,75.39,72.0301,72.75,83.54,85.50,29.96,-2.65,BUY,12448.38
2025-04-30,82.51,82.54,81.04,82.18,75.85,75.65,61.17,2.21,BUY,14060.91
2025-07-11,102.75,103.26,101.85,103.16,93.98,92.37,70.97,2.08,SELL,17648.50
2025-07-14,106.32,106.68,104.07,104.72,94.62,92.77,72.94,2.60,SELL,17648.50
2025-09-05,98.52,98.86,96.1,97.36,99.64,99.78,46.81,-1.10,SELL,17648.50
