Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-05-23,205.84,206.58,196.89,199.87,200.58,199.74,48.51,2.94,BUY,10000.00
2024-06-14,176.03,178.495,174.03,177.96,192.42,193.19,35.02,-4.83,SELL,8904.50
2024-07-19,197.35,201.41,196.73,200.95,194.97,194.97,56.47,3.71,BUY,8904.50
2024-09-16,223.03,225.33,222.39,224.34,213.40,203.64,71.18,5.85,SELL,9933.66
2024-09-17,226.2,231.26,226.16,230.55,214.50,204.30,75.91,6.49,SELL,9933.66
2024-09-26,245.35,250.18,242.31,244.03,223.05,208.40,78.38,8.40,SELL,9933.66
2024-11-13,264.03,266.22,258.44,265.52,235.51,231.88,72.98,6.17,SELL,9933.66
2024-11-14,262.8,269.9,262.8,267.0,237.13,232.92,73.60,7.63,SELL,9933.66
2025-01-14,260.65,263.53,258.05,259.6,261.15,262.15,48.56,-2.65,SELL,9933.66
2025-02-13,281.52,283.96,274.675,282.22,267.83,266.77,69.14,3.31,BUY,9933.66
2025-02-14,290.23,299.73,283.67,298.81,269.89,267.18,78.34,5.30,SELL,10514.31
2025-02-18,295.1,297.4499,290.88,294.28,271.45,267.42,72.03,6.45,SELL,10514.31
2025-03-10,243.12,243.175,219.01,227.5,272.05,265.94,29.43,-5.40,BUY,10514.31
2025-03-14,233.92,237.66,233.34,237.24,263.78,263.81,37.45,-9.99,SELL,10962.35
2025-04-04,206.32,210.94,202.38,206.32,232.30,255.85,29.51,-10.77,BUY,10962.35
2025-05-12,246.68,248.25,242.51,247.23,236.37,236.20,57.66,2.57,BUY,13130.58
2025-07-17,295.73,305.49,294.31,304.79,282.89,263.87,75.80,9.82,SELL,16181.26
2025-09-05,295.1,297.225,292.11,295.28,295.30,295.47,48.45,1.04,SELL,16181.26
