Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-09-21,30.98,31.93,28.3373,28.3373,32.13,32.37,41.48,-0.11,SELL,10000.00
2022-11-11,31.77,32.39,31.73,31.78,27.13,26.95,60.84,0.73,BUY,10000.00
2022-12-20,20.61,21.0,20.61,20.9644,26.87,26.98,33.31,-1.56,SELL,6603.90
2023-01-12,29.74,32.3698,29.74,32.3698,22.59,25.94,73.73,0.92,SELL,6603.90
2023-01-23,34.4,35.97,34.4,35.8027,26.99,26.67,73.57,2.80,BUY,6603.90
2023-03-16,25.95,27.88,25.95,27.808,35.02,35.49,34.47,-2.30,SELL,5132.88
2023-05-12,28.58,28.58,27.0,27.393,29.44,29.26,43.21,0.12,BUY,5132.88
2023-07-03,42.83,44.625,42.79,44.1468,38.60,33.04,74.90,2.69,SELL,8265.84
2023-07-11,44.892,47.06,44.892,46.8619,40.74,34.63,72.23,2.90,SELL,8265.84
2023-08-22,36.81,36.8101,36.36,36.7898,42.15,42.43,36.28,-1.68,SELL,8265.84
2023-09-21,32.38,32.38,31.2149,31.2149,36.00,40.37,29.43,-1.68,BUY,8265.84
2023-09-22,31.25,31.25,29.9462,29.9462,35.72,40.03,26.90,-1.96,BUY,7930.90
2023-09-25,29.26,29.8,29.09,29.7235,35.44,39.73,26.47,-2.17,BUY,7872.11
2023-10-20,23.2,23.2,22.7402,22.7499,27.86,33.09,28.35,-2.55,BUY,6031.08
2023-11-24,33.8,33.8,33.4954,33.4954,28.32,28.30,66.53,1.85,BUY,8878.63
2023-12-07,38.81,39.08,38.779,39.0131,33.11,28.84,73.58,2.38,SELL,10340.83
2023-12-08,39.27,40.229,38.8,40.2146,33.77,29.02,75.65,2.64,SELL,10340.83
2023-12-11,40.3202,41.8399,40.3202,41.4522,34.45,29.25,77.59,2.91,SELL,10340.83
2023-12-12,40.78,41.61,40.69,41.5564,35.11,29.48,77.75,3.09,SELL,10340.83
2023-12-13,40.37,43.01,40.14,43.01,35.69,29.81,79.92,3.32,SELL,10340.83
2023-12-14,44.1,46.0049,44.1,45.4645,36.31,30.16,82.94,3.65,SELL,10340.83
2024-04-23,47.34,48.039,47.34,48.039,50.41,50.67,46.59,-1.62,SELL,10340.83
2024-07-10,42.07,42.07,40.98,41.5079,42.50,42.48,45.77,-0.25,BUY,10340.83
2024-07-24,38.58,38.58,36.58,36.67,41.88,41.88,34.43,-0.82,SELL,9136.19
2024-08-02,27.729,27.729,27.205,27.21,38.77,40.56,19.93,-2.81,BUY,9136.19
2024-08-05,24.46,26.061,24.45,25.38,37.96,40.23,18.13,-3.40,BUY,8523.14
2024-09-19,40.35,40.35,39.8779,39.95,34.05,34.29,70.12,1.16,SELL,13404.09
2024-09-20,40.0196,40.0196,40.0196,40.0196,34.46,34.25,70.27,1.43,BUY,13404.09
2024-10-11,49.75,50.329,49.46,50.0,42.36,35.73,74.76,3.07,SELL,16737.54
2024-10-14,49.3,50.076,49.2801,50.076,43.06,36.19,74.87,3.30,SELL,16737.54
2024-10-16,51.99,52.5,51.99,52.3272,44.37,37.16,77.12,3.66,SELL,16737.54
2024-11-06,57.1463,59.4399,57.1463,59.3656,51.78,43.65,73.15,2.98,SELL,16737.54
2024-11-07,59.6,59.7362,58.93,58.93,52.40,44.16,71.67,3.25,SELL,16737.54
2024-11-11,60.03,61.6999,60.03,61.5167,53.39,45.21,73.97,3.69,SELL,16737.54
2025-01-06,60.09,60.29,58.83,58.8323,60.12,60.21,47.48,-1.08,SELL,16737.54
2025-02-12,62.36,64.6461,62.36,64.6461,61.28,61.05,57.86,1.22,BUY,16737.54
2025-03-10,44.76,44.76,40.71,41.638,59.23,59.37,27.19,-3.95,SELL,10801.45
2025-04-03,32.17,32.17,27.8223,27.8223,39.09,52.26,26.95,-4.97,BUY,10801.45
2025-04-04,23.7896,24.92,23.27,23.4038,37.90,51.54,23.76,-5.75,BUY,9087.07
2025-04-07,25.31,25.66,22.1001,23.093,36.98,50.83,23.55,-6.32,BUY,8966.48
2025-04-08,25.99,26.07,21.617,21.617,36.16,50.07,22.53,-6.81,BUY,8393.80
2025-05-16,46.38,47.96,46.38,47.9054,36.20,35.23,70.48,3.64,BUY,18593.69
