Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2018-04-05,47.59,47.96,45.8,47.38,56.20,56.67,41.05,-4.20,SELL,10000.00
2018-05-15,63.47,63.47,59.84,60.86,55.16,54.91,59.73,3.05,BUY,10000.00
2018-06-04,69.0,71.99,68.99,71.85,62.35,54.50,74.41,3.03,SELL,11802.36
2018-06-05,73.25,74.66,72.35,73.09,62.99,55.02,75.71,3.55,SELL,11802.36
2018-06-06,73.94,75.47,72.13,75.47,63.64,55.66,78.02,4.11,SELL,11802.36
2018-08-03,68.2,68.23,66.2,66.67,73.83,74.29,42.91,-2.78,SELL,11802.36
2018-10-10,51.7,52.03,44.5,44.7,60.00,63.96,26.67,-3.48,BUY,11802.36
2018-10-11,43.26,46.66,41.77,43.96,59.04,63.49,26.09,-4.23,BUY,11607.00
2018-12-21,28.2,28.2,23.8,24.36,36.15,40.57,28.82,-3.38,BUY,6432.60
2018-12-24,23.16,24.7,22.38,22.61,35.45,40.09,27.17,-3.95,BUY,5970.60
2019-01-30,33.34,35.54,32.9,35.24,33.66,33.46,53.55,0.35,BUY,9304.92
2019-03-21,43.26,45.5499,43.0001,45.33,39.99,37.91,71.07,1.54,SELL,11968.68
2019-04-23,49.15,52.5982,49.15,52.15,46.54,42.43,75.94,1.93,SELL,11968.68
2019-05-13,39.8,40.2262,37.4701,37.97,47.74,45.00,29.66,-0.60,BUY,11968.68
2019-05-21,34.81,35.5,34.5442,35.2,44.66,44.88,32.33,-2.74,SELL,11096.13
2019-07-11,39.85,40.35,39.2155,39.4,36.62,36.20,61.43,1.05,BUY,11096.13
2019-08-15,31.87,31.8753,29.92,30.77,36.32,36.49,37.49,-1.73,SELL,8671.10
2019-09-23,36.48,36.605,35.5721,35.94,36.45,36.31,47.36,0.66,BUY,8671.10
2019-10-16,38.64,39.47,38.48,39.05,35.08,35.12,62.60,0.43,SELL,9420.61
2019-10-22,38.33,38.5,36.41,36.525,35.45,35.43,51.20,0.62,BUY,9420.61
2019-10-23,35.5,37.22,35.5,37.1491,35.55,35.56,53.12,0.60,SELL,9581.00
2019-10-25,36.87,39.77,36.87,39.7,35.99,35.83,60.42,0.79,BUY,9581.00
2019-11-08,44.0,45.67,44.0,45.22,39.84,37.35,70.30,2.03,SELL,10911.32
2019-12-16,50.84,53.52,50.84,52.98,47.71,43.22,72.78,1.88,SELL,10911.32
2019-12-17,53.64,54.2117,53.371,53.99,48.08,43.65,74.64,2.16,SELL,10911.32
2019-12-18,54.93,56.8799,54.93,56.41,48.61,44.10,78.44,2.55,SELL,10911.32
2019-12-19,56.96,58.7393,56.96,58.686,49.22,44.58,81.28,3.01,SELL,10911.32
2019-12-20,60.09,60.16,58.7001,59.55,49.92,45.04,82.24,3.40,SELL,10911.32
2020-01-13,74.17,76.36,73.0112,76.36,63.26,53.32,83.89,5.72,SELL,10911.32
2020-02-03,77.27,85.344,77.05,85.17,74.70,62.48,71.72,4.37,SELL,10911.32
2020-02-04,94.52,100.109,90.1902,95.1,76.09,63.44,78.40,5.57,SELL,10911.32
2020-03-13,46.45,46.45,36.685,43.96,77.76,79.29,34.22,-9.83,SELL,10911.32
2020-05-01,58.63,60.4699,54.6517,56.35,53.86,52.06,52.29,3.24,BUY,10911.32
2020-05-20,78.87,81.77,77.88,80.5,64.95,50.95,70.21,5.73,SELL,15572.27
2020-06-09,88.25,93.979,87.52,93.18,78.03,63.81,72.26,6.62,SELL,15572.27
2020-06-10,97.43,99.37,95.79,98.17,79.75,65.09,75.36,7.38,SELL,15572.27
2020-07-06,112.94,122.65,112.62,122.65,96.56,81.80,73.26,7.45,SELL,15572.27
2020-07-07,123.96,127.2894,120.36,121.37,97.97,83.10,71.80,8.51,SELL,15572.27
2020-07-08,125.0,132.2659,124.66,131.0,99.61,84.44,75.71,10.01,SELL,15572.27
