Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-08-01,181.9,183.86,171.81,174.03,171.58,171.63,52.20,-0.21,SELL,10000.00
2024-08-19,184.1,185.51,181.215,185.4,173.29,173.27,58.49,3.80,BUY,10000.00
2024-09-12,200.0,217.09,199.65,215.27,192.85,180.31,72.23,8.33,SELL,11583.11
2024-09-13,220.65,228.6765,219.01,225.59,194.69,181.36,76.64,9.77,SELL,11583.11
2024-09-16,227.88,231.51,225.24,229.93,196.98,182.44,78.21,11.14,SELL,11583.11
2024-09-17,237.67,240.0,233.51,237.15,199.57,183.69,80.56,12.66,SELL,11583.11
2024-10-03,253.15,257.24,250.89,254.68,236.32,202.62,74.45,16.15,SELL,11583.11
2024-10-07,265.41,265.98,260.52,262.54,242.72,206.52,74.98,16.21,SELL,11583.11
2024-10-16,268.9,276.19,267.69,274.77,258.63,220.41,75.90,14.18,SELL,11583.11
2024-10-21,277.0,277.6,272.28,276.43,262.62,226.39,74.42,13.29,SELL,11583.11
2024-10-24,285.81,297.54,283.0,297.0,267.20,232.65,82.90,14.07,SELL,11583.11
2024-10-25,295.39,298.81,292.395,293.54,269.38,234.74,78.15,14.54,SELL,11583.11
2024-11-05,295.85,316.4499,294.87,315.77,283.82,250.95,77.19,15.51,SELL,11583.11
2024-11-06,321.16,338.58,319.0,336.3,287.30,253.97,82.36,17.72,SELL,11583.11
2024-11-07,339.0,340.41,332.5,336.78,290.91,257.02,82.46,19.28,SELL,11583.11
2025-02-26,334.83,342.07,327.85,335.24,360.92,360.97,42.03,-9.81,SELL,11583.11
2025-04-29,369.62,372.09,363.22,371.19,324.93,322.53,64.04,12.10,BUY,11583.11
2025-06-05,491.07,493.87,479.5382,484.31,456.28,385.76,71.65,28.55,SELL,15089.83
2025-06-24,505.96,512.82,496.73,510.84,485.71,432.85,71.20,17.42,SELL,15089.83
2025-06-27,507.0,532.5899,503.0001,519.66,490.71,443.82,71.00,17.83,SELL,15089.83
2025-06-30,524.27,531.37,516.5942,529.15,492.91,448.15,73.59,18.98,SELL,15089.83
2025-07-23,595.75,633.72,585.0,629.03,541.27,500.73,78.07,26.34,SELL,15089.83
2025-07-24,632.27,633.07,615.3,623.97,547.34,504.55,75.80,29.33,SELL,15089.83
2025-07-25,630.0,651.22,626.0,644.59,554.23,508.90,78.53,32.98,SELL,15089.83
