Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-12-07,20.82,20.82,20.261,20.272,21.20,21.11,44.27,0.09,BUY,10000.00
2022-12-16,18.9701,19.03,18.6,18.7849,20.71,20.75,37.49,-0.42,SELL,9266.86
2023-01-23,20.8,21.539,20.8,21.4694,18.55,19.61,70.58,0.30,SELL,9266.86
2023-02-01,21.08,21.75,20.74,21.6125,19.60,19.55,62.95,0.63,BUY,9266.86
2023-02-02,23.38,24.04,23.31,24.04,19.94,19.60,72.65,0.86,SELL,10305.83
2023-03-07,19.66,19.771,19.1897,19.29,19.43,19.50,48.77,-0.35,SELL,10305.83
2023-03-28,21.7,21.74,20.94,21.32,20.35,20.30,54.90,0.71,BUY,10305.83
2023-05-11,25.79,26.59,25.45,26.13,22.99,22.02,73.30,0.60,SELL,12629.06
2023-05-12,26.2,26.51,26.0,26.456,23.13,22.16,74.50,0.78,SELL,12629.06
2023-07-13,27.15,28.37,26.99,28.3,27.15,27.22,58.24,-0.16,SELL,12629.06
2023-08-02,29.75,29.98,29.2,29.41,28.07,28.00,56.79,0.78,BUY,12629.06
2023-10-31,27.43,27.52,26.6706,27.12,30.74,30.84,34.55,-0.98,SELL,11646.65
2023-12-04,28.87,28.87,28.1623,28.63,30.30,30.30,38.94,-0.03,BUY,11646.65
2023-12-06,29.34,29.445,28.81,28.88,30.28,30.28,41.59,-0.19,SELL,11748.15
2023-12-07,30.61,31.7,30.43,31.17,30.35,30.31,56.14,-0.07,BUY,11748.15
2024-01-25,35.19,36.1576,34.95,35.79,32.49,31.33,75.57,1.00,SELL,13485.27
2024-02-28,30.57,30.66,29.79,30.1,32.43,32.51,36.88,-0.51,SELL,13485.27
2024-04-03,35.36,35.86,34.85,35.82,32.92,32.76,66.25,1.09,BUY,13485.27
2024-04-26,44.34,44.51,42.3599,43.27,36.37,33.64,72.88,1.32,SELL,16286.47
2024-07-05,49.09,51.72,49.09,51.61,46.49,44.06,71.73,1.72,SELL,16286.47
2024-08-02,38.68,39.7,37.89,38.81,44.90,45.36,33.17,-1.89,SELL,16286.47
2024-09-06,34.07,34.15,31.125,31.24,36.43,41.24,28.15,-1.88,BUY,16286.47
2024-09-09,31.87,32.3596,29.81,30.4,36.09,40.87,26.52,-2.12,BUY,15848.83
2024-10-10,34.98,35.88,34.76,35.43,36.01,35.91,46.40,0.08,BUY,18469.46
2024-10-30,43.65,44.21,40.58,40.77,36.68,35.84,70.19,0.60,SELL,21251.60
2024-11-07,42.07,43.6997,41.91,43.53,37.79,36.14,71.56,1.29,SELL,21251.60
2024-12-11,45.13,50.0,44.94,49.99,40.12,38.86,74.89,1.34,SELL,21251.60
2025-02-19,42.013,42.535,41.67,42.45,46.51,46.69,41.39,-1.42,SELL,21251.60
2025-04-04,26.16,27.25,25.24,25.29,31.58,38.19,27.18,-2.85,BUY,21251.60
2025-05-21,30.73,34.31,30.72,32.59,30.14,29.97,58.04,0.44,BUY,27383.60
2025-08-29,48.31,50.243,48.17,49.48,45.11,40.18,73.16,2.22,SELL,41571.20
