Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-11-10,34.98,35.5562,34.98,35.5562,33.29,33.19,70.73,0.56,BUY,10000.00
2023-12-12,37.25,37.5936,37.25,37.5936,36.77,34.69,70.91,0.65,SELL,10572.51
2023-12-13,37.36,38.1145,37.36,38.1145,36.86,34.81,74.65,0.71,SELL,10572.51
2023-12-14,38.2,38.2084,37.95,38.0392,36.94,34.92,73.18,0.74,SELL,10572.51
2023-12-15,38.06,38.11,37.9357,37.9997,37.01,35.03,72.38,0.75,SELL,10572.51
2023-12-18,38.27,38.31,38.26,38.2656,37.10,35.13,74.42,0.77,SELL,10572.51
2023-12-19,38.45,38.68,38.4312,38.5983,37.17,35.24,76.72,0.80,SELL,10572.51
2024-01-24,40.5811,40.9999,40.3709,40.46,38.48,37.64,72.64,0.63,SELL,10572.51
2024-04-19,40.98,41.0,40.07,40.1563,43.08,43.00,26.94,-0.49,BUY,10572.51
2024-04-22,40.42,40.7338,40.17,40.6068,42.91,42.97,32.36,-0.59,SELL,10690.99
2024-05-22,44.975,44.98,44.8437,44.8437,43.27,43.11,66.09,0.69,BUY,10690.99
2024-06-05,46.09,46.53,46.09,46.53,44.70,43.39,70.12,0.70,SELL,11092.33
2024-06-14,47.381,47.57,47.381,47.57,45.62,43.79,72.93,0.88,SELL,11092.33
2024-06-17,47.66,47.912,47.48,47.912,45.78,43.88,74.66,0.95,SELL,11092.33
2024-06-18,48.16,48.39,48.12,48.2847,45.93,43.97,76.42,1.03,SELL,11092.33
2024-08-05,41.43,42.591,41.43,42.2314,46.37,46.58,30.24,-0.91,SELL,11092.33
2024-09-05,45.75,46.09,45.75,45.9721,46.56,46.54,46.68,0.18,BUY,11092.33
2024-12-04,54.0,54.2614,53.97,54.2003,51.64,50.21,72.57,0.91,SELL,13075.33
2025-01-15,52.05,52.05,51.8579,51.8579,51.82,51.87,50.56,-0.29,SELL,13075.33
2025-02-03,53.3,54.33,53.3,54.07,52.58,52.53,59.55,0.60,BUY,13075.33
2025-03-17,51.36,52.05,51.36,51.8321,53.54,53.63,44.01,-1.07,SELL,12535.99
2025-04-04,43.78,45.87,43.78,44.3949,50.63,53.29,24.17,-1.44,BUY,12535.99
2025-04-07,42.16,44.845,41.17,43.9917,50.33,53.09,23.45,-1.79,BUY,12422.29
2025-04-08,45.85,46.12,43.055,43.3112,49.97,52.90,22.24,-2.09,BUY,12230.39
2025-05-12,54.18,54.18,53.605,54.1029,50.42,50.32,67.81,1.00,BUY,15273.65
2025-06-04,56.69,57.055,56.69,56.9893,55.16,51.58,72.39,1.21,SELL,16087.61
2025-06-06,57.0497,57.34,57.0497,57.251,55.60,51.78,72.57,1.25,SELL,16087.61
2025-06-09,57.67,57.67,57.5,57.53,55.77,51.93,73.84,1.28,SELL,16087.61
2025-06-10,57.66,57.85,57.38,57.85,55.91,52.09,75.26,1.32,SELL,16087.61
2025-06-24,59.07,59.49,59.07,59.49,57.16,54.24,72.11,1.11,SELL,16087.61
2025-06-25,59.7,59.9397,59.57,59.64,57.36,54.47,72.73,1.18,SELL,16087.61
2025-06-26,59.9688,60.4197,59.9688,60.4197,57.62,54.73,75.75,1.28,SELL,16087.61
2025-06-27,60.6588,60.94,60.4282,60.7273,57.89,55.00,76.83,1.37,SELL,16087.61
2025-06-30,60.952,61.36,60.952,61.36,58.16,55.30,78.93,1.48,SELL,16087.61
