Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-04-17,24.02,25.0,24.015,25.0,23.76,23.70,54.62,0.32,BUY,10000.00
2023-05-26,29.36,36.0,28.85,32.0,25.15,24.37,73.56,1.14,SELL,12800.00
2023-05-29,32.0,32.0,32.0,32.0,25.52,24.56,73.56,1.49,SELL,12800.00
2023-06-28,37.54,39.47,36.88,39.05,32.80,28.49,72.00,1.90,SELL,12800.00
2023-06-29,39.05,40.82,38.6325,40.49,33.23,28.82,74.24,2.29,SELL,12800.00
2023-06-30,40.5,42.55,40.075,41.57,33.71,29.15,75.80,2.66,SELL,12800.00
2023-08-07,28.94,28.98,25.86,26.49,33.52,33.77,30.93,-0.89,SELL,12800.00
2023-09-26,33.14,35.28,32.21,33.85,31.13,31.10,58.59,1.16,BUY,12800.00
2023-09-29,65.09,65.51,48.5501,50.42,33.01,31.57,83.34,2.73,SELL,19063.46
2023-10-02,50.83,60.72,50.37,56.6,34.37,32.02,86.63,4.13,SELL,19063.46
2023-10-03,58.04,60.0,55.8001,58.94,35.87,32.50,87.63,5.37,SELL,19063.46
2023-10-25,68.94,68.96,66.73,67.61,60.80,42.68,78.44,7.69,SELL,19063.46
2023-10-31,69.8,74.43,68.0101,74.3,64.74,46.10,80.29,7.14,SELL,19063.46
2023-11-30,53.42,57.6153,51.5501,55.69,57.18,57.73,48.59,-2.09,SELL,19063.46
2023-12-18,31.9,40.2999,26.61,33.83,55.84,60.84,26.40,-1.66,BUY,19063.46
2023-12-20,37.22,39.38,32.88,32.99,54.11,59.85,28.71,-4.26,BUY,18590.54
2024-02-21,43.01,43.64,40.635,41.02,44.56,44.36,40.38,-0.09,BUY,23111.43
2024-03-08,36.79,39.5,36.7,36.86,42.67,42.87,36.12,-1.60,SELL,20769.35
2024-06-03,35.45,62.74,33.56,52.74,37.50,38.77,77.39,0.52,SELL,20769.35
2024-06-04,56.5,58.38,51.9,54.29,38.22,39.00,78.62,1.74,SELL,20769.35
2024-06-05,56.0,57.6,51.5,56.3,39.07,39.26,80.14,2.83,SELL,20769.35
2024-06-06,56.24,57.59,53.31,55.63,39.89,39.53,78.15,3.60,BUY,20769.35
2024-07-16,44.79,47.48,42.62,44.66,41.83,42.00,56.65,-0.18,SELL,16677.54
2024-09-10,35.32,35.7,33.95,34.42,38.08,38.02,36.02,-0.46,BUY,16677.54
2024-10-28,37.84,38.3,36.56,37.44,39.46,39.60,42.70,-0.64,SELL,18139.22
2025-04-01,17.01,17.275,15.715,15.79,20.74,23.82,27.27,-1.53,BUY,18139.22
2025-05-05,26.91,27.6811,26.19,27.545,21.41,20.90,74.08,2.07,BUY,31633.96
2025-06-16,21.57,21.97,20.56,20.57,22.54,22.60,38.31,-0.60,SELL,23626.66
2025-07-07,20.4,20.605,18.72,18.73,21.23,23.11,29.03,-0.70,BUY,23626.66
2025-07-08,18.82,19.2,18.64,18.735,21.15,23.01,29.08,-0.81,BUY,23632.97
2025-08-04,17.5,17.66,16.76,16.78,18.48,20.35,26.01,-0.88,BUY,21167.71
