Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-01-17,334.375,345.699,330.868,334.712,315.35,285.47,70.06,12.33,SELL,10000.00
2020-02-17,315.356,315.356,315.356,315.356,304.29,306.00,54.16,2.70,SELL,10000.00
2020-02-25,273.7,273.7,225.4,226.35,298.10,307.34,27.01,-7.79,BUY,10000.00
2020-02-26,233.6,236.7,216.867,216.867,294.55,305.77,25.49,-13.16,BUY,9582.75
2020-02-27,198.8,225.725,185.579,197.2,289.99,303.72,22.64,-18.78,BUY,8717.40
2020-03-26,49.8,59.9,49.8,56.7,102.16,219.07,25.30,-53.63,BUY,2535.40
2020-05-14,57.17,62.62,52.91,62.62,65.05,63.15,45.57,-2.46,BUY,2795.88
2020-06-04,120.0,131.26,115.01,130.73,85.30,69.29,72.39,11.88,SELL,5792.72
2020-06-05,157.83,165.5962,153.27,155.9,89.32,71.41,78.09,15.49,SELL,5792.72
2020-06-08,174.66,182.02,167.11,181.88,94.77,74.06,82.18,20.21,SELL,5792.72
2020-07-13,89.34,93.04,84.57,86.0,93.59,94.15,45.87,-4.39,SELL,5792.72
2020-08-13,119.13,122.49,116.16,117.7671,104.09,103.55,61.78,5.81,BUY,5792.72
2020-09-29,99.6732,100.359,93.94,96.89,108.93,109.36,42.36,-4.64,SELL,4769.74
2020-10-23,123.28,126.0,121.2344,124.68,111.96,111.96,60.13,3.03,BUY,4769.74
2021-01-07,268.75,279.58,268.75,273.76,227.21,197.79,71.35,13.19,SELL,10434.78
2021-01-12,274.64,291.56,273.05,290.91,234.97,207.83,74.02,18.52,SELL,10434.78
2021-03-02,55.34,55.86,53.54,53.8,309.98,274.48,25.64,4.44,BUY,10434.78
2021-03-03,54.15,58.24,54.15,55.07,299.85,271.14,25.83,-15.59,BUY,10679.89
2021-03-09,58.78,59.2799,55.34,56.68,253.67,258.07,26.54,-57.60,SELL,10990.62
2021-03-23,54.31,54.77,49.575,50.24,121.49,219.93,27.01,-56.02,BUY,10990.62
2021-03-29,56.0,56.22,52.54,53.99,57.12,201.44,29.28,-46.37,BUY,11808.12
2021-05-10,72.76,74.34,70.49,70.71,63.01,59.91,51.42,-2.43,BUY,15453.08
2021-07-07,66.74,67.77,62.46,64.37,70.30,70.66,38.61,-0.93,SELL,14070.96
2021-07-19,51.0,51.71,48.37,50.89,66.65,69.67,28.00,-3.70,BUY,14070.96
2021-09-06,65.37,65.37,65.37,65.37,63.47,63.41,53.46,0.68,BUY,18067.44
2021-09-08,64.65,65.022,61.64,62.72,63.13,63.18,47.73,0.50,SELL,17336.04
2021-09-13,63.74,64.14,61.6636,64.14,62.85,62.64,51.05,0.24,BUY,17336.04
2021-11-05,85.7,87.71,85.7,86.88,74.35,68.40,78.43,4.42,SELL,23475.84
2021-12-13,72.54,72.59,67.022,68.11,74.80,74.95,42.09,-1.69,SELL,23475.84
2022-01-17,75.61,75.61,75.61,75.61,74.70,74.65,52.58,0.72,BUY,23475.84
2022-04-11,51.93,53.23,50.6976,50.96,59.34,59.17,40.16,-0.93,BUY,15834.34
2022-04-18,50.38,51.91,49.63,50.99,57.96,58.03,41.74,-2.18,SELL,15843.64
2022-08-04,38.37,39.005,37.6503,38.85,31.02,30.86,68.58,2.41,BUY,15843.64
2022-09-14,30.73,31.2735,29.46,31.15,33.05,33.48,45.19,-0.91,SELL,12709.74
2022-09-26,22.38,23.9,21.845,21.9,29.41,33.59,29.97,-2.67,BUY,12709.74
2022-11-16,30.99,31.05,29.2611,29.75,25.70,25.37,58.01,1.61,BUY,17262.74
2022-12-28,22.81,23.21,21.6631,21.78,26.66,26.81,35.36,-1.42,SELL,12640.14
2023-01-24,33.51,34.44,33.25,33.7,28.11,27.94,65.16,1.78,BUY,12640.14
2023-02-02,41.4,43.9896,41.232,43.0,32.70,29.00,75.73,3.16,SELL,16127.64
2023-03-15,25.66,26.3294,24.69,26.09,32.66,33.40,34.27,-1.95,SELL,16127.64
2023-06-05,31.49,31.76,30.54,31.21,27.54,27.44,62.46,1.00,BUY,16127.64
2023-06-13,36.04,37.01,36.04,36.9,30.24,28.03,76.02,2.11,SELL,19063.68
2023-07-03,38.09,38.79,38.09,38.7,35.47,30.29,70.27,1.86,SELL,19063.68
2023-07-12,41.82,42.02,41.06,41.47,36.85,31.84,71.23,2.06,SELL,19063.68
2023-07-13,42.11,43.0763,42.0,42.91,37.15,32.20,74.02,2.30,SELL,19063.68
2023-08-21,32.38,32.74,31.61,32.6,37.80,38.04,33.80,-1.76,SELL,19063.68
2023-09-21,29.28,29.3,28.12,28.12,33.17,36.44,28.62,-1.50,BUY,19063.68
2023-10-25,22.53,22.53,20.96,21.11,25.99,29.74,27.66,-2.07,BUY,14317.91
2023-11-28,28.85,29.5,28.3802,29.22,26.20,26.08,61.82,1.13,BUY,19816.49
2023-12-13,34.87,38.02,34.398,37.99,31.24,27.21,80.48,2.45,SELL,25762.55
2023-12-14,39.62,42.52,39.6,41.84,31.90,27.52,85.18,2.96,SELL,25762.55
2023-12-15,41.66,42.39,41.0,41.35,32.55,27.83,82.46,3.29,SELL,25762.55
2024-04-22,37.05,38.2369,36.3898,37.7,43.23,43.53,36.90,-1.96,SELL,25762.55
2024-06-07,40.21,40.8991,39.7358,40.08,41.61,41.56,45.81,-0.35,BUY,25762.55
2024-07-12,46.28,48.5,46.115,47.39,42.49,41.72,71.97,1.08,SELL,30455.57
2024-07-15,47.8,48.7699,47.18,47.6,42.75,41.91,72.50,1.30,SELL,30455.57
2024-07-16,48.38,50.5645,48.185,50.51,43.23,42.15,78.60,1.70,SELL,30455.57
2024-08-08,32.07,34.51,31.97,34.51,41.36,41.49,39.73,-2.63,SELL,30455.57
2024-09-27,46.67,46.67,45.28,45.7,39.69,39.47,64.84,1.74,BUY,30455.57
2025-01-06,46.44,48.1104,46.38,46.71,46.55,46.62,51.61,-1.04,SELL,31128.23
2025-02-18,48.28,50.14,48.28,50.12,46.30,46.25,60.67,0.36,BUY,31128.23
2025-02-21,49.0,49.02,43.02,43.6,45.86,45.99,43.90,0.39,SELL,27079.31
2025-04-03,24.05,24.05,20.64,20.76,29.27,37.63,29.03,-3.22,BUY,27079.31
2025-04-04,18.32,18.52,15.3,16.6,28.51,36.93,24.98,-3.90,BUY,21654.67
2025-04-07,14.73,19.64,13.94,17.36,27.97,36.28,26.99,-4.32,BUY,22645.71
2025-04-08,19.53,19.77,14.93,15.87,27.38,35.73,25.55,-4.73,BUY,20702.75
2025-05-16,34.81,35.33,34.2,35.33,26.53,26.08,71.80,2.60,BUY,46078.59
2025-06-26,40.72,42.09,40.72,41.97,36.63,31.50,72.52,2.22,SELL,54737.15
2025-06-27,42.48,43.17,41.55,42.54,37.16,31.97,73.62,2.40,SELL,54737.15
2025-06-30,43.33,43.33,42.5001,42.97,37.67,32.49,74.44,2.56,SELL,54737.15
2025-07-02,43.2,45.35,43.03,45.21,38.60,33.47,78.49,2.88,SELL,54737.15
