Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-03-28,22.67,22.67,21.76,22.03,22.95,22.96,44.63,-0.26,SELL,10000.00
2023-04-20,26.01,29.87,25.03,28.1,22.69,23.25,73.59,0.75,SELL,10000.00
2023-04-21,29.0,32.8549,27.815,31.35,23.12,23.40,79.82,1.29,SELL,10000.00
2023-04-25,29.45,31.3042,28.585,30.05,23.89,23.63,71.87,1.80,BUY,10000.00
2023-05-31,33.88,37.25,33.75,37.13,32.89,28.42,71.21,1.41,SELL,12350.56
2023-06-01,37.02,40.0,36.745,39.75,33.31,28.76,76.24,1.81,SELL,12350.56
2023-06-02,40.0,42.19,39.31,40.67,33.81,29.12,77.72,2.18,SELL,12350.56
2023-06-05,41.26,42.49,39.1201,41.53,34.33,29.50,79.03,2.51,SELL,12350.56
2023-06-09,41.98,48.8785,40.0,45.69,35.93,31.02,77.80,3.01,SELL,12350.56
2023-06-12,48.27,54.95,46.23,48.85,36.77,31.56,81.07,3.60,SELL,12350.56
2023-06-13,47.3,51.64,47.0784,50.83,37.64,32.15,82.78,4.17,SELL,12350.56
2023-10-02,46.94,49.48,45.22,45.65,50.82,51.08,32.21,-1.48,SELL,12350.56
2023-11-21,50.5,52.67,50.5,51.75,48.07,47.75,58.55,1.24,BUY,12350.56
2023-12-08,57.17,63.25,57.06,61.01,53.50,49.03,73.75,2.60,SELL,14554.44
2024-03-25,60.43,60.9563,58.91,59.5,65.61,65.63,40.26,-1.10,SELL,14554.44
2024-04-01,26.5,35.4,25.6,34.21,62.70,64.93,21.34,-3.49,BUY,14554.44
2024-04-02,33.0,33.0,29.355,32.035,60.62,64.28,20.42,-5.33,BUY,13630.06
2024-04-03,31.13,32.41,29.87,30.5,58.69,63.52,19.77,-6.82,BUY,12977.69
2024-04-19,29.98,30.055,28.08,28.69,38.41,55.12,22.82,-8.13,BUY,12208.44
2024-04-26,26.55,27.9,25.6435,27.55,30.02,51.07,25.43,-7.01,BUY,11723.94
2024-04-29,27.74,28.67,27.39,28.29,29.72,50.32,28.15,-6.60,BUY,12038.44
2024-04-30,28.17,29.3,27.8,27.84,29.51,49.55,27.49,-6.24,BUY,11847.19
2024-06-05,36.38,38.17,36.38,37.95,33.09,32.98,67.62,0.80,BUY,16143.94
2024-06-14,39.16,48.45,39.11,46.27,36.17,32.37,78.40,2.22,SELL,19679.94
2024-08-19,48.26,49.64,47.14,49.26,44.47,44.47,65.59,0.92,SELL,19679.94
2024-08-21,49.95,51.11,48.31,49.31,44.89,44.88,64.20,1.32,BUY,19679.94
2024-10-25,45.68,48.29,45.68,46.01,48.79,48.87,40.29,-0.24,SELL,18363.24
2024-11-04,57.59,62.2599,55.27,58.25,48.16,48.73,72.98,0.26,SELL,18363.24
2024-11-05,60.07,65.25,57.91,64.78,49.00,49.03,79.29,1.52,SELL,18363.24
2025-01-15,59.11,61.08,58.06,60.47,62.74,62.84,45.85,-0.81,SELL,18363.24
2025-04-01,49.5,49.61,47.015,47.15,52.83,54.32,28.59,-1.30,BUY,18363.24
2025-04-03,46.96,48.81,45.0,45.77,51.93,53.83,29.34,-1.77,BUY,17826.42
2025-04-04,44.4,44.99,40.53,41.22,51.20,53.51,22.67,-2.36,BUY,16056.47
2025-04-07,39.79,40.76,36.98,39.2,50.49,53.15,20.45,-2.96,BUY,15270.69
2025-04-08,40.61,41.0,34.08,34.28,49.51,52.71,16.27,-3.79,BUY,13356.81
2025-05-21,49.68,50.115,48.21,48.89,46.96,46.76,56.39,0.75,BUY,19040.10
