Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-06-21,4.66,5.4,4.66,5.22,4.12,3.36,70.51,0.42,SELL,10000.00
2023-06-23,5.49,6.095,5.4,5.94,4.29,3.48,76.37,0.54,SELL,10000.00
2023-08-04,6.98,9.48,6.98,9.05,6.63,5.29,71.17,0.81,SELL,10000.00
2023-08-11,8.6,11.29,8.6,11.25,7.43,5.78,73.07,1.01,SELL,10000.00
2023-09-28,6.79,7.39,6.66,7.08,8.50,8.64,34.94,-0.60,SELL,10000.00
2023-11-07,8.77,8.95,8.55,8.74,8.20,8.16,61.62,0.23,BUY,10000.00
2023-11-14,9.93,10.1,9.64,10.05,8.58,8.12,70.49,0.46,SELL,11498.64
2023-11-15,10.15,10.53,9.6,10.25,8.70,8.13,72.04,0.52,SELL,11498.64
2023-11-16,10.14,10.75,9.9555,10.73,8.85,8.15,75.38,0.60,SELL,11498.64
2023-11-20,10.92,12.15,10.73,12.07,9.18,8.21,82.17,0.82,SELL,11498.64
2023-11-21,11.83,12.82,11.4,12.6,9.41,8.26,84.07,0.96,SELL,11498.64
2023-11-22,12.55,13.59,12.5,13.15,9.66,8.34,85.76,1.10,SELL,11498.64
2024-01-12,11.22,11.9,10.5,11.06,10.65,10.66,54.45,0.13,SELL,11498.64
2024-01-30,8.63,8.63,7.85,7.99,10.32,10.83,29.71,-0.52,BUY,11498.64
2024-04-01,8.5,11.4099,8.46,10.9,8.90,8.79,69.14,0.06,BUY,15686.13
2024-04-02,11.01,12.185,10.72,12.05,9.06,8.82,74.60,0.30,SELL,17340.98
2024-04-03,12.12,15.15,12.03,15.1,9.39,8.92,83.13,0.74,SELL,17340.98
2024-04-04,15.4,17.98,15.33,17.98,9.84,9.06,87.42,1.30,SELL,17340.98
2024-04-05,18.0,20.86,17.96,19.59,10.35,9.25,89.09,1.85,SELL,17340.98
2024-04-08,19.49,23.7848,18.03,23.2,11.05,9.54,91.74,2.55,SELL,17340.98
2024-04-09,23.48,34.96,22.58,33.28,12.25,10.02,95.23,3.87,SELL,17340.98
2024-04-10,33.6,40.97,30.11,39.01,13.74,10.64,96.21,5.32,SELL,17340.98
2024-04-11,41.11,43.96,38.14,43.18,15.43,11.34,96.73,6.73,SELL,17340.98
2024-05-08,2.45,2.54,2.35,2.36,11.99,12.07,36.27,-4.14,SELL,17340.98
2024-05-15,2.21,2.33,2.21,2.25,2.82,11.44,36.27,-3.47,BUY,17340.98
2024-07-29,2.14,2.1816,2.14,2.151,2.07,2.06,46.63,-0.06,BUY,16577.99
2024-09-11,2.32,2.42,2.319,2.39,2.19,2.13,70.25,0.04,SELL,18419.96
2024-09-27,2.68,2.94,2.65,2.87,2.41,2.25,83.01,0.13,SELL,18419.96
2024-10-02,2.77,2.97,2.77,2.97,2.51,2.29,76.33,0.16,SELL,18419.96
2024-10-30,2.08,2.11,2.07,2.09,2.38,2.38,37.70,-0.12,SELL,18419.96
2024-12-19,2.14,2.1403,2.02,2.05,2.21,2.20,39.26,-0.04,BUY,18419.96
2024-12-24,2.01,2.05,1.96,1.96,2.16,2.16,33.89,-0.06,SELL,17611.31
2024-12-30,1.895,1.895,1.61,1.71,2.09,2.15,23.11,-0.10,BUY,17611.31
2025-01-29,1.34,1.34,1.2,1.21,1.53,1.91,13.50,-0.18,BUY,12461.81
2025-02-04,1.24,1.28,1.22,1.26,1.44,1.83,26.24,-0.17,BUY,12976.76
2025-03-14,1.8,1.8,1.7,1.71,1.43,1.42,66.41,0.08,BUY,17611.31
2025-05-02,1.97,2.21,1.97,2.13,1.85,1.71,75.67,0.09,SELL,21936.89
2025-05-15,2.26,2.53,2.22,2.52,2.04,1.86,83.05,0.14,SELL,21936.89
2025-05-16,2.52,2.6299,2.49,2.52,2.08,1.88,83.05,0.16,SELL,21936.89
2025-06-27,2.51,2.64,2.5,2.64,2.42,2.29,71.65,0.06,SELL,21936.89
2025-06-30,2.61,2.7207,2.61,2.72,2.44,2.31,75.23,0.08,SELL,21936.89
2025-08-22,2.43,2.5,2.41,2.41,2.52,2.53,40.78,-0.03,SELL,21936.89
