Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-07-24,28.01,28.15,26.92,27.04,32.44,32.77,29.60,-1.72,SELL,10000.00
2020-08-20,41.6,48.0,40.12,46.18,35.32,34.81,81.84,2.72,BUY,10000.00
2020-08-25,49.07,65.5,46.5,62.21,38.84,35.81,90.22,4.89,SELL,13462.48
2020-10-06,36.57,37.78,34.17,36.0,42.05,42.75,29.17,-2.32,SELL,13462.48
2020-10-28,57.01,65.04,54.55,63.21,47.84,47.47,79.98,3.96,BUY,13462.48
2020-11-16,60.44,69.88,60.31,68.02,55.87,48.63,71.61,3.13,SELL,14482.20
2020-11-18,68.16,74.6,66.73,68.57,57.47,49.38,70.66,4.18,SELL,14482.20
2020-11-23,71.56,81.0,71.43,76.21,60.28,50.98,77.02,5.70,SELL,14482.20
2020-12-04,77.05,78.0,75.76,77.33,69.12,56.85,70.02,5.95,SELL,14482.20
2021-01-18,71.59,71.59,71.59,71.59,72.84,72.86,47.76,-0.38,SELL,14482.20
2021-04-26,62.17,64.905,61.0006,63.85,60.78,60.71,54.67,0.63,BUY,14482.20
2021-05-11,48.07,52.43,48.07,50.63,59.41,59.46,37.52,-2.37,SELL,11494.48
2021-07-27,37.55,38.015,35.945,36.6,40.03,46.17,28.35,-2.47,BUY,11494.48
2021-08-03,35.9,35.9,34.03,34.78,38.87,44.83,26.83,-2.44,BUY,10923.00
2021-08-04,34.45,35.7705,33.27,34.1,38.56,44.43,25.35,-2.54,BUY,10709.48
2021-08-17,32.35,34.07,31.32,31.96,35.83,41.44,25.41,-2.24,BUY,10037.52
2021-08-19,31.48,32.5,30.29,30.52,35.05,40.61,22.49,-2.41,BUY,9585.36
2021-09-20,30.26,30.37,28.7,29.27,32.45,34.65,28.93,-1.27,BUY,9192.86
2021-09-27,35.85,44.87,35.445,43.71,32.44,34.06,78.02,0.13,SELL,13727.02
2021-10-05,39.73,41.02,39.3,39.83,34.49,34.25,62.88,1.82,BUY,13727.02
