Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2015-08-14,141.2,144.36,128.6,136.16,183.39,186.01,31.02,-13.58,SELL,10000.00
2015-09-28,83.6,84.0,62.48,66.88,119.15,143.32,27.73,-12.00,BUY,10000.00
2015-09-29,68.64,73.52,56.12,58.92,116.61,140.08,26.07,-15.16,BUY,8813.96
2015-11-23,84.96,91.04,84.68,88.88,86.11,85.77,53.38,0.31,BUY,13278.00
2015-12-24,86.08,88.0,86.0,87.0,82.85,83.33,53.83,-0.56,SELL,12997.88
2016-01-07,59.64,61.56,55.56,57.04,79.10,84.10,29.28,-3.87,BUY,12997.88
2016-01-08,60.6,61.32,52.8,53.28,78.28,83.62,27.40,-5.37,BUY,12144.36
2016-01-11,54.2,55.16,40.24,44.32,77.11,82.69,23.53,-7.21,BUY,10110.44
2016-02-02,28.16,28.8,25.64,26.48,39.39,66.01,27.60,-11.38,BUY,6042.92
2016-02-08,23.48,23.48,20.04,20.92,33.49,60.36,25.74,-10.58,BUY,4775.24
2016-02-09,19.28,23.28,19.0,21.16,32.13,58.89,26.17,-10.48,BUY,4829.96
2016-04-05,30.04,32.73,29.5,30.85,26.39,26.25,57.54,0.23,BUY,7039.28
2016-05-18,26.31,28.92,26.2,28.36,29.24,29.38,49.15,-1.49,SELL,6471.56
2016-06-08,37.5,37.76,36.03,37.37,32.56,32.17,59.12,2.30,BUY,6471.56
2016-06-30,28.05,28.81,26.56,28.22,30.42,30.55,46.97,-1.56,SELL,4888.61
2016-07-25,37.11,37.33,35.45,37.0,32.34,31.99,62.04,1.41,BUY,4888.61
2016-08-01,43.2,46.69,42.75,45.19,35.47,33.25,73.99,2.96,SELL,5969.69
2016-10-24,35.81,35.93,33.91,34.01,42.29,42.90,35.95,-3.20,SELL,5969.69
2016-11-30,42.22,42.25,37.81,37.96,40.87,40.75,45.28,1.10,BUY,5969.69
2016-12-22,34.01,34.01,31.22,31.9,36.85,36.87,38.48,-1.61,SELL,5018.27
2017-01-27,36.2,37.77,36.2,37.66,37.65,37.33,51.29,0.12,BUY,5018.27
2017-04-11,43.0,43.99,41.5,43.09,47.00,47.22,39.66,-1.34,SELL,5740.46
2017-05-12,46.59,48.86,45.76,48.5,48.08,47.95,52.17,0.18,BUY,5740.46
2017-06-01,43.76,47.44,43.72,46.93,46.77,46.86,50.33,-0.68,SELL,5555.20
2017-06-05,51.0,51.4,47.85,49.13,47.04,46.95,54.75,-0.09,BUY,5555.20
2017-06-20,57.0,62.31,56.56,58.7,49.65,48.46,70.49,2.07,SELL,6636.61
2017-06-21,61.0,67.0,59.83,66.98,50.59,48.93,78.96,3.07,SELL,6636.61
2017-06-22,68.71,71.39,66.25,68.73,51.65,49.38,80.25,3.97,SELL,6636.61
2017-06-23,67.6,72.0,65.91,71.9,52.97,49.90,82.36,4.88,SELL,6636.61
2017-08-18,56.38,57.85,55.17,56.5,63.25,63.48,39.38,-1.89,SELL,6636.61
2017-08-31,72.71,78.88,72.67,78.16,62.86,65.20,70.71,2.11,SELL,6636.61
2017-09-01,78.51,80.91,76.39,80.28,63.64,65.37,72.49,3.03,SELL,6636.61
2017-09-07,79.1,79.9,76.53,79.2,67.16,66.33,68.74,4.51,BUY,6636.61
2017-10-02,86.45,89.99,85.85,89.8,79.41,70.68,72.02,3.83,SELL,7516.41
2017-10-03,90.36,90.93,86.66,89.05,79.96,71.04,70.17,4.16,SELL,7516.41
2017-10-04,88.55,91.06,87.22,90.35,80.52,71.41,71.54,4.48,SELL,7516.41
2017-11-07,79.74,80.2,76.5,77.65,80.29,80.86,46.50,-1.06,SELL,7516.41
2018-01-01,77.85,77.85,77.85,77.85,73.42,73.18,56.42,1.82,BUY,7516.41
2018-01-22,92.82,103.3,92.82,102.84,85.09,76.50,71.08,4.39,SELL,9915.45
2018-01-23,103.27,110.66,103.2,109.7,86.63,77.36,74.84,5.79,SELL,9915.45
2018-03-02,82.95,93.62,82.3,93.1,90.51,90.77,51.30,0.03,SELL,9915.45
2018-03-08,103.3,104.5,99.45,102.73,93.04,92.42,59.82,2.02,BUY,9915.45
2018-03-28,78.96,79.5,72.03,77.54,95.00,95.13,36.24,-3.29,SELL,7497.21
2018-05-23,86.49,90.74,86.22,88.6,82.65,81.99,56.13,2.54,BUY,7497.21
2018-06-20,109.25,114.99,109.0,114.79,99.45,88.97,75.26,5.41,SELL,9697.17
2018-08-07,93.43,95.5,92.49,95.33,101.66,101.69,44.73,-2.72,SELL,9697.17
2018-09-17,93.25,94.06,88.25,88.9,98.65,98.56,34.86,-1.18,BUY,9697.17
2018-10-01,94.4,94.84,88.7,89.31,94.99,95.41,39.71,-1.39,SELL,9741.86
2018-10-08,76.0,79.2,71.36,74.82,90.55,93.87,29.28,-4.33,BUY,9741.86
2018-10-09,74.5,77.24,71.82,72.5,89.39,93.46,27.62,-5.11,BUY,9440.26
2018-10-10,71.18,73.0,64.61,64.91,87.93,92.88,23.03,-6.27,BUY,8453.56
2018-10-11,65.0,67.75,61.91,62.83,86.38,92.22,21.95,-7.27,BUY,8183.16
2018-12-20,32.18,32.97,28.05,29.35,44.87,50.44,29.15,-4.81,BUY,3830.76
2018-12-21,29.83,29.99,25.21,25.55,43.87,49.62,26.50,-5.62,BUY,3336.76
2019-01-24,43.43,44.75,42.85,44.73,42.48,42.16,52.64,1.81,BUY,5830.16
2019-04-23,47.93,52.6,47.47,51.84,57.48,57.51,43.10,-2.36,SELL,6754.46
2019-07-02,50.92,51.0,48.82,49.88,45.57,45.28,57.85,1.31,BUY,6754.46
2019-08-07,39.99,42.5828,39.15,42.0,45.35,45.54,42.81,-1.24,SELL,5690.66
2019-11-06,39.2,39.2,36.97,37.24,35.77,35.54,53.69,1.17,BUY,5690.66
2019-11-19,42.78,45.61,42.59,44.95,39.07,36.33,70.95,1.89,SELL,6862.58
2019-11-20,44.5,46.229,43.3101,45.39,39.56,36.42,71.77,2.14,SELL,6862.58
2019-11-21,45.75,45.78,44.13,45.69,40.07,36.54,72.34,2.33,SELL,6862.58
2019-11-25,48.46,52.52,48.34,52.26,41.23,36.90,81.65,3.09,SELL,6862.58
2019-11-26,53.0,53.36,51.55,52.81,41.97,37.13,82.20,3.56,SELL,6862.58
2019-11-27,52.81,55.3056,52.6,54.92,42.84,37.44,84.14,4.05,SELL,6862.58
2019-12-23,61.0,62.49,59.2,62.27,57.17,46.43,73.00,4.15,SELL,6862.58
2019-12-24,62.41,64.34,61.61,64.27,57.75,47.04,75.77,4.29,SELL,6862.58
2019-12-25,64.27,64.27,64.27,64.27,58.21,47.66,75.77,4.35,SELL,6862.58
2020-01-27,46.5,49.29,45.62,48.06,56.06,56.12,33.32,-1.12,SELL,6862.58
2020-03-02,46.5,50.83,43.9,50.72,55.79,55.79,44.79,-1.91,BUY,6862.58
2020-03-03,49.98,52.79,44.28,46.31,55.42,55.43,39.38,-2.23,SELL,6267.23
2020-03-12,23.64,25.9,20.38,20.39,48.49,52.59,25.95,-6.39,BUY,6267.23
2020-04-30,38.88,39.7772,36.855,36.9,32.52,32.24,55.21,2.99,BUY,11335.80
2020-06-23,61.96,65.99,61.66,62.82,49.75,45.41,70.27,3.12,SELL,19293.24
2020-08-18,60.2,60.74,56.19,58.47,58.76,58.95,49.53,-0.91,SELL,19293.24
2020-10-07,59.99,64.46,59.38,63.68,54.67,54.60,61.32,1.30,BUY,19293.24
2020-11-30,85.28,87.3722,80.12,86.63,71.88,64.06,74.09,5.07,SELL,26224.14
2020-12-08,94.44,101.03,93.82,100.84,79.71,68.73,82.74,7.94,SELL,26224.14
2021-02-05,154.06,164.06,151.05,162.5,131.74,116.61,71.77,10.73,SELL,26224.14
2021-02-08,167.4,183.43,163.85,183.21,135.10,118.54,77.78,13.34,SELL,26224.14
2021-03-09,86.29,96.36,86.29,93.77,122.09,125.80,39.13,-13.02,SELL,26224.14
2021-06-22,72.41,72.94,68.03,70.69,68.12,67.84,53.08,1.66,BUY,26224.14
2021-07-26,58.83,60.48,55.9,56.0,66.14,67.06,35.18,-3.18,SELL,20788.84
2021-09-10,66.92,66.92,63.5,64.44,61.68,61.22,52.54,2.01,BUY,20788.84
2021-10-07,51.55,54.3099,50.69,52.7,59.43,59.86,39.47,-2.78,SELL,17008.56
2022-07-07,8.75,9.7099,8.61,9.4,6.49,6.46,68.33,0.55,BUY,17008.56
2022-08-08,12.55,13.19,11.953,12.72,9.21,7.63,72.03,0.87,SELL,23014.44
2022-09-12,10.07,10.19,9.57,10.16,9.64,9.65,53.88,-0.13,SELL,23014.44
2022-11-23,6.86,7.16,6.72,6.87,7.13,7.12,47.41,-0.09,BUY,23014.44
2022-11-29,6.56,6.82,6.48,6.6,6.97,6.99,44.70,-0.14,SELL,22110.21
2022-12-02,7.08,8.09,7.05,8.03,7.07,7.04,59.94,0.05,BUY,22110.21
2022-12-09,6.77,6.84,6.37,6.39,7.02,7.04,43.28,-0.08,SELL,17595.29
2023-01-16,8.23,8.23,8.23,8.23,7.03,7.00,63.36,0.28,BUY,17595.29
2023-03-02,6.44,6.55,6.3,6.46,7.36,7.43,39.21,-0.36,SELL,13812.80
2023-03-10,5.56,5.56,4.57,4.95,6.65,7.37,26.80,-0.52,BUY,13812.80
2023-05-03,5.74,6.44,5.72,6.2,5.49,5.48,58.15,0.12,BUY,17300.30
2023-07-07,5.59,5.81,5.54,5.6,6.49,6.53,34.68,-0.27,SELL,15626.30
2023-09-20,4.3494,4.35,4.02,4.04,4.77,5.23,27.09,-0.24,BUY,15626.30
2023-09-21,3.92,3.97,3.78,3.93,4.72,5.18,25.45,-0.27,BUY,15200.93
2023-10-19,3.07,3.08,2.85,2.88,3.50,4.26,27.24,-0.36,BUY,11140.58
2023-10-20,2.88,2.98,2.8,2.83,3.45,4.22,26.51,-0.37,BUY,10947.18
2023-10-23,2.78,2.8,2.65,2.66,3.40,4.17,24.13,-0.39,BUY,10289.62
2023-11-30,3.86,4.1,3.81,3.86,3.29,3.28,62.42,0.12,BUY,14931.22
2023-12-04,82.69,89.03,81.7,88.22,7.60,4.98,99.17,6.91,SELL,341235.70
2023-12-05,86.13,89.3,83.9,87.19,11.80,6.65,97.91,12.03,SELL,341235.70
2023-12-06,89.25,93.2899,86.5,89.62,16.11,8.36,97.97,16.10,SELL,341235.70
2024-01-02,118.12,131.95,116.69,125.74,105.85,44.23,74.91,24.58,SELL,341235.70
2024-01-08,118.19,138.59,114.39,138.28,112.92,53.99,74.71,21.19,SELL,341235.70
2024-01-09,134.0,142.19,132.01,138.9,115.43,56.72,74.90,21.17,SELL,341235.70
2024-02-27,159.7,175.4,155.45,174.12,126.40,122.03,74.80,9.85,SELL,341235.70
2024-04-04,119.15,121.77,109.49,110.33,131.57,131.78,36.12,-5.38,SELL,341235.70
2024-05-30,99.79,103.3799,98.2476,102.8,108.32,108.17,46.34,-0.71,BUY,341235.70
2024-07-15,137.69,142.62,135.3626,140.6,115.85,112.38,71.45,5.75,SELL,466693.90
2024-07-16,144.0,150.86,143.13,148.67,117.73,113.29,75.15,7.34,SELL,466693.90
2024-09-27,128.49,130.56,126.33,126.92,131.90,131.94,44.48,-0.74,SELL,466693.90
2024-10-07,124.02,124.69,117.0801,118.68,130.22,130.18,38.43,-2.85,BUY,466693.90
2024-10-09,121.48,121.6,117.29,118.48,129.35,129.47,39.36,-3.31,SELL,465907.50
2024-11-11,150.0,152.5799,143.88,144.37,129.46,128.82,65.12,3.92,BUY,465907.50
2024-11-15,117.3,117.55,98.4,99.62,127.31,128.26,30.50,-1.26,SELL,321499.25
2025-04-01,60.68,60.75,53.6733,54.33,73.97,83.64,27.82,-5.43,BUY,321499.25
2025-04-04,50.58,51.69,43.74,44.44,70.14,81.22,26.35,-7.81,BUY,262980.12
2025-06-06,58.37,60.82,58.37,60.42,52.21,51.89,61.24,0.95,BUY,357533.78
2025-09-05,78.47,82.902,78.159,82.54,70.13,65.63,71.72,3.75,SELL,488417.82
