Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-07-05,0.1,0.1,0.1,0.1,0.24,0.28,11.39,-0.02,BUY,10000.00
2022-07-06,0.1,0.1,0.1,0.1,0.23,0.27,11.39,-0.03,BUY,10000.00
2022-07-07,0.1,0.1,0.1,0.1,0.23,0.26,11.39,-0.04,BUY,10000.00
2022-09-06,0.14,0.14,0.14,0.14,0.12,0.12,64.80,0.01,BUY,14000.00
2022-09-07,0.14,0.15,0.14,0.15,0.12,0.12,70.14,0.01,SELL,15000.00
2022-09-13,0.14,0.1985,0.14,0.1985,0.13,0.11,84.99,0.01,SELL,15000.00
2022-09-14,0.1985,0.1985,0.1985,0.1985,0.14,0.12,84.99,0.02,SELL,15000.00
2022-11-15,0.185,0.185,0.185,0.185,0.19,0.19,46.93,-0.00,SELL,15000.00
2022-11-18,0.0906,0.0906,0.09,0.09,0.18,0.19,5.02,-0.01,BUY,15000.00
2022-11-21,0.09,0.09,0.09,0.09,0.18,0.19,5.02,-0.01,BUY,15000.00
2022-11-22,0.09,0.09,0.09,0.09,0.17,0.18,5.02,-0.02,BUY,15000.00
2022-12-07,0.11,0.2899,0.109,0.2899,0.13,0.16,83.97,-0.01,SELL,48316.53
2022-12-13,1.08,1.08,1.05,1.05,0.17,0.18,90.86,0.08,SELL,48316.53
2022-12-15,4.43,4.43,4.43,4.43,0.60,0.35,97.88,0.65,SELL,48316.53
2023-04-24,2.13,2.13,2.13,2.13,2.42,2.45,44.69,-0.10,SELL,48316.53
2023-05-18,4.0,4.0,3.18,3.18,2.58,2.55,56.09,0.22,BUY,48316.53
2023-05-23,4.7,9.75,4.7,8.4,3.00,2.69,80.60,0.64,SELL,127623.99
2023-05-24,8.6,8.6,8.0,8.0,3.29,2.80,77.02,0.93,SELL,127623.99
2023-07-07,7.49,10.45,7.49,10.45,5.91,4.78,70.70,0.77,SELL,127623.99
2023-10-05,2.99,4.05,2.99,4.02,6.15,6.28,40.08,-0.55,SELL,127623.99
2024-06-20,5.9,6.9,5.88,6.9,3.57,3.85,70.18,0.46,SELL,127623.99
2024-12-11,7.6,13.79,7.6,10.0,7.26,6.31,70.82,0.63,SELL,127623.99
2024-12-12,9.64,10.4,9.23,10.35,7.49,6.42,72.23,0.79,SELL,127623.99
2024-12-17,11.11,13.45,11.11,13.45,8.30,6.78,80.05,1.28,SELL,127623.99
2024-12-18,14.79,14.79,13.5,13.5,8.65,6.92,80.16,1.50,SELL,127623.99
2024-12-23,14.5,19.39,13.43,16.52,9.71,7.46,76.15,2.00,SELL,127623.99
2025-01-03,18.38,26.3,18.36,22.9,13.13,9.10,78.65,3.01,SELL,127623.99
2025-01-10,21.3,30.35,20.72,30.35,16.34,10.54,81.64,4.09,SELL,127623.99
2025-01-13,33.88,48.7,33.88,46.74,18.17,11.36,89.26,5.92,SELL,127623.99
2025-01-14,50.31,50.31,41.03,42.93,19.80,12.10,80.86,6.98,SELL,127623.99
2025-02-03,56.95,99.0,44.2,90.0,32.41,18.33,77.19,11.51,SELL,127623.99
2025-02-04,98.99,109.0,72.18,100.99,36.64,20.23,79.32,15.20,SELL,127623.99
2025-02-05,121.99,151.0,121.99,151.0,43.40,23.13,85.81,21.91,SELL,127623.99
2025-02-06,200.48,247.99,200.48,213.85,53.26,27.29,90.04,31.93,SELL,127623.99
2025-03-19,4.75,4.75,4.15,4.15,24.47,29.93,41.93,-10.47,SELL,127623.99
2025-07-10,14.6,14.6,11.5,11.5,10.19,9.91,50.61,0.03,BUY,127623.99
