Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-18,15.5154,15.5154,15.5154,15.5154,15.79,15.88,29.13,-0.07,BUY,10000.00
2024-12-19,15.4029,15.4029,15.4029,15.4029,15.78,15.86,24.98,-0.09,BUY,9927.55
2025-02-10,156.0112,156.0112,156.0112,156.0112,29.54,21.17,99.71,19.90,SELL,100479.30
2025-02-11,155.8844,155.8844,155.8844,155.8844,36.57,23.98,99.60,26.44,SELL,100479.30
2025-02-28,159.5104,159.5104,159.5104,159.5104,121.40,57.81,96.54,33.48,SELL,100479.30
2025-03-07,156.38,156.38,156.2117,156.2117,156.92,72.02,89.29,25.57,SELL,100479.30
2025-03-10,157.4182,157.4182,157.4182,157.4182,156.98,74.86,89.61,24.08,SELL,100479.30
2025-03-11,156.6555,156.6555,156.6555,156.6555,157.01,77.69,87.84,22.57,SELL,100479.30
2025-03-12,156.2939,156.2939,156.2939,156.2939,157.03,80.51,86.97,21.10,SELL,100479.30
2025-03-13,156.31,156.744,156.285,156.744,157.15,83.33,87.14,19.75,SELL,100479.30
2025-03-14,156.335,156.495,156.1643,156.1643,157.17,86.15,85.58,18.42,SELL,100479.30
2025-03-17,156.3452,156.3452,156.3452,156.3452,157.17,88.97,85.66,17.18,SELL,100479.30
2025-03-18,156.3112,156.87,156.3112,156.7135,157.25,91.79,85.85,16.04,SELL,100479.30
2025-03-19,157.5871,157.5871,157.5871,157.5871,157.34,94.64,86.30,15.04,SELL,100479.30
2025-03-20,158.36,158.36,157.8498,157.8498,157.43,97.49,86.44,14.10,SELL,100479.30
2025-03-21,157.83,157.83,157.3723,157.3723,157.46,100.33,84.74,13.17,SELL,100479.30
2025-03-24,156.6112,156.6112,156.6112,156.6112,157.43,103.16,81.96,12.23,SELL,100479.30
2025-03-25,156.9389,156.9389,156.9389,156.9389,157.35,105.99,82.23,11.38,SELL,100479.30
2025-03-26,156.6121,156.6121,156.6121,156.6121,157.26,108.82,80.93,10.55,SELL,100479.30
2025-03-27,156.7359,156.7359,156.7359,156.7359,157.20,111.65,81.05,9.80,SELL,100479.30
2025-03-28,157.9151,157.9151,157.9151,157.9151,157.12,114.50,82.22,9.19,SELL,100479.30
2025-03-31,158.8816,158.8816,158.8816,158.8816,157.07,117.37,83.14,8.69,SELL,100479.30
2025-04-01,159.352,159.352,159.2272,159.2272,157.12,120.25,83.47,8.22,SELL,100479.30
2025-04-02,158.76,158.76,158.0645,158.0645,157.16,123.10,77.96,7.67,SELL,100479.30
2025-04-03,159.66,159.66,158.958,158.958,157.27,125.97,79.10,7.22,SELL,100479.30
2025-04-04,159.2102,159.2102,159.2102,159.2102,157.41,128.85,79.43,6.80,SELL,100479.30
2025-04-21,152.6343,152.6343,152.6343,152.6343,155.75,156.45,52.43,1.82,SELL,100479.30
2025-07-07,153.6488,153.6488,153.6488,153.6488,154.00,153.94,46.76,0.31,BUY,100479.30
