Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-18,16.3307,16.3307,16.3307,16.3307,16.63,16.72,28.78,-0.08,BUY,10000.00
2024-12-19,16.2098,16.2098,16.2098,16.2098,16.61,16.70,24.65,-0.10,BUY,9926.01
2025-02-10,164.2211,164.2211,164.2211,164.2211,31.08,22.28,99.75,20.95,SELL,100508.92
2025-02-11,164.14,164.14,164.0697,164.0697,38.49,25.23,99.63,27.83,SELL,100508.92
2025-02-28,167.9722,167.9722,167.9722,167.9722,127.79,60.85,96.60,35.25,SELL,100508.92
2025-03-07,164.7848,164.7848,164.5318,164.5318,165.19,75.81,89.45,26.93,SELL,100508.92
2025-03-10,165.7307,165.7307,165.7307,165.7307,165.26,78.80,89.74,25.36,SELL,100508.92
2025-03-11,164.8993,164.8993,164.8993,164.8993,165.29,81.78,87.91,23.77,SELL,100508.92
2025-03-12,164.4974,164.4974,164.4974,164.4974,165.31,84.74,86.98,22.22,SELL,100508.92
2025-03-13,164.9996,164.9996,164.9996,164.9996,165.44,87.72,87.16,20.79,SELL,100508.92
2025-03-14,164.731,164.731,164.3718,164.3718,165.46,90.68,85.55,19.39,SELL,100508.92
2025-03-17,164.6587,164.6587,164.6587,164.6587,165.47,93.65,85.68,18.09,SELL,100508.92
2025-03-18,164.9636,164.9636,164.9636,164.9636,165.54,96.62,85.83,16.89,SELL,100508.92
2025-03-19,165.8923,165.8923,165.8923,165.8923,165.64,99.62,86.29,15.83,SELL,100508.92
2025-03-20,166.172,166.172,166.172,166.172,165.73,102.62,86.43,14.85,SELL,100508.92
2025-03-21,165.6256,165.6256,165.6256,165.6256,165.76,105.61,84.58,13.86,SELL,100508.92
2025-03-24,164.7804,164.7804,164.7804,164.7804,165.72,108.59,81.67,12.86,SELL,100508.92
2025-03-25,165.1261,165.1261,165.1261,165.1261,165.64,111.57,81.94,11.96,SELL,100508.92
2025-03-26,164.7538,164.7538,164.7538,164.7538,165.54,114.55,80.55,11.09,SELL,100508.92
2025-03-27,164.8691,164.8691,164.8691,164.8691,165.47,117.52,80.66,10.29,SELL,100508.92
2025-03-28,166.1262,166.1262,166.1262,166.1262,165.38,120.52,81.86,9.65,SELL,100508.92
2025-03-31,167.171,167.171,167.171,167.171,165.31,123.54,82.82,9.12,SELL,100508.92
2025-04-01,167.6912,167.6912,167.4015,167.4015,165.36,126.57,83.03,8.61,SELL,100508.92
2025-04-02,166.3471,166.3471,166.3471,166.3471,165.40,129.57,78.26,8.04,SELL,100508.92
2025-04-03,167.3048,167.3048,167.3048,167.3048,165.51,132.59,79.42,7.57,SELL,100508.92
2025-04-04,167.3106,167.3106,167.3106,167.3106,165.65,135.61,79.42,7.12,SELL,100508.92
2025-04-21,160.3777,160.3777,160.3777,160.3777,163.84,164.65,51.76,1.86,SELL,100508.92
2025-07-07,161.6935,161.6935,161.6935,161.6935,162.01,161.90,47.21,0.36,BUY,100508.92
