Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-18,19.4289,19.4289,19.4289,19.4289,19.82,19.93,29.52,-0.10,BUY,10000.00
2024-12-19,19.2615,19.2615,19.2615,19.2615,19.80,19.91,25.19,-0.13,BUY,9913.96
2025-02-11,195.2409,195.2409,195.2409,195.2409,36.99,26.50,99.64,24.92,SELL,100367.37
2025-02-12,193.0682,193.0682,193.0682,193.0682,45.69,29.96,98.24,32.93,SELL,100367.37
2025-03-03,197.4987,197.4987,197.4987,197.4987,150.91,71.92,94.27,41.31,SELL,100367.37
2025-03-10,194.1771,194.1771,194.1771,194.1771,194.48,89.37,88.11,31.29,SELL,100367.37
2025-03-11,193.1251,193.1251,193.1251,193.1251,194.36,92.84,86.36,29.36,SELL,100367.37
2025-03-12,192.5669,192.5669,192.5669,192.5669,194.22,96.31,85.39,27.48,SELL,100367.37
2025-03-13,193.2355,193.2355,193.2355,193.2355,194.23,99.79,85.60,25.74,SELL,100367.37
2025-03-14,192.4702,192.4702,192.4702,192.4702,194.10,103.25,84.11,24.02,SELL,100367.37
2025-03-17,192.8348,192.8348,192.8348,192.8348,193.96,106.72,84.25,22.43,SELL,100367.37
2025-03-18,193.2925,193.2925,193.2925,193.2925,193.90,110.20,84.44,20.97,SELL,100367.37
2025-03-19,194.3255,194.3255,194.3255,194.3255,194.04,113.71,84.87,19.66,SELL,100367.37
2025-03-20,194.7604,194.7604,194.7604,194.7604,194.15,117.22,85.06,18.45,SELL,100367.37
2025-03-21,193.9725,193.9725,193.9725,193.9725,194.18,120.72,83.04,17.23,SELL,100367.37
2025-03-24,192.8975,192.8975,192.8975,192.8975,194.14,124.20,80.25,15.99,SELL,100367.37
2025-03-25,193.3003,193.3003,193.3003,193.3003,194.04,127.68,80.51,14.87,SELL,100367.37
2025-03-26,192.7818,192.7818,192.7818,192.7818,193.90,131.16,79.04,13.78,SELL,100367.37
2025-03-27,192.8793,192.8793,192.8793,192.8793,193.81,134.64,79.12,12.78,SELL,100367.37
2025-03-28,194.4411,194.4411,194.4411,194.4411,193.69,138.15,80.37,11.97,SELL,100367.37
2025-03-31,195.8143,195.8143,195.8143,195.8143,193.60,141.68,81.42,11.31,SELL,100367.37
2025-04-01,196.1741,196.1741,196.1741,196.1741,193.65,145.22,81.69,10.70,SELL,100367.37
2025-04-02,195.086,195.086,195.086,195.086,193.72,148.73,77.92,10.01,SELL,100367.37
2025-04-03,196.0197,196.0197,196.0197,196.0197,193.85,152.27,78.82,9.42,SELL,100367.37
2025-04-04,195.954,195.954,195.954,195.954,194.01,155.80,78.58,8.86,SELL,100367.37
2025-04-22,188.3675,188.3675,188.3675,188.3675,191.35,193.00,54.25,1.99,SELL,100367.37
2025-07-03,190.893,190.893,190.893,190.893,189.37,189.25,57.82,0.73,BUY,100367.37
