Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-19,22.25,22.25,22.1,22.1023,22.78,22.91,25.81,-0.16,BUY,10000.00
2025-02-13,224.0928,224.0928,224.0928,224.0928,42.34,30.34,99.76,28.42,SELL,101299.71
2025-02-14,224.7946,224.7946,224.7946,224.7946,52.48,34.37,99.77,37.91,SELL,101299.71
2025-03-05,220.3552,220.3552,220.3552,220.3552,171.94,82.02,89.88,46.69,SELL,101299.71
2025-03-12,218.7455,218.7455,218.7455,218.7455,221.20,101.76,85.96,35.20,SELL,101299.71
2025-03-13,219.6504,219.6504,219.6504,219.6504,221.12,105.71,86.17,33.08,SELL,101299.71
2025-03-14,218.7091,218.7091,218.7091,218.7091,220.85,109.65,84.75,30.97,SELL,101299.71
2025-03-17,219.2457,219.2457,219.2457,219.2457,220.57,113.59,84.90,29.01,SELL,101299.71
2025-03-18,219.7402,219.7402,219.7402,219.7402,220.41,117.54,85.05,27.18,SELL,101299.71
2025-03-19,220.9039,220.9039,220.9039,220.9039,220.57,121.52,85.41,25.53,SELL,101299.71
2025-03-20,221.5123,221.5123,221.5123,221.5123,220.71,125.51,85.61,24.00,SELL,101299.71
2025-03-21,220.4369,220.4369,220.4369,220.4369,220.76,129.49,83.47,22.44,SELL,101299.71
2025-03-24,219.092,219.092,219.092,219.092,220.70,133.43,80.75,20.85,SELL,101299.71
2025-03-25,219.5355,219.5355,219.5355,219.5355,220.57,137.39,80.97,19.40,SELL,101299.71
2025-03-26,218.8952,218.8952,218.8952,218.8952,220.39,141.33,79.55,18.00,SELL,101299.71
2025-03-27,218.8811,218.8811,218.8811,218.8811,220.28,145.28,79.52,16.69,SELL,101299.71
2025-03-28,220.7602,220.7602,220.7602,220.7602,220.11,149.26,80.67,15.63,SELL,101299.71
2025-03-31,222.4668,222.4668,222.4668,222.4668,220.00,153.27,81.67,14.75,SELL,101299.71
2025-04-01,222.953,222.953,222.953,222.953,220.05,157.28,81.96,13.94,SELL,101299.71
2025-04-02,221.858,221.858,221.858,221.858,220.13,161.28,78.95,13.05,SELL,101299.71
2025-04-03,222.6529,222.6529,222.6529,222.6529,220.27,165.29,79.54,12.27,SELL,101299.71
2025-04-04,223.3996,223.3996,223.3996,223.3996,220.48,169.32,80.10,11.58,SELL,101299.71
2025-04-24,216.9637,216.9637,216.9637,216.9637,216.81,219.16,60.54,2.57,SELL,101299.71
2025-07-01,217.6461,217.6461,217.6461,217.6461,214.61,214.54,63.83,0.98,BUY,101299.71
