Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-19,23.4485,23.4485,23.4485,23.4485,24.20,24.33,26.04,-0.17,BUY,10000.00
2025-02-13,237.3766,237.3766,237.3766,237.3766,44.85,32.16,99.74,30.09,SELL,101133.37
2025-02-14,238.2361,238.2361,238.2361,238.2361,55.60,36.44,99.74,40.16,SELL,101133.37
2025-03-05,233.0948,233.0948,233.0948,233.0948,181.93,86.81,89.32,49.36,SELL,101133.37
2025-03-12,231.0623,231.0623,231.0623,231.0623,233.98,107.67,85.32,37.16,SELL,101133.37
2025-03-13,231.258,231.258,231.258,231.258,233.83,111.82,85.36,34.85,SELL,101133.37
2025-03-14,231.1377,231.1377,231.1377,231.1377,233.52,115.98,85.19,32.63,SELL,101133.37
2025-03-17,231.7749,231.7749,231.7749,231.7749,233.19,120.15,85.36,30.57,SELL,101133.37
2025-03-18,232.302,232.302,232.302,232.302,233.00,124.32,85.51,28.66,SELL,101133.37
2025-03-19,233.7432,233.7432,233.7432,233.7432,233.19,128.53,85.92,26.94,SELL,101133.37
2025-03-20,234.3411,234.3411,234.3411,234.3411,233.36,132.76,86.10,25.34,SELL,101133.37
2025-03-21,232.757,232.757,232.757,232.757,233.39,136.95,83.10,23.67,SELL,101133.37
2025-03-24,231.3094,231.3094,231.3094,231.3094,233.28,141.11,80.35,21.98,SELL,101133.37
2025-03-25,231.7207,231.7207,231.7207,231.7207,233.10,145.29,80.54,20.43,SELL,101133.37
2025-03-26,230.959,230.959,230.959,230.959,232.89,149.45,78.96,18.93,SELL,101133.37
2025-03-27,230.853,230.853,230.853,230.853,232.76,153.61,78.73,17.52,SELL,101133.37
2025-03-28,232.8052,232.8052,232.8052,232.8052,232.54,157.80,79.90,16.38,SELL,101133.37
2025-03-31,234.8342,234.8342,234.8342,234.8342,232.40,162.03,81.06,15.46,SELL,101133.37
2025-04-01,235.3554,235.3554,235.3554,235.3554,232.43,166.27,81.36,14.61,SELL,101133.37
2025-04-02,234.4293,234.4293,234.4293,234.4293,232.50,170.49,78.98,13.70,SELL,101133.37
2025-04-03,234.7071,234.7071,234.7071,234.7071,232.62,174.72,79.18,12.85,SELL,101133.37
2025-04-04,235.7452,235.7452,235.7452,235.7452,232.82,178.97,79.93,12.12,SELL,101133.37
2025-04-24,227.6911,227.6911,227.6911,227.6911,228.37,231.37,58.58,2.43,SELL,101133.37
2025-07-01,229.014,229.014,229.014,229.014,225.69,225.61,63.64,1.05,BUY,101133.37
