Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-19,24.1707,24.1707,24.1707,24.1707,24.96,25.10,25.85,-0.18,BUY,10000.00
2025-02-14,245.3105,245.3105,245.3105,245.3105,46.39,33.19,99.61,31.23,SELL,101330.74
2025-02-18,243.1166,243.1166,243.1166,243.1166,57.35,37.54,98.48,41.37,SELL,101330.74
2025-03-06,238.5366,238.5366,238.5366,238.5366,186.72,89.15,88.95,50.41,SELL,101330.74
2025-03-13,238.2337,238.2337,238.2337,238.2337,240.13,110.54,85.93,38.05,SELL,101330.74
2025-03-14,237.2383,237.2383,237.2383,237.2383,239.77,114.80,84.65,35.69,SELL,101330.74
2025-03-17,237.8688,237.8688,237.8688,237.8688,239.40,119.08,84.81,33.49,SELL,101330.74
2025-03-18,238.4902,238.4902,238.4902,238.4902,239.17,123.37,84.97,31.43,SELL,101330.74
2025-03-19,239.9391,239.9391,239.9391,239.9391,239.36,127.69,85.35,29.57,SELL,101330.74
2025-03-20,240.3417,240.3417,240.3417,240.3417,239.52,132.02,85.47,27.81,SELL,101330.74
2025-03-21,238.9249,238.9249,238.9249,238.9249,239.55,136.32,83.06,26.01,SELL,101330.74
2025-03-24,237.3916,237.3916,237.3916,237.3916,239.47,140.59,80.42,24.17,SELL,101330.74
2025-03-25,237.7897,237.7897,237.7897,237.7897,239.29,144.88,80.59,22.49,SELL,101330.74
2025-03-26,237.0018,237.0018,237.0018,237.0018,239.06,149.14,79.11,20.85,SELL,101330.74
2025-03-27,236.8191,236.8191,236.8191,236.8191,238.90,153.41,78.75,19.32,SELL,101330.74
2025-03-28,238.8431,238.8431,238.8431,238.8431,238.68,157.71,79.85,18.06,SELL,101330.74
2025-03-31,240.8511,240.8511,240.8511,240.8511,238.52,162.04,80.90,17.02,SELL,101330.74
2025-04-01,241.5279,241.5279,241.5279,241.5279,238.56,166.40,81.26,16.07,SELL,101330.74
2025-04-02,240.4889,240.4889,240.4889,240.4889,238.63,170.72,78.83,15.06,SELL,101330.74
2025-04-03,240.8081,240.8081,240.8081,240.8081,238.74,175.06,79.03,14.13,SELL,101330.74
2025-04-04,241.6644,241.6644,241.6644,241.6644,238.94,179.41,79.61,13.30,SELL,101330.74
2025-04-25,234.1347,234.1347,234.1347,234.1347,234.12,237.34,59.83,2.81,SELL,101330.74
2025-07-01,234.8906,234.8906,234.8906,234.8906,231.44,231.35,63.87,1.08,BUY,101330.74
