Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-19,26.1439,26.1439,26.1439,26.1439,27.08,27.23,26.63,-0.21,BUY,10000.00
2025-02-18,263.2072,263.2072,263.2072,263.2072,50.19,35.89,98.46,33.69,SELL,100558.18
2025-03-06,256.5236,256.5236,256.5236,256.5236,189.24,91.34,88.61,56.60,SELL,100558.18
2025-03-14,254.9958,254.9958,254.9958,254.9958,258.03,118.90,84.42,40.75,SELL,100558.18
2025-03-17,255.9031,255.9031,255.9031,255.9031,257.53,123.49,84.61,38.32,SELL,100558.18
2025-03-18,256.4248,256.4248,256.4248,256.4248,257.19,128.10,84.73,36.02,SELL,100558.18
2025-03-19,258.0135,258.0135,258.0135,258.0135,257.41,132.74,85.10,33.93,SELL,100558.18
2025-03-20,258.4477,258.4477,258.4477,258.4477,257.58,137.40,85.20,31.94,SELL,100558.18
2025-03-21,256.7021,256.7021,256.7021,256.7021,257.60,142.02,82.67,29.88,SELL,100558.18
2025-03-24,254.9255,254.9255,254.9255,254.9255,257.49,146.60,80.06,27.78,SELL,100558.18
2025-03-25,255.3202,255.3202,255.3202,255.3202,257.28,151.19,80.21,25.86,SELL,100558.18
2025-03-26,254.3838,254.3838,254.3838,254.3838,256.99,155.77,78.70,23.98,SELL,100558.18
2025-03-27,254.0538,254.0538,254.0538,254.0538,256.79,160.34,78.14,22.21,SELL,100558.18
2025-03-28,256.2865,256.2865,256.2865,256.2865,256.52,164.95,79.22,20.74,SELL,100558.18
2025-03-31,258.5643,258.5643,258.5643,258.5643,256.31,169.61,80.28,19.54,SELL,100558.18
2025-04-01,259.4269,259.4269,259.4269,259.4269,256.34,174.28,80.68,18.45,SELL,100558.18
2025-04-02,258.4177,258.4177,258.4177,258.4177,256.41,178.92,78.66,17.30,SELL,100558.18
2025-04-03,258.3857,258.3857,258.3857,258.3857,256.50,183.57,78.59,16.20,SELL,100558.18
2025-04-04,259.6523,259.6523,259.6523,259.6523,256.71,188.24,79.34,15.25,SELL,100558.18
2025-04-28,251.9061,251.9061,251.9061,251.9061,250.69,254.70,60.96,3.18,SELL,100558.18
2025-07-01,251.5546,251.5546,251.5546,251.5546,247.70,247.55,64.02,1.21,BUY,100558.18
2025-09-03,247.8,248.85,247.8,248.4394,248.36,248.41,50.62,-0.00,SELL,99315.22
2025-09-05,252.2288,252.2288,252.2288,252.2288,248.49,248.47,63.13,0.37,BUY,99315.22
