Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-11-10,34.3,34.42,33.65,34.32,31.91,31.79,66.33,0.77,BUY,10000.00
2024-03-21,41.36,43.24,41.17,42.03,38.97,37.11,73.22,1.18,SELL,12243.61
2024-04-16,38.0,38.0,35.92,36.34,41.23,38.91,28.87,0.08,BUY,12243.61
2024-04-17,36.5,37.11,36.25,36.32,41.03,38.93,28.81,-0.25,BUY,12236.89
2024-04-29,36.42,36.69,36.145,36.39,38.82,38.98,36.78,-1.08,SELL,12260.41
2024-07-19,37.23,37.32,36.59,36.95,36.92,36.87,50.11,0.34,BUY,12260.41
2024-09-17,41.5,41.98,41.38,41.9,39.26,38.05,73.28,0.73,SELL,13898.86
2024-09-18,41.95,42.64,41.62,42.02,39.40,38.15,73.78,0.85,SELL,13898.86
2024-09-19,42.71,43.225,42.195,42.42,39.56,38.27,75.44,0.98,SELL,13898.86
2024-09-24,42.38,46.18,42.38,45.82,40.27,38.62,83.95,1.41,SELL,13898.86
2024-09-25,45.82,47.297,45.08,46.81,40.64,38.79,85.68,1.71,SELL,13898.86
2024-09-26,47.3,49.16,47.3,48.72,41.09,39.00,88.30,2.08,SELL,13898.86
2024-10-21,52.79,54.06,52.79,53.67,50.68,43.94,84.58,2.86,SELL,13898.86
2024-10-24,54.5,55.89,54.5,55.59,51.85,44.98,88.13,2.86,SELL,13898.86
2024-10-28,56.21,57.82,56.21,57.72,52.62,45.71,90.97,2.98,SELL,13898.86
2024-10-31,56.63,57.11,56.055,56.74,53.62,46.78,80.34,2.89,SELL,13898.86
2024-11-06,58.33,62.6634,58.265,61.42,55.15,48.29,87.31,2.80,SELL,13898.86
2024-11-07,61.42,62.425,60.3567,60.64,55.63,48.71,81.22,2.91,SELL,13898.86
2024-11-12,62.41,66.42,61.905,65.46,57.01,50.07,85.06,3.27,SELL,13898.86
2024-11-21,67.83,70.45,67.62,70.19,61.06,53.84,81.81,4.05,SELL,13898.86
2024-12-05,71.62,72.01,70.69,71.43,67.45,59.01,77.68,4.12,SELL,13898.86
2025-01-16,67.59,68.82,67.475,68.09,66.76,66.99,57.93,-0.19,SELL,13898.86
2025-02-06,74.11,74.475,73.87,74.13,69.72,69.34,74.80,1.75,BUY,13898.86
2025-02-13,76.8,78.28,76.6,78.26,72.18,69.77,82.32,2.27,SELL,14671.17
2025-03-17,63.63,65.31,62.8,64.69,70.26,70.37,37.81,-2.49,SELL,14671.17
2025-05-05,71.24,74.94,70.35,73.73,68.18,67.85,62.81,1.32,BUY,14671.17
2025-08-12,86.81,89.37,86.11,89.25,82.64,79.21,72.28,1.93,SELL,17744.13
2025-08-13,89.97,90.42,88.5,90.42,83.17,79.56,74.13,2.30,SELL,17744.13
2025-08-14,89.83,91.1,88.65,90.59,83.67,79.89,74.40,2.58,SELL,17744.13
