Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-11-08,35.29,36.12,35.29,35.71,32.26,32.18,72.23,0.74,BUY,10000.00
2024-03-04,40.22,41.34,40.22,40.87,37.64,36.89,70.83,0.88,SELL,11444.80
2024-03-21,42.22,43.66,41.58,43.44,40.30,38.07,74.12,1.24,SELL,11444.80
2024-04-16,39.46,39.87,37.13,37.5,42.53,40.18,27.91,0.10,BUY,11444.80
2024-04-17,37.69,38.47,37.48,37.64,42.33,40.22,29.00,-0.23,BUY,11487.50
2024-04-18,37.66,37.66,36.41,36.41,42.04,40.21,25.38,-0.59,BUY,11112.35
2024-04-26,37.32,37.65,37.11,37.46,40.30,40.30,35.76,-1.10,SELL,11432.60
2024-07-23,38.0,38.97,38.0,38.8,38.13,38.05,56.38,0.33,BUY,11432.60
2024-09-17,41.97,42.64,41.89,42.48,39.98,38.95,71.47,0.65,SELL,12514.52
2024-09-18,42.47,43.3,42.15,42.57,40.11,39.05,71.87,0.77,SELL,12514.52
2024-09-19,43.37,43.92,43.09,43.3,40.27,39.16,74.91,0.92,SELL,12514.52
2024-09-24,43.41,47.09,43.41,46.81,41.00,39.50,82.98,1.40,SELL,12514.52
2024-09-25,46.24,48.42,44.88,48.24,41.41,39.68,85.37,1.75,SELL,12514.52
2024-09-26,48.68,50.78,48.63,50.41,41.90,39.90,88.10,2.18,SELL,12514.52
2024-10-21,55.25,55.81,55.05,55.46,52.32,45.04,84.33,3.07,SELL,12514.52
2024-10-22,55.43,56.78,55.1801,56.44,52.81,45.41,86.15,3.07,SELL,12514.52
2024-10-24,56.57,57.61,56.38,57.39,53.57,46.15,87.74,3.05,SELL,12514.52
2024-10-28,57.64,59.32,57.64,59.21,54.32,46.90,89.11,3.11,SELL,12514.52
2024-10-30,59.33,59.355,58.0,58.26,54.99,47.65,79.31,3.07,SELL,12514.52
2024-11-06,59.39,64.15,59.39,63.0,56.84,49.60,86.67,2.86,SELL,12514.52
2024-11-07,62.9,63.65,62.02,62.44,57.32,50.04,82.31,2.98,SELL,12514.52
2024-11-12,64.7,68.57,64.7,67.19,58.73,51.47,85.54,3.37,SELL,12514.52
2024-12-04,73.66,73.66,71.4,73.3,68.50,60.14,83.71,4.21,SELL,12514.52
2025-01-16,69.07,70.73,69.07,69.82,68.43,68.54,57.92,-0.02,SELL,12514.52
2025-02-04,74.21,75.7,74.14,75.48,70.68,70.68,74.53,1.48,BUY,12514.52
2025-02-13,78.3,79.79,78.04,79.61,73.91,71.38,82.06,2.23,SELL,13195.97
2025-03-17,64.73,66.54,64.69,66.045,71.79,72.08,37.54,-2.59,SELL,13195.97
2025-05-05,72.53,75.745,71.76,74.52,69.38,69.11,61.71,1.28,BUY,13195.97
2025-08-12,87.89,91.09,84.71,91.08,84.76,80.90,70.85,2.03,SELL,16127.09
2025-08-13,91.8,92.37,90.205,92.35,85.31,81.27,72.87,2.38,SELL,16127.09
2025-08-14,91.29,93.35,90.69,93.18,85.85,81.62,74.13,2.69,SELL,16127.09
