Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-10-19,59.34,60.96,58.5101,58.95,56.28,56.01,52.19,2.25,BUY,10000.00
2020-12-07,90.03,99.99,88.02,91.72,68.05,61.26,72.61,6.06,SELL,15538.13
2020-12-10,85.23,111.68,85.0074,99.7,72.94,63.80,73.43,8.42,SELL,15538.13
2020-12-23,122.64,137.2999,122.3001,134.45,91.07,71.86,81.92,13.78,SELL,15538.13
2021-01-08,148.18,168.59,142.0,160.74,118.53,89.26,72.13,14.83,SELL,15538.13
2021-01-11,154.95,183.9999,154.1,183.26,123.09,91.86,76.93,18.10,SELL,15538.13
2021-03-03,113.02,113.2799,102.0,103.07,141.54,142.47,29.64,-7.76,SELL,15538.13
2021-05-12,67.95,68.35,60.07,60.17,84.94,90.85,26.15,-6.70,BUY,15538.13
2021-06-10,104.53,105.18,99.82,101.36,87.32,86.80,63.20,5.30,BUY,26165.15
2021-07-27,88.28,88.28,83.91,87.39,94.59,95.68,41.10,-3.52,SELL,22560.89
2021-08-17,69.99,70.48,66.48,68.39,83.70,93.84,29.11,-5.51,BUY,22560.89
2022-04-11,23.06,24.9791,22.65,24.0,26.09,25.81,44.81,0.08,BUY,7956.58
2022-04-28,20.89,22.32,19.83,22.15,23.78,23.82,45.31,-1.21,SELL,7344.23
2022-07-27,19.06,20.005,18.88,19.62,19.78,19.73,49.86,-0.01,BUY,7344.23
2022-08-09,27.79,29.95,26.25,28.11,20.96,19.93,75.26,1.43,SELL,10519.49
2022-08-10,28.77,29.09,27.02,28.66,21.38,20.09,76.23,1.79,SELL,10519.49
2022-08-11,29.5,32.06,28.52,30.41,21.95,20.26,79.05,2.19,SELL,10519.49
2022-09-19,22.51,22.81,22.2,22.65,23.18,23.23,45.81,-0.07,SELL,10519.49
2023-02-02,17.33,19.94,17.25,18.83,15.60,16.04,70.84,0.27,SELL,10519.49
2023-02-06,18.01,18.55,17.72,18.13,16.05,16.00,64.43,0.54,BUY,10519.49
2023-03-13,13.16,14.2,12.89,13.78,15.73,15.74,37.64,-0.67,SELL,7996.49
2023-04-25,11.52,11.55,11.0,11.01,13.28,14.16,27.74,-0.58,BUY,7996.49
2023-04-26,11.07,11.14,10.51,10.58,13.15,14.03,25.55,-0.70,BUY,7684.31
2023-05-08,14.5,16.6,14.495,16.26,12.57,13.35,70.68,0.05,SELL,11807.99
2023-05-18,15.99,16.33,15.6,16.18,13.56,13.47,64.93,0.78,BUY,11807.99
2023-06-06,18.05,19.8496,17.86,19.66,16.74,14.54,72.17,1.17,SELL,14344.91
2023-07-19,21.14,24.81,21.06,24.08,18.14,17.90,75.73,0.96,SELL,14344.91
2023-08-17,14.53,14.53,14.025,14.06,18.56,18.70,30.50,-1.46,SELL,14344.91
2023-09-21,12.25,12.44,12.04,12.2,13.22,16.35,28.45,-0.89,BUY,14344.91
2023-09-22,12.33,12.41,11.89,12.03,13.14,16.19,27.24,-0.89,BUY,14145.16
2023-09-25,11.82,11.92,11.55,11.69,13.05,16.05,24.96,-0.91,BUY,13745.66
2023-09-26,11.55,11.765,11.36,11.38,12.96,15.88,23.06,-0.94,BUY,13381.41
2023-11-02,13.86,16.2,13.16,16.17,11.99,12.39,74.56,-0.05,SELL,19009.66
2023-11-03,16.25,18.23,16.25,17.32,12.27,12.47,77.68,0.38,SELL,19009.66
2023-11-07,16.39,17.6,16.0205,16.84,12.73,12.60,71.50,0.85,BUY,19009.66
2024-01-17,15.4,16.5,15.37,16.46,16.96,16.98,47.31,-0.09,SELL,18581.02
2024-03-26,16.77,16.8799,16.17,16.24,16.54,16.80,47.09,-0.23,SELL,18581.02
2024-05-03,18.2,18.47,16.95,17.38,16.90,16.87,54.27,0.27,BUY,18581.02
2024-06-11,15.8,15.96,15.53,15.91,16.78,16.87,41.31,-0.32,SELL,17009.59
2024-06-14,15.21,15.39,14.3,14.38,16.31,16.81,29.38,-0.48,BUY,17009.59
2024-07-12,18.85,20.08,18.8,19.59,16.57,16.79,75.87,0.57,SELL,23167.81
2024-07-15,19.82,20.84,19.4389,20.64,16.83,16.86,79.95,0.78,SELL,23167.81
2024-07-17,22.07,23.72,21.9,23.07,17.65,17.07,85.97,1.35,SELL,23167.81
2024-08-21,17.65,17.7741,17.19,17.3,17.72,17.91,47.68,-0.58,SELL,23167.81
2024-10-30,18.06,19.13,17.91,18.75,17.85,17.84,57.44,0.33,BUY,23167.81
