Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2018-01-10,28.7,28.99,28.2,28.87,28.97,28.92,49.29,0.07,BUY,10000.00
2018-02-28,31.5,32.75,30.4,32.21,28.88,28.87,67.55,0.93,BUY,11155.64
2018-03-26,39.91,45.09,39.83,44.8,37.86,32.25,74.15,2.75,SELL,15511.78
2018-05-03,37.25,38.9,36.83,38.55,38.10,38.49,52.31,-0.63,SELL,15511.78
2018-05-23,43.0,44.75,42.24,44.45,40.32,40.24,65.28,1.40,BUY,15511.78
2018-06-04,46.91,48.81,46.72,48.25,43.91,41.16,73.45,2.05,SELL,16834.18
2018-06-05,48.56,49.8,48.32,49.24,44.32,41.30,75.69,2.20,SELL,16834.18
2018-06-06,49.55,52.02,49.36,51.26,44.82,41.49,79.48,2.46,SELL,16834.18
2018-06-11,51.02,54.24,50.61,53.86,46.23,41.98,77.55,2.97,SELL,16834.18
2018-06-12,54.18,57.35,54.01,56.23,46.94,42.25,80.65,3.34,SELL,16834.18
2018-09-06,73.5,79.11,70.55,78.65,68.54,61.10,79.65,4.03,SELL,16834.18
2018-09-07,78.4,81.93,76.01,79.94,69.38,61.71,80.92,4.40,SELL,16834.18
2018-09-10,78.56,83.42,77.96,83.3,70.40,62.37,83.78,4.92,SELL,16834.18
2018-09-11,82.44,85.25,81.67,84.77,71.42,63.06,84.85,5.38,SELL,16834.18
2018-10-19,70.19,70.79,64.42,65.04,73.01,73.45,36.40,-2.55,SELL,16834.18
2018-11-19,82.18,82.62,71.05,73.25,75.72,75.71,48.05,0.80,BUY,16834.18
2019-01-14,73.62,73.91,70.66,73.74,79.97,80.23,42.66,-0.72,SELL,16946.39
2019-01-31,88.5,92.62,88.305,92.36,82.43,82.27,63.35,2.27,BUY,16946.39
2019-03-14,126.94,134.4,120.46,130.94,103.08,93.63,77.14,4.69,SELL,24006.53
2019-03-15,130.92,134.78,128.61,134.23,104.78,94.68,78.44,6.57,SELL,24006.53
2019-03-18,134.0,138.06,132.13,137.98,106.66,95.73,79.84,8.27,SELL,24006.53
2019-05-14,129.4,134.6905,129.031,133.34,133.80,134.34,49.02,-0.38,SELL,24006.53
2019-06-04,134.57,138.5,131.6,138.21,138.71,138.44,50.30,0.39,BUY,24006.53
2019-06-07,147.1862,170.99,147.1862,169.97,141.85,138.98,71.56,3.89,SELL,29501.01
2019-06-10,172.26,184.78,168.07,172.36,144.08,139.47,72.55,5.73,SELL,29501.01
2019-08-01,142.93,148.78,138.125,143.66,154.61,154.79,37.53,-2.63,SELL,29501.01
2019-11-19,137.92,141.69,136.39,140.99,128.29,127.82,65.28,2.20,BUY,29501.01
2019-11-20,141.39,149.46,140.0,147.75,129.90,128.16,70.62,3.30,SELL,30913.85
2019-12-27,135.52,135.85,132.63,134.13,131.98,132.51,51.60,-0.62,SELL,30913.85
2020-01-09,142.66,152.01,142.54,149.96,133.94,134.92,70.20,2.18,SELL,30913.85
2020-01-30,157.28,168.1,157.0,167.43,149.52,140.98,76.15,5.54,SELL,30913.85
2020-02-04,166.73,173.46,164.308,172.15,153.75,142.08,74.79,7.02,SELL,30913.85
2020-03-09,139.65,139.65,125.0,127.85,160.71,155.17,27.83,-3.47,BUY,30913.85
2020-03-12,109.74,115.96,101.0,111.55,153.81,154.61,25.05,-8.71,SELL,26985.55
