Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-10-19,2.99,3.06,2.83,2.95,3.52,6.23,23.27,-1.86,BUY,10000.00
2022-10-20,3.0,3.1,2.83,2.96,3.43,6.07,23.34,-1.74,BUY,10033.89
2022-10-21,2.9,2.94,2.75,2.78,3.35,5.96,22.92,-1.65,BUY,9423.87
2022-10-24,2.76,2.76,2.36,2.44,3.27,5.66,22.11,-1.58,BUY,8271.61
2022-10-25,2.43,2.73,2.41,2.52,3.20,5.43,22.80,-1.50,BUY,8542.81
2022-10-27,2.68,2.7399,2.52,2.61,3.07,5.01,24.15,-1.33,BUY,8847.91
2022-10-28,2.64,2.64,2.43,2.5,3.01,4.80,23.80,-1.26,BUY,8475.01
2022-10-31,2.43,2.62,2.42,2.44,2.96,4.62,23.60,-1.20,BUY,8271.61
2022-11-02,2.54,2.55,2.35,2.35,2.84,4.29,23.93,-1.07,BUY,7966.51
2022-11-03,2.34,2.44,2.2701,2.44,2.77,4.19,25.07,-1.01,BUY,8271.61
2022-11-04,2.56,2.59,2.3601,2.52,2.72,4.11,26.13,-0.95,BUY,8542.81
2022-11-07,2.55,2.66,2.43,2.44,2.70,4.04,25.74,-0.89,BUY,8271.61
2022-11-09,2.51,2.5195,2.2,2.22,2.64,3.86,25.39,-0.80,BUY,7525.81
2022-12-06,2.08,2.17,1.9,1.9,2.35,2.72,28.05,-0.29,BUY,6441.01
2022-12-07,1.95,1.99,1.79,1.88,2.34,2.68,27.79,-0.30,BUY,6373.21
2022-12-30,1.22,1.29,1.22,1.29,1.64,2.12,23.03,-0.30,BUY,4373.11
2023-01-06,2.5,3.4999,2.32,2.77,1.61,2.04,71.94,-0.07,SELL,9390.31
2023-01-24,2.56,2.7,2.43,2.45,2.06,2.02,55.51,0.20,BUY,9390.31
2023-03-02,1.8,1.85,1.706,1.77,2.02,2.04,39.06,-0.14,SELL,6784.55
2023-04-06,1.34,1.36,1.3,1.31,1.55,1.86,29.83,-0.12,BUY,6784.55
2023-04-25,1.13,1.15,1.0,1.0348,1.34,1.57,24.76,-0.13,BUY,5359.29
2023-04-26,1.04,1.06,1.0,1.0,1.31,1.55,23.60,-0.14,BUY,5179.06
2023-04-27,1.0,1.0699,0.89,0.928,1.28,1.53,21.37,-0.15,BUY,4806.17
2023-04-28,4.18,5.87,2.82,4.0,1.41,1.57,85.28,0.08,SELL,20716.06
2023-05-05,1.99,2.11,1.8,1.81,1.61,1.61,51.13,0.17,BUY,20716.06
2023-06-26,1.66,1.7,1.5526,1.655,1.84,1.84,42.03,-0.07,SELL,18942.08
2023-08-11,1.29,1.32,1.25,1.25,1.50,1.66,25.34,-0.10,BUY,18942.08
2023-10-09,1.05,1.05,0.99,1.0199,1.18,1.27,28.58,-0.06,BUY,15455.38
2023-12-29,0.852,1.37,0.852,1.1835,0.87,0.88,75.20,0.01,SELL,17934.41
2024-01-04,1.26,1.47,1.25,1.36,0.92,0.90,78.40,0.08,SELL,17934.41
2024-02-05,0.84,0.88,0.7611,0.82,0.90,0.92,40.54,-0.04,SELL,17934.41
2024-03-18,0.655,0.656,0.62,0.632,0.74,0.83,28.94,-0.05,BUY,17934.41
2024-05-20,0.72,0.75,0.69,0.7157,0.65,0.65,58.41,0.01,BUY,20309.57
2024-06-13,0.579,0.6283,0.579,0.616,0.63,0.64,47.97,-0.02,SELL,17480.38
2024-09-30,0.5603,0.635,0.5361,0.62,0.47,0.48,70.83,0.02,SELL,17480.38
2024-10-02,0.5533,0.81,0.5533,0.6505,0.49,0.49,66.34,0.03,BUY,17480.38
2024-11-06,0.5021,0.52,0.49,0.495,0.50,0.50,48.00,-0.00,SELL,13301.78
2024-12-23,0.485,0.5153,0.4681,0.5048,0.50,0.50,51.58,-0.00,BUY,13301.78
2024-12-24,0.5153,0.6188,0.455,0.47,0.50,0.50,42.02,-0.01,SELL,12384.80
2024-12-30,0.5203,0.5724,0.5201,0.5598,0.50,0.50,62.08,0.01,BUY,12384.80
2025-01-06,1.25,1.38,0.816,0.899,0.53,0.51,82.96,0.04,SELL,19888.92
2025-01-07,0.7503,0.91,0.7112,0.91,0.55,0.52,83.30,0.06,SELL,19888.92
2025-02-12,0.5,0.5125,0.4823,0.5,0.56,0.56,40.69,-0.02,SELL,19888.92
2025-02-18,1.8,2.02,1.77,1.87,0.61,0.58,89.69,0.08,BUY,19888.92
2025-02-19,1.81,1.98,1.72,1.82,0.67,0.61,86.88,0.17,SELL,19357.17
2025-04-21,1.18,1.19,1.13,1.13,1.31,1.33,40.93,-0.05,SELL,19357.17
2025-05-07,1.66,2.18,1.61,1.95,1.26,1.36,73.46,0.03,SELL,19357.17
2025-05-15,1.48,1.51,1.4001,1.4577,1.38,1.37,51.96,0.08,BUY,19357.17
2025-06-10,2.14,2.23,1.79,2.05,1.38,1.35,73.95,0.03,SELL,27222.33
2025-07-24,1.6,2.27,1.6,1.862,1.57,1.53,70.20,0.02,SELL,27222.33
2025-08-04,1.33,1.379,1.32,1.34,1.54,1.54,38.35,-0.04,SELL,27222.33
