Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-08-23,30.11,30.37,28.73,29.01,27.11,27.03,56.88,1.00,BUY,10000.00
2024-09-19,31.25,32.5681,30.86,32.22,28.25,26.90,70.11,0.74,SELL,11104.24
2024-09-20,32.42,32.82,31.88,32.5,28.40,26.99,70.93,0.96,SELL,11104.24
2024-11-20,31.53,31.96,30.6347,31.9,33.15,33.16,45.02,-0.39,SELL,11104.24
2024-12-11,38.45,40.1754,38.32,39.5,34.15,34.14,68.56,1.43,BUY,11104.24
2025-01-28,42.44,44.455,41.63,43.44,36.82,35.65,70.70,1.42,SELL,12211.38
2025-03-14,33.87,34.455,32.936,34.34,40.46,40.95,37.82,-2.58,SELL,12211.38
2025-04-03,27.16,27.76,25.44,25.58,32.84,39.88,28.70,-2.73,BUY,12211.38
2025-04-04,23.15,24.215,21.95,22.97,32.16,39.56,25.52,-3.22,BUY,10966.41
2025-04-07,21.04,26.05,20.89,23.96,31.68,39.24,28.74,-3.48,BUY,11438.64
2025-05-19,33.69,35.2395,33.6,34.97,30.04,29.74,61.74,2.00,BUY,16690.41
2025-06-04,37.99,40.13,37.89,40.08,35.15,30.22,72.04,2.05,SELL,19127.88
2025-06-06,41.01,41.71,40.4501,41.13,36.13,30.49,72.93,2.37,SELL,19127.88
2025-06-30,46.26,46.59,44.94,45.43,41.22,35.50,71.11,2.30,SELL,19127.88
