Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2025-01-28,28.68,29.13,28.68,29.13,28.77,28.81,51.13,0.14,SELL,10000.00
2025-02-11,29.6397,29.86,29.6397,29.6631,29.21,29.15,53.61,0.20,BUY,10000.00
2025-03-05,25.99,26.7,25.67,26.67,28.93,28.93,38.44,-0.75,SELL,8991.33
2025-04-04,19.76,20.0,18.5,18.5,23.59,26.68,24.86,-1.43,BUY,8991.33
2025-04-07,16.61,19.57,16.6,18.56,23.34,26.45,25.25,-1.67,BUY,9020.49
2025-04-08,20.08,20.38,18.0,18.0,23.07,26.24,24.00,-1.88,BUY,8748.33
2025-05-13,26.79,27.59,26.79,27.51,23.31,23.29,69.50,0.90,BUY,13370.19
2025-06-03,142.4,142.8685,142.4,142.8685,32.86,26.52,98.41,10.18,SELL,69434.42
2025-06-04,143.92,143.92,142.89,143.23,38.81,28.87,98.41,17.25,SELL,69434.42
2025-06-05,142.72,145.43,141.045,141.0763,44.62,31.20,96.42,22.42,SELL,69434.42
2025-06-20,144.38,144.38,141.7105,141.7255,108.83,58.13,86.18,28.56,SELL,69434.42
2025-06-30,154.9,155.74,154.1,154.88,145.73,73.70,89.19,23.26,SELL,69434.42
2025-07-01,153.99,154.23,152.5165,152.5165,146.21,76.34,84.74,22.18,SELL,69434.42
2025-07-02,154.29,154.5335,153.95,154.5335,146.77,79.00,85.41,21.25,SELL,69434.42
2025-07-03,157.72,157.72,157.28,157.28,147.58,81.69,86.29,20.49,SELL,69434.42
2025-07-07,155.75,155.75,154.64,154.9602,148.15,84.32,81.80,19.48,SELL,69434.42
2025-07-08,154.6,155.85,154.6,155.41,148.70,86.97,81.99,18.50,SELL,69434.42
2025-07-09,157.2621,157.2621,157.2621,157.2621,149.26,89.64,82.81,17.67,SELL,69434.42
2025-07-10,156.7101,157.3399,156.7101,156.764,149.84,92.30,81.73,16.78,SELL,69434.42
2025-07-11,156.69,156.8929,156.0965,156.0965,150.36,94.94,80.23,15.83,SELL,69434.42
2025-07-14,157.0975,157.0975,157.0975,157.0975,151.11,97.59,80.80,14.99,SELL,69434.42
2025-07-17,159.89,160.15,159.89,160.0146,153.29,105.63,82.59,12.86,SELL,69434.42
2025-07-18,160.37,160.37,159.4,159.635,154.12,108.33,81.50,12.23,SELL,69434.42
2025-07-21,160.5,162.2735,160.5,161.1913,155.10,111.06,82.52,11.73,SELL,69434.42
2025-07-22,158.87,159.8713,158.87,159.8713,155.86,113.73,78.56,11.09,SELL,69434.42
2025-07-23,158.69,160.6921,158.69,160.6921,156.44,116.39,79.23,10.53,SELL,69434.42
2025-07-24,161.7931,161.7931,161.7931,161.7931,157.04,119.07,80.12,10.07,SELL,69434.42
2025-07-25,162.3328,162.3328,162.3328,162.3328,157.54,121.76,80.56,9.63,SELL,69434.42
2025-07-28,163.37,163.37,163.3463,163.3463,158.04,124.47,81.40,9.25,SELL,69434.42
2025-07-29,163.2499,163.34,162.46,162.595,158.43,127.16,78.70,8.80,SELL,69434.42
2025-07-30,163.02,164.14,162.3,163.0651,158.96,129.87,79.17,8.37,SELL,69434.42
2025-08-12,166.63,169.6523,166.63,169.6523,161.76,154.18,70.35,5.54,SELL,69434.42
2025-08-13,171.1,171.1,169.3585,169.7647,162.36,154.72,70.46,5.65,SELL,69434.42
