Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2025-03-13,27.98,28.5,26.03,26.17,34.25,34.30,39.50,-2.72,SELL,10000.00
2025-05-12,32.32,33.73,31.13,33.34,24.26,24.88,70.97,1.28,SELL,10000.00
2025-05-13,33.34,35.98,32.88,35.27,24.99,25.02,73.65,1.87,SELL,10000.00
2025-05-14,35.67,36.65,34.45,36.12,25.73,25.15,74.75,2.38,BUY,10000.00
2025-06-05,41.42,49.73,41.3999,46.3,37.50,28.77,77.05,3.31,SELL,12809.68
2025-06-06,46.295,48.57,45.41,48.28,38.50,29.23,79.07,3.83,SELL,12809.68
2025-06-09,50.26,55.04,49.54,52.58,39.46,29.84,82.65,4.53,SELL,12809.68
2025-06-10,51.0,52.59,49.15,52.51,40.32,30.47,82.40,5.03,SELL,12809.68
2025-08-07,64.37,70.54,63.38,65.31,52.95,49.64,73.35,2.47,SELL,12809.68
2025-08-08,68.18,71.49,66.45,68.78,54.17,50.26,76.30,3.40,SELL,12809.68
2025-08-11,69.9,75.9601,69.16,70.24,55.09,50.93,77.44,4.20,SELL,12809.68
2025-08-12,73.425,75.9188,72.0,75.33,56.18,51.72,80.87,5.18,SELL,12809.68
