Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2025-05-20,7.855,8.0,7.389,8.0,6.79,6.90,72.18,0.25,SELL,10000.00
2025-05-26,7.7,7.7,7.7,7.7,7.01,6.96,64.11,0.31,BUY,10000.00
2025-06-17,9.14,9.99,8.94,9.95,8.28,7.32,82.98,0.53,SELL,12920.50
2025-06-18,9.9,11.73,9.2,11.56,8.47,7.42,89.28,0.72,SELL,12920.50
2025-06-19,11.56,11.56,11.56,11.56,8.66,7.53,89.28,0.86,SELL,12920.50
2025-06-20,11.75,18.5,11.7,16.1,9.08,7.73,95.15,1.32,SELL,12920.50
2025-06-23,17.33,19.32,15.37,18.85,9.64,7.98,96.42,1.89,SELL,12920.50
2025-06-24,18.98,24.3292,18.3,24.08,10.46,8.33,97.68,2.73,SELL,12920.50
2025-06-25,24.93,35.9,22.3457,31.83,11.66,8.84,98.51,3.97,SELL,12920.50
2025-06-26,32.06,37.075,31.21,33.64,12.96,9.38,98.63,5.05,SELL,12920.50
2025-07-18,43.55,47.6967,42.956,46.99,38.06,20.16,73.87,8.62,SELL,12920.50
