Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-07-05,49.7489,49.7489,49.7489,49.7489,52.51,52.87,43.61,-1.44,SELL,10000.00
2019-08-05,58.55,58.8093,58.55,58.8093,48.81,52.38,70.98,0.59,SELL,10000.00
2019-08-06,59.6487,59.6487,59.6487,59.6487,49.31,52.44,72.11,1.26,SELL,10000.00
2019-08-07,62.37,62.37,61.2697,61.2697,50.00,52.50,74.20,1.91,SELL,10000.00
2019-08-13,58.9035,58.9035,58.9035,58.9035,52.26,52.22,61.16,2.58,BUY,10000.00
2019-09-20,46.0054,46.0054,46.0054,46.0054,54.01,54.27,36.73,-3.31,SELL,7820.22
2020-01-27,46.7738,46.7738,46.7738,46.7738,37.53,39.99,77.31,0.95,SELL,7820.22
2020-02-03,53.27,53.972,53.27,53.972,40.77,40.64,80.17,3.17,BUY,7820.22
2020-02-25,59.5438,59.5438,59.5438,59.5438,48.70,42.21,71.20,2.21,SELL,8622.56
2020-02-26,65.6811,65.6811,65.6811,65.6811,49.60,42.74,76.04,3.38,SELL,8622.56
2020-02-27,73.01,76.7634,73.01,76.7634,51.10,43.49,81.95,5.14,SELL,8622.56
2020-02-28,85.26,85.26,75.5117,75.5117,52.32,44.24,79.56,6.36,SELL,8622.56
2020-03-06,95.9346,95.9346,95.9346,95.9346,59.48,48.42,79.77,10.19,SELL,8622.56
2020-03-09,153.84,162.1165,153.82,162.1165,65.06,50.90,90.43,16.69,SELL,8622.56
2020-03-11,150.24,161.63,149.5,158.6039,74.63,55.13,75.06,22.73,SELL,8622.56
2020-03-12,206.72,225.2532,206.72,225.2532,83.60,58.92,82.38,30.89,SELL,8622.56
2020-04-17,65.66,65.66,59.86,61.0255,100.80,105.93,40.97,-17.97,SELL,8622.56
2020-06-08,12.0,12.19,10.7204,10.825,23.01,44.59,29.07,-8.86,BUY,8622.56
2020-07-30,16.95,18.709,16.95,18.15,18.01,17.90,50.04,-0.81,BUY,14453.26
2020-08-10,16.3,16.6624,15.32,15.38,17.13,17.14,41.26,-0.61,SELL,12248.34
2020-09-04,19.63,21.59,19.63,20.95,18.03,17.93,61.61,0.79,BUY,12248.34
2020-09-08,22.12,24.31,22.12,23.8494,18.70,18.12,70.45,1.13,SELL,13941.59
2020-09-10,23.97,27.21,23.38,27.03,19.65,18.42,75.88,1.71,SELL,13941.59
