Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-06-13,7.11,7.11,5.51,5.78,8.49,8.11,32.80,-0.45,BUY,10000.00
2022-06-24,4.01,4.44,3.93,4.02,6.66,6.84,27.73,-1.22,SELL,6955.20
2022-07-07,3.14,3.16,3.01,3.14,4.21,6.37,25.61,-1.18,BUY,6955.20
2022-08-22,3.96,3.96,3.48,3.58,3.52,3.49,47.26,0.12,BUY,7929.80
2022-09-13,2.61,2.674,2.51,2.62,3.02,3.08,40.30,-0.20,SELL,5803.40
2022-09-19,2.04,2.05,1.87,1.92,2.67,3.00,29.94,-0.31,BUY,5803.40
2022-09-22,1.83,1.83,1.49,1.5,2.46,2.95,24.70,-0.39,BUY,4534.16
2022-10-07,0.92,0.92,0.635,0.65,1.72,2.66,16.83,-0.47,BUY,1965.46
2022-11-30,1.34,1.56,1.28,1.55,1.06,1.03,65.74,0.10,BUY,4686.16
2022-12-01,1.5,1.9,1.47,1.81,1.11,1.03,71.27,0.14,SELL,5472.14
2022-12-02,1.74,2.2,1.73,1.92,1.17,1.04,73.24,0.18,SELL,5472.14
2022-12-06,1.87,2.26,1.8695,2.23,1.30,1.06,77.27,0.25,SELL,5472.14
2023-01-25,1.37,1.37,1.24,1.33,1.66,1.70,34.87,-0.12,SELL,5472.14
2023-04-14,0.7855,0.7899,0.7225,0.7435,0.98,1.19,28.73,-0.10,BUY,5472.14
2023-09-14,0.215,0.2174,0.2078,0.2108,0.28,0.34,29.83,-0.03,BUY,1552.00
2023-11-02,0.2319,0.28,0.2287,0.28,0.20,0.22,71.51,0.00,SELL,2061.45
2023-11-10,0.2776,0.2776,0.231,0.24,0.22,0.22,55.15,0.01,BUY,2061.45
2023-12-13,0.185,0.1851,0.18,0.1836,0.21,0.21,37.19,-0.01,SELL,1577.03
2024-03-08,0.11,0.11,0.1006,0.1007,0.11,0.15,27.12,-0.01,BUY,1577.03
2024-03-14,0.1066,0.108,0.0915,0.095,0.11,0.14,27.81,-0.01,BUY,1487.77
2024-04-03,0.09,0.093,0.0854,0.0869,0.10,0.11,25.89,-0.01,BUY,1360.92
2024-04-05,0.08,0.0855,0.076,0.0786,0.10,0.11,23.82,-0.01,BUY,1230.95
2024-04-08,0.08,0.085,0.075,0.0762,0.10,0.11,22.60,-0.01,BUY,1193.36
2024-04-10,1.29,1.4074,0.9344,0.9756,0.14,0.12,96.67,0.06,BUY,15277.97
2024-04-11,0.9641,0.9641,0.7301,0.7559,0.17,0.14,77.23,0.10,SELL,11837.46
2024-06-18,0.5849,0.5849,0.538,0.54,0.64,0.65,39.19,-0.02,SELL,11837.46
2024-07-05,5.29,5.37,4.93,5.02,1.04,0.82,90.15,0.64,SELL,11837.46
2024-08-01,7.96,8.45,7.5,7.77,6.57,3.09,73.02,1.53,SELL,11837.46
2024-08-09,8.25,10.3096,8.25,10.0999,7.52,3.95,79.11,1.24,SELL,11837.46
2024-08-12,10.49,14.9,10.4453,12.6,7.85,4.19,85.13,1.53,SELL,11837.46
2024-08-13,12.85,14.0,11.82,12.74,8.12,4.43,85.39,1.75,SELL,11837.46
2024-08-14,12.91,13.8,12.51,12.96,8.44,4.68,85.80,1.92,SELL,11837.46
2024-08-16,13.55,15.25,13.06,15.25,9.18,5.22,89.39,2.28,SELL,11837.46
2024-08-19,15.25,17.94,15.25,17.71,9.72,5.56,91.79,2.64,SELL,11837.46
2024-08-20,17.71,22.31,16.92,20.63,10.38,5.96,93.64,3.13,SELL,11837.46
2024-09-05,23.5,24.49,21.75,22.03,18.26,10.68,70.49,3.70,SELL,11837.46
2024-09-13,22.71,26.4,22.69,25.19,21.51,13.20,73.22,2.95,SELL,11837.46
2024-09-16,25.9,25.9,24.065,25.0,22.00,13.60,72.22,2.97,SELL,11837.46
2024-09-17,25.0,25.805,24.5,25.05,22.36,14.01,72.33,2.96,SELL,11837.46
2024-09-18,26.09,26.15,24.5,24.86,22.58,14.42,71.20,2.90,SELL,11837.46
2024-09-19,25.5,25.8026,24.43,25.17,22.81,14.84,71.97,2.84,SELL,11837.46
2024-10-18,21.78,22.93,21.45,22.3,20.53,20.54,56.48,0.34,SELL,11837.46
2024-11-05,23.06,25.43,22.85,25.0,22.36,22.12,60.08,0.76,BUY,11837.46
2024-11-08,29.3,34.898,27.1972,31.56,23.88,22.54,74.12,1.81,SELL,14940.34
2024-11-12,30.0,37.56,29.2773,37.56,25.11,23.00,74.07,2.64,SELL,14940.34
2025-01-14,30.83,32.0,30.49,32.0,32.13,32.13,48.94,-0.13,SELL,14940.34
2025-01-23,38.32,41.0,38.3,40.96,33.95,33.67,68.94,1.61,BUY,14940.34
2025-02-13,58.49,67.63,58.24,67.36,48.27,39.42,77.76,6.87,SELL,24549.94
2025-03-28,53.18,54.66,50.07,51.68,51.31,51.72,48.16,1.41,SELL,24549.94
2025-04-02,69.89,76.89,67.85,75.06,53.75,53.30,67.10,3.45,BUY,24549.94
2025-04-09,87.8,104.95,87.8,103.79,62.89,57.35,78.08,9.00,SELL,33944.65
2025-04-10,105.99,118.38,104.71,114.75,66.34,58.75,81.00,11.64,SELL,33944.65
2025-04-11,115.52,134.5317,110.0,132.03,70.32,60.43,84.51,14.96,SELL,33944.65
2025-05-15,162.67,175.0,157.08,173.76,131.04,95.10,73.58,12.91,SELL,33944.65
2025-05-16,177.41,177.5,155.01,174.71,132.33,97.67,73.80,15.10,SELL,33944.65
2025-06-20,120.81,123.0,111.975,113.89,136.17,138.02,38.61,-6.62,SELL,33944.65
