Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-03-22,43.82,46.67,43.34,43.91,38.34,33.07,70.90,2.75,SELL,10000.00
2023-03-23,45.62,46.43,44.45,45.74,38.76,33.56,73.94,2.99,SELL,10000.00
2023-05-18,53.44,56.65,52.88,56.3,47.99,45.46,72.57,2.11,SELL,10000.00
2023-05-25,76.0,76.54,69.19,72.71,51.35,47.48,82.59,3.91,SELL,10000.00
2023-05-26,72.58,76.1123,71.4917,75.4,52.79,48.14,83.90,5.23,SELL,10000.00
2023-05-29,75.4,75.4,75.4,75.4,54.09,48.80,83.90,6.20,SELL,10000.00
2023-07-13,90.77,95.51,90.61,95.28,85.12,72.18,72.21,4.22,SELL,10000.00
2023-07-17,96.01,96.57,92.85,96.5,86.03,74.08,71.10,4.91,SELL,10000.00
2023-07-18,97.27,100.88,94.27,99.71,86.71,75.08,73.80,5.43,SELL,10000.00
2023-09-25,79.53,82.1269,78.148,81.27,91.45,91.53,37.80,-3.22,SELL,10000.00
2023-11-16,98.09,101.1,97.53,101.04,87.17,86.88,67.06,4.02,BUY,10000.00
2024-02-05,152.58,157.67,147.81,157.02,118.44,103.48,83.60,11.77,SELL,15486.04
2024-02-22,179.47,194.77,176.13,194.59,152.89,120.96,71.46,15.61,SELL,15486.04
2024-03-04,222.26,240.62,220.18,228.14,178.58,135.73,77.33,21.52,SELL,15486.04
2024-03-05,228.19,232.48,218.08,232.19,182.34,138.46,78.16,23.08,SELL,15486.04
2024-03-06,243.2,251.93,237.6,246.67,187.07,141.43,80.86,25.19,SELL,15486.04
2024-03-07,254.71,268.4351,251.35,268.35,192.48,144.84,84.04,28.29,SELL,15486.04
2024-03-13,42.78,43.16,40.3,42.62,197.70,152.92,29.51,11.21,BUY,15486.04
2024-03-14,41.3,42.28,38.53,39.84,190.82,151.99,29.28,-2.29,BUY,14476.90
2024-03-25,45.26,47.88,44.75,46.22,144.02,144.74,31.12,-36.91,SELL,16792.84
2024-04-19,34.6,35.6199,28.2901,28.77,39.40,113.09,28.85,-19.61,BUY,16792.84
2024-05-22,43.78,44.25,41.77,43.25,39.36,39.18,49.40,-1.84,BUY,25234.68
2024-05-29,60.4,63.0189,58.12,62.2,43.53,40.51,70.56,2.47,SELL,36282.53
2024-08-01,59.67,62.3,48.82,51.45,65.42,66.45,40.50,-4.27,SELL,36282.53
2024-10-07,61.29,66.805,61.29,63.99,56.27,55.72,59.75,1.18,BUY,36282.53
2024-12-13,71.87,72.55,65.35,67.06,74.10,74.51,41.39,-1.29,SELL,38023.22
2025-04-04,30.56,31.33,26.24,27.66,40.77,48.94,28.05,-4.60,BUY,38023.22
2025-05-14,51.46,53.14,50.32,53.05,37.08,38.54,72.87,2.50,SELL,72909.08
2025-05-16,53.65,53.75,51.52,53.01,39.21,38.96,72.24,3.67,BUY,72909.08
2025-06-25,63.22,67.51,63.2,67.4,58.44,48.53,73.66,3.61,SELL,92695.33
2025-06-26,68.87,69.48,67.12,68.02,59.06,49.24,74.34,3.97,SELL,92695.33
2025-06-27,68.75,71.15,68.12,70.32,59.97,50.04,76.75,4.38,SELL,92695.33
2025-06-30,70.91,71.08,68.71,70.42,60.78,50.89,76.85,4.67,SELL,92695.33
