Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-01-10,31.3,32.1199,31.16,31.86,27.89,26.81,71.37,0.90,SELL,10000.00
2024-01-11,32.47,32.75,31.22,32.32,28.18,27.03,72.68,1.12,SELL,10000.00
2024-01-16,32.49,34.03,32.49,33.7,28.77,27.47,75.87,1.50,SELL,10000.00
2024-02-05,44.6,45.73,43.56,45.64,36.37,30.66,84.95,3.52,SELL,10000.00
2024-02-22,50.9,54.31,50.14,54.2,44.68,35.82,72.71,3.95,SELL,10000.00
2024-03-04,60.13,63.7661,59.675,61.25,50.49,39.83,77.89,5.08,SELL,10000.00
2024-03-06,64.27,66.05,63.2118,65.0,52.33,41.28,81.11,5.78,SELL,10000.00
2024-03-07,66.57,69.3101,65.98,69.27,53.47,42.12,84.01,6.37,SELL,10000.00
2024-04-24,55.16,55.23,48.95,49.54,59.33,59.47,39.52,-2.74,SELL,10000.00
2024-05-22,69.75,70.4799,66.4,68.76,62.60,62.10,59.39,2.64,BUY,10000.00
2024-05-23,79.01,85.3599,78.5,81.59,64.02,62.40,71.24,3.72,SELL,11860.35
2024-05-24,82.69,85.85,80.5899,85.85,65.32,62.84,73.96,4.86,SELL,11860.35
2024-05-28,91.79,99.39,91.3,97.83,67.21,63.52,79.75,6.65,SELL,11860.35
2024-05-29,96.41,100.395,92.71,99.3,69.29,64.22,80.33,8.09,SELL,11860.35
2024-08-01,95.83,99.66,78.21,82.16,104.47,106.14,40.47,-6.67,SELL,11860.35
2024-10-07,98.7,107.44,98.66,102.9,90.54,89.53,59.73,1.90,BUY,11860.35
2024-12-13,101.9,102.97,92.67,95.09,118.34,119.66,35.00,-3.94,SELL,10962.20
2025-04-04,42.85,44.0,36.98,38.91,57.57,69.13,28.02,-6.61,BUY,10962.20
2025-05-14,72.68,74.9799,71.0,74.89,52.29,54.38,72.88,3.53,SELL,21072.58
2025-05-16,75.75,75.83,72.7624,74.73,55.30,54.97,72.24,5.18,BUY,21072.58
2025-06-25,88.795,94.84,88.795,94.72,82.57,68.53,73.27,5.06,SELL,26689.77
2025-06-26,96.82,97.62,94.357,95.65,83.42,69.52,74.01,5.53,SELL,26689.77
2025-06-27,96.64,100.0,95.86,98.76,84.67,70.64,76.38,6.09,SELL,26689.77
2025-06-30,99.64,99.9,96.6,98.99,85.80,71.84,76.55,6.47,SELL,26689.77
