Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-10-02,28.35,29.505,27.83,28.08,32.56,41.59,28.68,-4.30,BUY,10000.00
2023-11-21,35.62,36.557,35.2745,36.1,29.85,29.63,67.18,1.60,BUY,12855.12
2023-12-13,39.0,41.5,37.12,41.35,36.10,31.47,72.87,2.25,SELL,14724.12
2023-12-14,41.55,43.3293,41.3693,42.78,36.48,31.78,75.43,2.51,SELL,14724.12
2023-12-20,46.95,49.65,45.91,46.87,38.05,32.90,75.26,3.14,SELL,14724.12
2024-02-16,42.5,42.6021,39.74,39.84,42.96,43.15,38.54,-0.05,SELL,14724.12
2024-03-19,43.9,44.78,42.75,44.08,43.27,43.14,51.63,0.70,BUY,14724.12
2024-04-04,39.43,39.8799,36.32,36.37,43.17,42.70,28.72,-1.14,BUY,12148.98
2024-04-09,38.75,39.28,38.15,39.27,42.18,42.42,42.08,-1.45,SELL,13117.58
2024-05-29,36.0,36.58,35.51,36.11,37.47,37.40,45.15,0.24,BUY,13117.58
2024-08-13,38.51,39.265,37.83,39.19,39.80,40.00,48.06,-0.41,SELL,14235.62
2024-10-09,39.7,40.01,38.64,39.95,37.83,37.78,58.85,0.96,BUY,14235.62
2025-01-15,43.96,43.96,42.58,43.41,44.20,44.48,46.33,-0.50,SELL,15467.38
2025-02-25,42.08,45.93,40.63,45.52,44.74,44.73,54.80,-0.17,BUY,15467.38
2025-03-06,45.65,46.135,43.54,44.05,44.29,44.38,47.19,0.24,SELL,14969.05
2025-03-12,44.83,46.25,43.96,46.14,44.51,44.40,54.42,0.07,BUY,14969.05
2025-03-28,43.76,43.76,42.56,42.94,44.54,44.69,44.84,-0.31,SELL,13932.25
2025-04-30,51.22,62.073,49.225,61.44,43.08,44.00,79.57,1.78,SELL,13932.25
2025-05-01,60.35,64.045,59.05,63.89,43.89,44.39,81.17,3.06,SELL,13932.25
2025-05-02,62.37,65.42,61.0,63.26,44.99,44.77,79.45,3.98,BUY,13932.25
2025-05-27,70.92,73.0,69.27,71.93,65.82,51.99,72.63,5.06,SELL,15839.65
2025-05-28,71.55,73.67,71.52,72.22,66.35,52.55,72.95,5.14,SELL,15839.65
2025-05-30,72.32,74.5,71.65,74.43,67.33,53.74,75.55,5.27,SELL,15839.65
2025-06-02,74.22,76.94,73.25,76.52,67.95,54.40,77.73,5.47,SELL,15839.65
2025-07-29,69.06,70.21,68.11,69.69,71.96,72.12,45.93,-0.81,SELL,15839.65
2025-08-05,65.53,67.055,57.19,57.72,70.35,72.24,29.40,-1.26,BUY,15839.65
2025-08-06,58.26,60.15,57.0,57.97,69.46,71.96,29.98,-2.04,BUY,15908.15
2025-08-07,58.34,58.9329,56.14,57.74,68.69,71.67,29.74,-2.64,BUY,15845.13
